[152.614] (S)玄米ソードマン: 出航
[152.628] るなあ7: ね
[152.832] sebasutinn: きれーーーーーーー
[153.558] (S)meru_sen: バチ綺麗だよ
[153.741] 焦がしメンマ: 監視されながら配信してる？w
[155.197] (S)tondura23: おおお
[155.981] (S)very8888: ｵﾊﾖｵﾊﾖ
[155.999] (S)べねでぃくと: きれい
[156.327] えんえんトンネル: きたああああああ
[157.040] ももけろ: 綺麗ね
[157.259] shogoaaaaaa: アピールですか
[158.020] (S)つちのこ83: 画質やばいね
[158.796] (S)hunyarouu: ｵﾊﾖｵﾊﾖ
[159.226] bsonpa: 案件初めての方ですか？ｗ
[159.533] (S)らる_: 崩壊気にはなってたからどんなのか楽しみ
[159.952] ほそみな: スゲー
[160.129] 蛙田いぶき: きれい〜
[163.609] (S)ninnjinnbee: すげぇー
[165.597] sakura1097: おーすごい
[165.597] (S)バロン67: いいねー
[165.643] (S)ロンロ: スタレまじでおもろいよ
[165.736] (S)roi_hi: ｵﾊﾖｵﾊﾖ
[166.341] (S)みー0129: 楽しみです
[167.129] kinntya: 興味あったけどスターレイル自体よく知らんかったからありがたい
[167.336] (S)kore552: kore552 subscribed at Tier 1. They've subscribed for 9 months! 
[168.365] mimisui: すごー
[168.424] (S)sunasuke: ええやん
[169.303] (S)meru_sen: えっど
[169.340] (S)tondura23: がてぃ？
[169.524] beforedawn000: こういう系のゲームやるのか？
[170.161] 銀河白鉄: えっど
[170.266] ももけろ: えっど
[170.370] (S)very8888: ホヨバースから案件エグ過ぎる
[170.472] (S)hirosn: でっか
[170.685] reitoutoufu: きれいや
[170.837] (S)あっと_: でっか
[171.106] tomosashisu_8: wwwwwwww
[171.408] sebasutinn: えっっど
[171.463] (S)さちゃすけ: おい
[171.507] (S)kuram210: いいね
[171.670] ume_yamaguti: えっど
[171.699] (S)ぺんた326: wwwwww
[171.939] 桜乃ちゃそ: 神シーン
[171.965] (S)jinta135: お
[172.184] (S)ばむるく: えっど
[172.286] (S)きゅむぉ: ハイ勝ち
[172.324] (S)~MISSING_COMMENTER_INFO~: おっほ
[172.399] るなあ7: えっど
[172.502] (S)辛麻婆豆腐: きたああああ
[172.930] mochomotto: わお
[173.019] (S)mira_koko: でっっっ
[173.044] 宮内1234: でか
[173.493] (S)molybdenum_steel: うーん
[173.639] beforedawn000: wwwwwwww
