[664.026] (S)しゅば_るつ: ゴールド4はやっぱり凄い
[673.312] botinwa: LuvPeekL
[673.997] jetjelly: ゴールド4？
[676.417] カイいおりん大好き: 明日はいおりん対ひなーのの試合があります
[684.210] kasu1123: まじか！？
[685.367] (S)n_t_tw: moeiorGG
[686.439] dirno666: 伊織もえは本番に強い
[689.947] (S)コクトー5: センスありすぎ
[691.952] kuma2455: 大天才
[692.172] ちゃっぺ: 連勝ボーナスすごかった
[692.804] MERIDA105: すごwww
[694.409] (S)コミュ: ボコしたw
[698.768] カイいおりん大好き: 15連勝だと！？やりますね
[699.536] (S)しゅば_るつ: 15連勝！？
[702.721] uiuipp7: PowerUpL
[704.507] りなどら: 動画でずっと勉強を続けてた結果ですね
[709.471] じょんこにー: いおりんとひなーのはアツイ
[710.664] jetjelly: 10連？
[714.514] kikuzokun: いおりん、こんばんは〜
[714.721] ちゃっぺ: 対空とか
[726.741] jetjelly: 15連勝？
[732.618] kasu1123: とびからのコンボとか
[737.851] カイいおりん大好き: 本田じゃないですね…
[739.391] piyochang: kawaii
[739.587] ちゃっぺ: 対空とか、投げとか
[756.657] masakunn1794: 相手エドか
[760.867] jetjelly: あれ？設定？
[763.278] カイいおりん大好き: インパクト返しも大事
[763.533] msqqk855: やれんのかシュート
[766.160] uiuipp7: とうとうゲーム画面がなくなってワイプだけになったか
[767.351] masakunn1794: ひなのエドか
[770.078] (S)コミュ: 一緒に練習参加しますー！
[772.174] カイいおりん大好き: ひなーのエドですね
[781.555] ちゃっぺ: 二刀流w
[783.704] 猫キンマン: こんばんは
[784.421] melon_pan14: とうとうゲーム画面消えたか
[791.158] masakunn1794: ひなのエドはつよいよ
[793.237] ちゃっぺ: イカつって言われてるw
[794.689] (S)しゅば_るつ: 二刀流のいおりん
[806.047] yuukin1015: ゲーム画面をおねしゃす
[810.547] msqqk855: まいっか！？
[813.584] jetjelly: ん？ｗ
[814.841] MERIDA105: まぁいっかw
[814.912] (S)コミュ: ゲーム画面出さない感じ？？
[815.941] (S)しゅば_るつ: イカついおりんw
[818.689] jetjelly: お大事にね
[819.556] happytimeee: あ
[826.227] koubako_cat: 情報ありがとうございます。いおりん対ひなーのは熱いですね！！
[827.870] カイいおりん大好き: ひなーののエドどくらさんに仕込まれて強いですね
[834.170] ちゃっぺ: 設定終わってからゲーム来るの待ってる
[835.433] jetjelly: おおおお
[837.735] (S)yoyoyo_zex909: がんばれ
[837.977] yuukin1015: きた！
[840.828] uiuipp7: わら
[846.325] msqqk855: 今日の服はブランカ意識してますか？
[846.910] jetjelly: お水いいね
[848.951] kasu1123: いおりんでかいなｗｗｗ
[850.936] なぎなぎ1234: こんばんはー
[856.066] ミャーパパ: 画面キタ
[860.267] (S)コミュ: ゲーム画面来たー！
[860.925] なぎなぎ1234: シュートさんにコーチングしてもらってるのですね😊
[861.128] jetjelly: ないす
[862.151] ちゃっぺ: 入れました
[862.781] サモトラケのニケ: なお当日は有料
[871.442] yayaomshdhd: いおりんでかかわいい
[871.668] (S)しゅば_るつ: 画面キター
[874.843] hokuozi: 伊織がでかいな
[876.898] MERIDA105: ブランカなんだw
[877.732] (S)tapi2526: moeiorT1stamp
[877.851] カイいおりん大好き: フランカが
[882.107] (S)コミュ: ヤバいw
[882.792] jetjelly: ＣＲカップ？？
[883.007] 洛克胖: こんばんは
[888.324] masakunn1794: ブランカか
[888.620] カイいおりん大好き: いおりんまさかのフランカ
[893.714] ちゃっぺ: 胸を借りるつもりで頑張るぞ💪
[896.710] kazu_2212: かわいい
[897.963] jetjelly: ブランカ頑張れ
[899.482] boogiewk: ブランカなのね
[904.094] ishiiii425: ブランカwww
[905.212] カイいおりん大好き: 可愛いスキンだ
[906.032] ミャーパパ: ブランカなんだ♪
[908.350] masakunn1794: ブランカは互角か
[912.877] (S)ヨロコンブ: ブランカチョイス
[915.711] (S)コミュ: 放送事故w
[922.562] りなどら: 固まりましたね
[925.716] kasu1123: いおりんのゲームセンスも凄いから大丈夫よ！！
[931.883] jetjelly: あれ？
[932.572] kasu1123: あれれ？
[932.821] カイいおりん大好き: ゴールドから猛者がいますね
[935.409] aakamu: BibleThump
[936.264] boogiewk: 固まったねー
[938.601] (S)しゅば_るつ: 固まった
[943.779] りなどら: 待ちますか
[943.887] montanaburnedfish: F?
[946.267] サモトラケのニケ: ＼(^o^)／
[947.235] (S)りむめ: moeiorKonwaku
[947.945] rrrrr5n: もえの眼鏡、先生みたい
[948.274] msqqk855: 放送事故おきちゃった
[950.060] kazuma45sai: 固まってもうた
[950.238] カイいおりん大好き: 固まってる
[951.893] (S)コミュ: moeiorKonwaku
[952.163] kuma2455: ひなーのまだゴールド行ってないぐらいなんじゃないかな？
[953.853] hokuozi: どした
[954.165] りなどら: 伊織さん、配信止まっております
[955.545] ちゃっぺ: 固まった？
[956.584] (S)ジーサン: 固まった
[958.165] jetjelly: 止まった？
[959.478] Nita_fps: NotLikeThis
[960.373] イオリ04: あ
[960.592] nobuhito_28: BibleThump
[962.479] kasu1123: とりあえずしゅーとのとこいくか
[963.475] 山もっちゃん: NotLikeThis
[963.699] koubako_cat: 固まったいおりんも可愛い
[964.656] ikayama0301: 放送事故？
[965.095] akakelda: ?????
[965.284] jetjelly: 電波？
[965.942] カキタレ小僧: あ
[966.165] ちゃっぺ: 🔁リピート始まった
[966.778] yuu02: NotLikeThis
[966.924] (S)李夷: BibleThump
[967.004] (S)n_t_tw: tmt
[967.969] (S)momonga1005: NotLikeThis
[969.844] joker614: NotLikeThis
[969.916] (S)コミュ: BibleThump
[970.012] ミャーパパ: 別意味で放送事故ですw
[971.138] りなどら: まあ再開を待つ感じで
[971.863] wdqfregteh: BibleThump
[972.349] トノトノ: こんばんわ 
[973.135] (S)yoyoyo_zex909: moeiorKonwaku
[973.391] ちゃっぺ: カメラの電池？？？
[973.404] hokuozi: 伊織戦闘中？
[974.146] ikayama0301: syncth3Tevystare
[975.267] ~MISSING_COMMENTER_INFO~: TPFufun
[975.304] god_69621: mizune2Dance2
[975.849] バンガロールさやか: NotLikeThis
[977.032] kazu_2212: NotLikeThis
[979.181] Eric0x0: NotLikeThis
[980.955] luccaf0rt: BibleThump
[982.153] montanaburnedfish: hope wasnt earthquake
[984.607] (S)n_t_tw: NotLikeThis
[988.729] kuma2455: しゅーと行くわ
[990.814] ちゃっぺ: 伊織もえ放送事故勘弁
[994.408] ZU1EKI: NotLikeThis
[1003.113] kazuma45sai: NotLikeThis
[1006.748] MERIDA105: NotLikeThis
[1007.175] kuma2455: しゅーとさんのアカウントでは普通に喋ってるっすね
[1017.770] tacoyaki10: tmt
[1018.409] めんたいこっ: NotLikeThis
[1019.197] jetjelly: ケーブル？
[1021.323] (S)ジーサン: NotLikeThis
[1022.326] ちゃっぺ: とりあえず待ってます復活
[1028.063] tomnyaaan: いおりんがぁ！固まってぇ！いおりんがぁ！画面端ぃ！
[1029.959] (S)ヨロコンブ: あれ？
[1034.830] jetjelly: 落ち着いて
[1035.444] カイいおりん大好き: いおりんゆっくりでいいよ
[1040.943] ちゃっぺ: 声まで消えてるからカメラだけじゃないよね？
[1048.287] jetjelly: BibleThump
[1055.804] hokuozi: 放送事故ね
[1060.751] ikayama0301: syncth3SickleCatfacestare
