[1040.752] syama666: 出すの早すぎて無敵切れてる
[1041.070] (S)gyunyuma: hiirag17Nice
[1043.525] (S)honokagggg: いいねえ
[1048.311] kabihouses: 間合いがいい
[1053.927] (S)ジェントルマン小林: ピン子がよく使う
[1076.916] (S)しら餅: つるつるー！助かる 
[1093.478] (S)rrluti: 連打してんのか？
[1101.708] (S)rikaijam: 相手しっかりしてるなー
[1135.425] (S)ymk_346: 生投げ通るか？
[1148.107] (S)ymk_346: 擦れw
[1155.812] (S)konishi625: w
[1157.836] (S)08ryyyyy: hiirag17Nice
[1159.124] (S)rikaijam: まぁまぁまぁ
[1159.463] (S)laststraw_ak: 柔道だなー
[1161.335] (S)konishi625: hiirag17Nice
[1161.611] (S)餅大臣: hiirag17Nice
[1162.698] (S)kuroomutu: まあまあ
[1163.522] horiuchi1000: いいよー
[1165.524] fuu5353: ないす
[1166.133] (S)ymk_346: hiirag17Nice
[1166.364] (S)kuroomutu: 投げ通るね
[1166.610] (S)takeru3614yu: まああり
[1206.065] (S)mimi_good_: 有利すぎるってやつ
[1207.976] (S)rikaijam: スト6名物有利すぎ
[1220.012] (S)08ryyyyy: どま
[1223.405] (S)konishi625: くー
[1226.671] (S)餅大臣: nt
[1229.096] (S)takeru3614yu: まあしょうがない
[1231.984] (S)redrumS21: 🐮🖐にょっす！
[1232.794] (S)rukakun_5: hiirag17Nice
[1259.248] (S)fig_0106: ww
[1259.663] (S)餅大臣: 一生擦られてるな
[1261.343] アルミナ_積みゲー消化: 相手守りが上手い
[1272.247] (S)parasor404: 🐮✋にょっす！
[1274.612] bottieee: 逃がしてくれんな
[1278.201] (S)rrluti: 攻めのパターンが少ないか
[1280.586] horiuchi1000: 鳥籠されてる
[1281.250] (S)mimi_good_: 大はめくりがない
[1283.178] (S)takeru3614yu: 相手手堅いな
[1295.278] (S)uesgi_san: 強くしちまったか・・・
[1295.764] (S)oh_so_good: 怒るな
[1306.792] (S)rikaijam: 受け身とってないのばれた
[1306.998] (S)みじんコ: つっよ
[1308.871] ttatsuu1234: サブキャラやね
[1309.103] アルミナ_積みゲー消化: 読まれたか
[1310.227] (S)ymk_346: 流れが相手にいっちゃったな
[1310.407] (S)イヌマツ: 強くしちゃったｗ
[1312.674] kafka92916: 読み負け
[1314.262] wlqqqqqqq: 手札の差
[1316.469] horiuchi1000: めくりでボラれてしまった
[1317.027] fuu5353: nf
[1318.239] (S)takeru3614yu: モダンにめくりは強いな
[1318.422] (S)ensei14: めくり擦られたw
[1319.973] (S)08ryyyyy: 受け身か
[1321.128] (S)餅大臣: nt
[1321.424] (S)origajjjjj: お兄ちゃんに変わったか
[1321.776] (S)konishi625: 怒らせてしまった
[1323.739] (S)tsunekiyo01: 受け身とらないの？
[1326.949] mill_2715: 対応できんことを押し付けるってのを気づいてしまったな
[1332.722] (S)ようま: ケン多いなw
[1337.749] (S)むてきまる: 通る奴一生こすられたな
[1340.633] (S)mimi_good_: 確かに受け身ほしい
[1345.428] bottieee: ケン多いな
[1385.548] (S)mimi_good_: タイミング大事だけどインパクト
[1414.964] mill_2715: 迅雷弱派生はガードして弱アシスト届く時ある
[1416.379] (S)ようま: 中足見てからインパクトor OD昇竜
[1422.596] tanoae33: うまい
[1424.377] ttatsuu1234: ひいいいいいいいいいい
[1425.006] (S)ymk_346: www
[1429.294] (S)mairudo74: おしてた
[1430.959] bosobosoinu: ごゃん
[1440.179] (S)nasp0n: まずい
[1442.991] (S)とっぷっぷ: コンボミスお願いしてたｗ
[1444.431] (S)ymk_346: うめー
[1447.709] (S)fig_0106: うまい
[1449.126] fuu5353: わー
[1453.755] tanoae33: うめー
[1453.870] (S)r0mp1ng: 風邪悪化してて草
[1465.734] tanoae33: でるねえ
[1474.165] ろた_0417: ダイアから全然モダンおらんね
[1485.065] (S)08ryyyyy: ないす
[1510.412] (S)rikaijam: うっ
[1517.087] yatanashi421: うつま
[1521.172] (S)k4nabun: あっぶな
[1523.430] (S)hotatechang55: ないすw
[1527.721] クリオネア: こいつ昆虫か？
[1551.104] (S)ymk_346: うまっw
[1556.118] ttatsuu1234: いいねー
[1558.204] (S)rikaijam: ままままままま
[1558.637] fuu5353: おおないす！
[1566.545] (S)fig_0106: ないすーー
[1566.914] kei04050: ええやんええやん
[1567.543] yatanashi421: ナイス！
[1567.599] (S)ymk_346: 中段も混ぜていきますと
[1570.152] (S)hotatechang55: いいねぇ
[1573.991] (S)むてきまる: いいねえ
[1577.211] (S)カフェランベルセ: ちゅうだんうまw
[1578.163] (S)gyunyuma: ツルギが強くなったから見てる側もおもろい
[1588.240] (S)kasteera: もっとやってくれスト6
[1590.046] tanoae33: 読み合いおもろそう
[1593.539] (S)ymk_346: そろそろシミー時か
[1599.348] アルミナ_積みゲー消化: やりたさがバレてるか
[1600.620] (S)redrumS21: スト6見るのも最高だからな
[1607.800] (S)honokagggg: ツルギが強くなる姿おもろいよ
[1635.670] (S)依田よだれ: DinoDance
[1644.094] yatanashi421: w
[1647.924] (S)nasp0n: ｗ
[1653.029] bosobosoinu: 遊ぶな
[1662.046] (S)z1gzagb: あ
[1664.148] (S)fmcgj: あw
[1664.649] (S)rikaijam: あ
[1665.311] (S)テバ_02: あ
[1665.527] (S)the_goku_sf: あ
[1665.635] (S)gyunyuma: あ
[1667.209] fuu5353: あ
[1667.667] tanoae33: あ
[1669.869] ttatsuu1234: あ
[1671.628] (S)yagichan925: うぜぇーーー
[1671.872] (S)honokagggg: あ
[1692.944] tanoae33: うま
[1693.573] アルミナ_積みゲー消化: 振り向き上手いな
[1697.707] (S)mimi_good_: 大だからめくれてない
[1703.942] bottieee: ラッシュからのシミーとか
[1709.104] (S)maguroxunzi: プレイに余裕ですぎだろ、ウマ！
[1732.805] tanoae33: おもろいなあ
[1735.116] (S)nayonayo114514: 相手が倒れたら、ドライブの癖よまれとる
[1735.248] ttatsuu1234: GG
[1735.811] (S)ymk_346: ジャスパ 
[1740.093] kOn97154: ドンマイ
[1742.853] (S)mairudo74: ちょっと焦ってるな
[1743.270] (S)parasor404: ないとら
[1743.340] fuu5353: nf
[1755.514] (M)Nightbot: Youtubeでは切り抜きが上がっています！チャンネル登録お願いします！https://www.youtube.com/@HiiragiTsurugi/videos
[1756.605] tanoae33: ミラーおもろい
[1757.265] (S)k4nabun: 波動拳でゲージ無くなっちゃうのどうにかしたいな
[1761.733] (S)tixitsixo: tixitsixo subscribed at Tier 1. They've subscribed for 3 months! がんばれ
[1768.595] (S)ymk_346: 対空以外はコマンド？
[1769.638] (S)takeru3614yu: ダイヤになってくるとジャスパで合わせられるな
[1775.670] (S)udonprin: ツルギのケンの動き堅実だからなあ
[1781.620] fuu5353: ふぁいとー！
[1812.065] (S)ymk_346: 迅雷はジャスパしやすいからなー
[1826.273] (S)nasp0n: うますぎだろ相手
[1830.249] (S)hiromi2222: つよ
[1833.994] (S)udonprin: サブキャラだね
[1834.057] (S)z1gzagb: うまいな
[1835.030] (S)カフェランベルセ: イケイケやなぁ
[1835.345] (S)トムケイシー: きちぃ
[1835.868] poncoko: これメインマスターだろ絶対www
[1836.689] (S)ymk_346: うめー
[1836.923] kei04050: うますぎ
[1837.597] (S)k4nabun: ダイヤ入ってから迅雷のジャスパ率高い
[1844.052] (S)ymk_346: www
[1845.374] white_tea_jp: 流石にうまい
[1849.001] (S)mimi_good_: うますぎ
[1850.742] (S)9jira: うわ
[1852.785] moti_moti398: 卯っま、なんだこの人
[1853.793] (S)ラズベリーヤクザ: 上手すぎだろ
[1856.436] (S)oh_so_good: ひえー
[1857.942] (S)かみんちゅう: さすがにうまい
[1858.470] (S)takeru3614yu: これは格上w
[1860.444] tairu167: うますぎ
[1861.705] アルミナ_積みゲー消化: ケンのキャラ対完璧か
[1862.406] (S)tsura_nimu: ジャスパやべえ
[1864.352] mill_2715: 逆言うと投げがめちゃ通る
[1865.787] (S)みじんコ: つえぇ
[1865.887] (S)ymk_346: うますぎかー
[1867.587] bosobosoinu: こいつ絶対若い
[1867.806] mill_2715: 透かし投げとか
[1868.419] (S)ryuta12032: さすがにつよい
[1868.866] nenekawa: 対策えぐい
[1874.790] (S)honokagggg: 相手強いな
[1876.736] kabihouses: 先手出さないと負けてるイメージ
[1904.253] (S)ymk_346: 中段がー
[1917.078] (S)udonprin: 伝説のチョップ強いよなあ
[1917.901] (S)トムケイシー: こぱぁ
[1919.895] (S)hotatechang55: つよ
[1922.532] (S)k4nabun: 上手いなあ
[1922.559] (S)applleeeeeem: 大丈夫か笑
[1925.096] mill_2715: 有利すぎた
[1926.904] (S)rikaijam: 投げ早すぎたな
[1928.531] (S)guiga_ohm: 他キャラでマスターいってそう
[1951.220] syama666: 対空パリィ狙ってるからスカし投げいいかも
[1980.241] bottieee: そこコンボから繋げられたらよさそう
[1992.199] (S)ymk_346: BibleThump
[1993.921] (S)くまマリー: BibleThump
[1998.469] ttatsuu1234: おしい
[2003.437] (S)sirubedesu: うんま
[2003.643] horiuchi1000: OD波動多めに撃っちゃうとドライブゲージきつくなっちゃうね
[2003.665] (S)k4nabun: 勝てたなあ、惜しい
[2006.129] (S)かみんちゅう: BibleThump
[2006.731] (S)imokenpi00: やっぱ弱くなってるからしゃが中使わないんだな
[2008.941] tairu167: えぐいー
[2010.145] (S)offplanet07: 固ったw
[2014.057] (S)kasteera: キャラ対がんばれー
[2014.205] (S)udonprin: ラッシュからのあのチョップは立ちガードかパリィやね
[2016.513] (S)applleeeeeem: 風邪治ってないんか
[2027.192] (S)yagichan925: ゲージ管理がシビアになってくるね
[2027.983] (S)mimi_good_: 中足あてるのうまいからラッシュもいれたいな
[2029.590] gggawid: https://www.twitch.tv/gggawid?sr=a
[2031.021] (S)tsunekiyo01: OD波動って2ゲージ？
[2031.821] (S)ymk_346: 豪鬼減ったか？
[2038.318] (S)marui_ao: hiirag17Fight
[2045.156] (S)takeru3614yu: このレベルになるとジャスパしていかないといけないんかな？
[2055.547] (S)200193: 豪鬼はほとんどマスター行ったでしょ
[2059.456] moti_moti398: ダイヤ帯あんなの沢山いるのかぁ、やばいなー
[2073.916] (S)k4nabun: 豪鬼やれる人はサブキャラだからみんなマスター行っちゃった
[2081.751] (S)reco452: うま
[2100.243] (S)rikaijam: 見てるなー
[2101.023] (S)z1gzagb: うま
[2161.747] (S)marui_ao: hiirag17Nice
[2162.737] bottieee: ある程度コンボ完遂出来るといい感じになりそう
[2165.030] (S)k4nabun: ないすー
[2165.349] kei04050: ないすー
[2165.563] (S)imokenpi00: だいぶパナサーだな
[2166.230] (S)ymk_346: hiirag17Nice
[2167.290] (S)z1gzagb: ナイス
[2168.867] (S)aki__59: hiirag17Nice
[2169.071] horiuchi1000: ないすー！
[2169.125] (S)ri0tqn: ぜんぶぱなすね
