[2126.069] (S)akahige9280: ゾロおる？
[2142.475] lililllln: LUL
[2147.358] samucd16: 唐突だなｗ
[2150.510] やきそばぬ: 眠剤決まってるしゃべり方
[2158.240] (S)かなるな: カイトくんが終わったあとの話してるか一旦
[2161.719] (S)はおちゃ: 🕊ﾎﾟｯﾎﾟ
[2166.259] (S)やなぎ1617: www
[2172.830] (S)akahige9280: 海のうの字も行ってないんだから
[2173.080] (S)junn_0212: 虎太郎おねんねしてるの？
[2178.873] broca_jp: リボルバー、なずちゃん、れんくん、らんさんにあげたいね
[2189.598] (S)rootlic: 3時間くらい観れてない間にやってたのかと思っちゃった
[2196.276] Nem0_7777: VCRになるとタイムトラベラーみたいなリスナー増えるよね(伝われ)
[2199.950] (S)kkkzucchikkk: 武器の湧き率そろそろ変わってほしいですねー
[2200.252] (S)はおちゃ: PopNemo
[2204.519] ktuunn: 今日はラジオ気を付けてね
[2205.765] ししどくろ: いなかった時の話は本人たちから聞きたいね
[2211.673] (S)かなるな: ねんねか
[2214.642] pwgkpmtjwm: こたちゃんおねんねか
[2219.195] (S)akko818: おねんねか
[2221.388] ke_niru: 今回のVCRは最終的に何をするの？
[2222.520] (S)owo_8o8: 想像だけできゃわわ
[2222.735] lililllln: ( ˘ω˘)ｽﾔｧ
[2224.442] (S)akahige9280: 寝顔も可愛いんやろうな
[2225.024] daikichi_831: もう、外出れるんですか？
[2230.374] (S)junn_0212: すくすく育ちますわ
[2232.119] (S)じぇにん: こたちゃんのスタンプが欲しい
[2238.131] ブラスマティ: 「父ちゃんお仕事やし、寝とこ」
[2246.290] mochineko___: 犬種てなんですか？
[2248.649] (S)はおちゃ: こたちゃんのスタンプ欲しいな
[2249.556] nelukun: Twitch初見です。かいとくんがみきぽんと付き合ってた頃から応援してます💪配信ファイトです
[2254.235] オーマーン国際空港: 置きたら膝元で一緒に配信して
[2255.682] (S)はおちゃ: 犬種はポメチワです
[2257.059] (S)かなるな: 成長感じるなら
[2261.411] ブラスマティ: wwwwwwwww
[2265.600] ke_niru: 今回のVCRは最終的に何をするの？
[2265.868] 081213ryu: 誰かチームに誘いたい人います？
[2271.088] shoota8982: 成犬で何キロぐらいまで成長するの？
[2271.275] (S)akko818: 片手サイズか
[2272.044] pepe_nasu: ヘンディーの愛のほうが重いよ
[2272.431] yutanatana: 成長を感じるね～
[2280.545] tsukki_bebe: こたちゃんどんな性格です？
[2285.576] lililllln: すくすく育ってえらい
[2285.792] ブラスマティ: アムの頭の重さより軽そう
[2287.915] Umomm00: 赤ちゃん犬って片手で持ててたのが両手で持たないとってなるのが早いんよね
[2299.790] ke_niru: 今回のVCRは最終的に何をするの？
[2330.163] やきそばぬ: 超大型犬飼わんか？
[2362.698] Ran_0x0: お散歩大変よな
[2364.184] Umomm00: 一人暮らし大型犬は相当覚悟決まらんと無理w
[2364.449] (S)akko818: アムとご対面してるの見たい
[2367.523] kobakobabunbun: 世話が大変すぎるうせわ
[2367.618] どすこいゴトー: しゃかさんちにピンポンダッシュするのめっちゃくだらなくておもろかったからデイリーにしてほしい
[2368.843] yutanatana: 室内飼いだと難しいみたいね
[2371.989] kamui811: へぇんでぇいおはよう〜
[2374.033] amiby4u: ラジオ塔だって？NPCが襲ってくるところ気をつけてね
[2374.116] (S)かなるな: 都会で大型犬ってハードル高ない？
[2380.642] samucd16: 大型犬たまにならいいけど世話するってなると覚悟たらんわ
[2382.112] (S)kaito_0213: ウチの子ダックスだけど太りすぎて抱っこ大変です。
[2385.420] Mimimito0: 大型犬は同居人いないと難しいよね
[2397.805] mochineko___: ねこは？
[2398.683] やきそばぬ: 一人暮らしなのか
[2400.814] lililllln: いいな〜
[2401.029] gingerbreadkun: MAX何キロまでなるって言ってました？？
[2407.233] sly_dog__: 介護がマジしんどいよ
[2412.838] (S)zakiyoka: 車も欲しくなるし
[2419.254] オーマーン国際空港: 同棲しよか
[2420.712] 5_mine: ってことはvdkは？
[2433.688] Umomm00: 病院パニックになるタイプの子だと大型犬は大変
[2442.196] osyou987: じゃあまずは結婚かぁ
