[5483.806] (S)yaseig777: wwww
[5603.372] (S)ンパールーパー: 受付嬢は連絡先ブロックしよ
[5631.928] (S)yaseig777: てかもう2乙してんのか、初のクエスト失敗ある〜？
[5644.553] (S)Owl__zzz: 探索よ一応
[5656.556] (S)yaseig777: あ、そっかこれ探索かw
[5685.158] (M)えっっっくす: 倒さなくて良いモンスター相手にして3乙の危機ってこと？
[5702.089] (S)yaseig777: ストーリー上討伐は必須ではあるw
[5712.015] (M)えっっっくす: なるほど。
[5719.197] (S)yaseig777: あ
[5720.197] (M)えっっっくす: あぶぬぇい…！
[5722.090] __ひびき: あ
[5734.879] (S)yaseig777: 防具、作るかぁ
[5737.536] (S)Owl__zzz: 毒うぜえ
[5741.466] (M)えっっっくす: 防具か…
[5753.371] (S)yaseig777: そっか秘薬も使ってないのかw
[5792.536] (S)yaseig777: あのパチンコもどきで秘薬いっぱい手に入るから、こだわりがなければ気軽に使ってもよいとおもうぺこ
[5844.657] (S)yaseig777: 一撃で体力8割
[5969.510] yuuri_u_u: こんいちは
[6019.138] (S)yaseig777: wwww
[6027.250] yasudatada: トビカガチ亜種マジでダルい。
[6029.375] yuuri_u_u: 純の悪口
[6032.066] (S)yaseig777: そういやUKさん肉も食べてないのかw
[6032.591] (M)えっっっくす: UKさんがイラつき始めてて嬉しい
[6054.962] (M)えっっっくす: 表情が怖いw
[6075.011] (S)yaseig777: wwww
[6080.152] __ひびき: ダルシムかわいいうえに有能
[6139.108] (M)えっっっくす: ダルシム頑張れ cheer45
[6163.733] (S)yaseig777: 流石亜種
[6184.969] (S)yaseig777: バフバロくんwwww
[6188.513] (S)Owl__zzz: 邪魔すぎw
[6209.182] (S)yaseig777: こんなに乱入してくるバフバロ初めてみたw
[6230.854] __ひびき: ｗｗｗ
[6383.726] (S)ンパールーパー: wwww
[6395.944] (S)yaseig777: ババアロビン
[6439.827] (S)yaseig777: 同期くんまた装備新調してら
[6441.621] (S)ンパールーパー: 怒られろ
[6450.251] (S)ンパールーパー: お
[6453.799] (S)ンパールーパー: 受付嬢旅立ち？
[6479.422] (S)Owl__zzz: よっっしゃゃゃ！
[6480.129] (S)ンパールーパー: ぉぉおおお！！！
[6489.348] (S)yaseig777: 不人気すぎてここでクビになったのほんま笑う
[6494.157] (S)ンパールーパー: 受付嬢、クビだァァァァァ！
[6503.328] (S)ンパールーパー: ばいばァァァァァァァいい！！！！
[6511.865] (M)えっっっくす: あ！KHさんが嬉し過ぎて発狂してたシーンだ！
[6512.975] (S)ンパールーパー: ダルシム2匹いたなぁ
[6529.226] (S)ンパールーパー: そういや、発狂してたねww
[6549.575] (S)ンパールーパー: それも贅沢
[6582.337] (S)ンパールーパー: 受付嬢のあの辺に高い声聞かなくていいのか
[6585.124] (S)ンパールーパー: よっしゃ
[6595.300] (S)ンパールーパー: 光のモンハン始まった
[6604.229] __ひびき: かわいい
[6606.602] (S)yaseig777: 集会場きちゃあ
[6612.586] (S)Owl__zzz: 一番人気
[6613.299] (S)ンパールーパー: あらァ〜ピンク似合ってるねぇ
[6629.351] (S)ンパールーパー: オバサマ本当にありがとう
[6649.150] (S)ンパールーパー: プケプケッて毒あったやつ？
[6668.838] (S)yaseig777: やっぱ受付嬢は村でハンターを待ってこそよな、帰る場所系ヒロイン
[6671.249] (S)ンパールーパー: 舌ぶっとくて
[6687.128] (S)ンパールーパー: 行ってらっしゃい
[6696.662] (S)ンパールーパー: ファイティン
[6704.283] (S)ンパールーパー: 声もそっちの方が好き
[6713.169] (S)ンパールーパー: 落ち着く声だわぁ
[6715.085] __ひびき: 落ち着いた声でいいね
