[228.839] まいまいまる: 日ハム負け
[229.010] (S)huuka123: やあ
[229.039] しがない一般男性: 海に沈められる夢を見たんだよね
[232.512] ナナミン: ててててーん
[233.421] ずんだフィットネス: 死体は次元俺ルパーン3世
[235.572] (S)hanamiz7: 酒盛りしてからのかものパワポケ配信が何よりの生きがいだよ、ありがとう
[237.334] sai927: このUIなっつくて最高
[237.353] fanjowago: ルパンのカットイン最強すぎる
[238.092] mogarisa: オールG！？
[242.647] steak_2929: とんでもないことになった
[244.557] mmm3mmm0: 交流戦ではなんだかんだ神になるオースティン
[245.688] (S)パイモンすこ: 普通に怖いエンディング
[246.550] ynwnnbf: やっぱり捨てられるもこたん
[247.555] ym0654: なるみるな
[249.178] もたる: もこたんならなぁ
[250.731] hulilc: もこたん…
[251.850] holyburdock: もこたんが原神を捨てた！？
[253.807] vanhoten: ベイスターズ負けたと思ったらオースティンがジャスティス破壊したわ
[257.958] ナナミン: る、な
[258.441] bdkt02: ガソリン欲しいね
[258.446] rainman606: 実業家ならなぁ…
[258.889] agbehringer: 原発反対！
[259.980] syootd: 裏切ルナ
[262.104] イヴァンバッソ: コカドくんごめんなぁ
[262.319] naginohazama: もこたんさぁ
[262.654] ynwnnbf: 緑川もしくは成海るなの可能性がある
[264.750] ディギモー: 今野球の話してる？
[264.921] syakemaru05: ぎゅるん
[265.023] (S)manmu04: あれクソ笑った
[267.006] meishou_poichi: 放射能漏れからの放射性廃棄物の海洋投棄END
[268.694] (S)nokonoko_ttv: まものはしきたああああ
[269.105] ナナミン: BGMおかしない？
[269.413] (S)huuka123: あれで終わるの令和のゲームならクレーム入る
[269.952] syakemaru05: ぎゅるるるるるるるるん
[271.135] syootd: うらぎルナ
[276.813] syakemaru05: ごゅるん
[278.358] ずんだフィットネス: かなしぃ
[279.429] agbehringer: 原発を許すな！
[281.437] ynwnnbf: なんであれで5位？
[281.473] shige_10: 原子力を装備してる時に3回水漏れ起こすとゲームオーバーらしいぞ
[283.348] ナナミン: ベイス弱いからたまには勝たせてくれ
[287.719] ~MISSING_COMMENTER_INFO~: ファイヤーフォーメーション
[289.423] mogarisa: つっつホームラン打ったしな
[292.130] (S)4kapk: 宮崎にヒット出たのは収穫だったな
[294.272] syakemaru05: 原発反対チャンネルはここですか？
[294.504] ~MISSING_COMMENTER_INFO~: 筒香がデカすぎる
[295.296] steak_2929: www
[295.367] mumei_mimei: このゲーム死ぬの？
[296.500] (S)huuka123: LUL
[297.853] meishou_poichi: クソゲーｗ
[297.969] bdkt02: 処理水
[300.084] syootd: まだ渡合までおるんやもんな
[302.074] agbehringer: 阿部がバント辞め始めた途端巨人打線打ち始めたぞ！
[302.655] (S)強竜優勝: 爆弾すぎる
[302.889] makou54321: 筒香がちゃんと働いてるの偉い
[304.200] ym0654: 自分から欲しい言うてたやん
[304.525] meishou_poichi: オス原子力
[304.725] agtms3763: 最近田中調子悪くね？
[304.734] kabcddeffggqpn: 🗿🍷ガチイク!
[305.359] コーギー棚井: ヤマヤス劇場
[307.137] (S)パイモンすこ: 水漏れ起こしてたら-50万とかになってたよね
[311.838] emaexema: ワイDeファン負けたと思った
[312.070] kamomefan: 死んでも終わらないで下さい🥺
[312.075] mmm3mmm0: 冷却できなくなるってことか
[312.695] mokou755: やめてね 
[315.338] (S)manmu04: もこたんは時代遅れだよ
[317.732] wichan1516: BloodTrail
[317.825] kusaha_el: 今日パワポケ３予習してきたわ攻略サイト探しても出てこなくてなくてワロタ
[318.405] ますたーかむい: 案の定通知来なかったけど待ってたぞ！
[319.842] (S)33maxfer: 埋められた
[320.206] syakemaru05: 原発反対チャンネルはここですか？？
[320.389] mayoi_misora: 昨日の怖すぎだろ
[321.226] (S)huuka123: ４ぬし 放射能汚染も起こるよ
[322.485] toyooruuu: 海に沈められたよ
[324.621] (S)nokonoko_ttv: え
[328.258] ロイヤルロッホ那賀: ；；
[329.985] みーず: パワポケはめちゃくちゃ４にます
[331.039] tam3152: 神ゲー
[332.548] (S)manmu04: うｎ
[332.785] しがない一般男性: あまりにも唐突だった
[333.935] syakemaru05: 原発反対チャンネルはここですか？
[336.146] melonpan_orix: 環境破壊
[337.813] ダンミセリ: 沈められたって立浪か？
[339.993] donoirf: 冗談に聞こえるけどガチ
[341.141] kuroro18739: 彼女も死にますと
[341.222] kabcddeffggqpn: BibleThump
[346.412] mogarisa: シールドは？
[347.516] (S)huuka123: BGM不安定だな
[348.610] shige_10: 原発反対放送
[351.448] mmm3mmm0: 横浜ファンは今日の日ハムみたいな負け先週2回されたから許してくれや
[354.209] イヴァンバッソ: 環境活動家もにっこり
[356.608] kasow9n9: 4ぬ要素がある野球ゲーム
[356.699] makou54321: 昨日見てないけど立浪にやられたの？
[360.887] syakemaru05: 原発反対チャンネルはここですか？？
[362.518] agbehringer: どっちやねん
[362.877] ナナミン: 不協和音感ある
[370.694] (S)huuka123: 治ってきた
