[72.295] (S)Nemuxx: Nemuxx subscribed at Tier 1. They've subscribed for 3 months, currently on a 3 month streak! こんばに 
[72.393] rei_m71: フェスお疲れ様でした！
[72.438] (S)えすとーま: フェスお疲れ様でした 
[72.452] (S)たぼ爺: こんばんは
[72.816] kana7999: 雑談うれしい🥲
[72.936] (S)noa_448: フェスお疲れ様でした！楽しかった！
[73.121] はるこっこ: おはようございます！フェスお疲れ様でした！
[73.326] omusubi_puff: フェスお疲れ様でしたー
[73.351] miso_mm: お疲れさまでした
[73.450] choco_79425: フェスお疲れ様です
[73.521] _イリス: お疲れ様でした！
[73.623] nonco30: こんばんは！フェスメッチャ楽しかったですー
[73.679] kaora391: こんばんわー
[73.728] iqqqq33: おつかれえええ
[74.292] (S)nyansamajayo: お疲れだったねー
[74.521] ときれいな: おはよー
[74.549] くろばれお: フェスお疲れ様でした～
[74.596] (S)nulllpp: おはおつ
[74.937] あーめ: こんばんは〜
[75.118] (S)muranomaru: フェス、お疲れ様でした！！
[75.135] kagiesss: お疲れ様でしたぁ！ちょーたのしかった！
[75.137] mizuki_0907: こんばんはー！お疲れ様でしたー！
[75.148] (S)しいらぎ: お久しぶりですー
[75.177] (S)Riya_san: CRフェス楽しかったお疲れ様！！
[75.339] dosfgjk: おつー
[75.370] naru_naruto: フェスお疲れ様でした〜
[75.509] ここちむ: おつかれさま 
[75.639] yurayura_hbw: フェス2日間めちゃくちゃ楽しかったですー！！！！！
[75.727] ひかっちゃん: お疲れ様でした！
[75.829] (S)実音: ばにさんおつかれさまでしたー！！！
[75.859] みゅんっ: お疲れ様でした!!
[75.992] yuuuu1_21: フェスお疲れ様でしたー！
[76.049] ののぁ: お疲れ様でした！！
[76.138] MtoBsyo: お疲れでしたー！
[76.270] ゆっけたや: おつかれさま〜
[76.427] ___ここ: CRフェスお疲れ様でした〜！！
[76.513] 零々: こんばんは〜
[76.601] epa_shi: お疲れ様でしたー！
[76.624] kmrh3_: お疲れ様でした〜〜！
[76.743] mmmy_m: バニさんお疲れ様でしたー！
[76.745] あるじゃんて: こんばんは
[76.842] lily0947: CRフェスお疲れ様でした
[76.947] kokoccha: こんばんは！
[77.181] mizono_s2: フェスおつかれさまでしたー
[77.186] waka_ra: お疲れ様でした！！！
[77.931] いけポン: お疲れ様でしたあ
[77.995] 27can_: おはよー
[78.155] kazu_sakura: お疲れ様でした
[78.217] Kokoro_324: フェスお疲れ様でした〜
[78.439] poyooon_: フェスお疲れ様でした！！
[78.638] mmiittcch: フェスお疲れ様でしたー！
[78.871] (S)meniamaru: meniamaru subscribed with Prime. They've subscribed for 2 months! フェスお疲れ様でしたー！
[79.007] (S)あいすくりんく: お疲れさまでした
[79.011] あぃりす: ２日間お疲れさまでした！！
[79.040] 0807___natsu: 愛してる
[79.216] b0n3bom8: フェスお疲れさまでしたー
[79.451] のんぴよ: お疲れ様でした〜！
[79.599] nemui_yoyo: 雑談感謝
[80.012] wmomongaw: お疲れさまでしたー！
[80.034] tonduke99: たのしかった！！！！
[80.229] yuri__121: フェスおつかれさまです〜！
[80.325] petty267: フェスお疲れ様でした！
[80.438] こえり_3710: フェスお疲れ様でした！
[80.968] めるめ: crvaniHello
[81.144] k___07: crvaniHello
[81.184] mikann225: お疲れ様でした
[81.203] onakasuita0112: フェス楽しかった！！！
[81.209] くすくすー: お疲れ様でしたー！
[81.230] (S)onaben0517: お疲れ様でした！
[81.312] nonco30: お疲れ様でした〜
[81.328] kazu_sakura: うん
[81.372] (S)bostyloose: お疲れ様でしたー♪
[81.584] 降谷翠: お疲れ様！！
[81.597] choco_79425: そうだね
[82.006] yuta04345: お疲れ様!
[82.070] gyoza25252: お疲れ様ー！
[82.262] まりぃる: フェスお疲れ様でした！
[82.471] _イリス: お久しぶりです
[82.675] (S)nyansamajayo: フェス楽しかったよ〜
[83.136] sleep_sleep1031: フェスおつかれ様〜！！
[83.193] りるも: CRフェスお疲れさまでした！
[83.523] (S)あかね_緋音: お疲れ様でした！
[84.315] kuni9292kuni: 久しぶりにバニちゃんの声聞けたー🙌✨
[84.390] yuzuha76: こんばんは！2日間お疲れ様でした。配信嬉しい♡
