[2532.067] yoshikawa_yo: まじか
[2532.589] coralbeaf: ゴンの才能があるけ
[2533.535] LT123456: また有能な弟子を発掘してしまったか…
[2537.414] papapoppapa: 弾ないキャラは早くヒット確認覚えたほうがいいね
[2545.238] YUUKU1997: ネカリのプレッシャーかけてる
[2546.608] (S)イナゴ0213: うまいが
[2547.675] nhhhe: うめえｗ
[2551.113] kurage88: ｗｗｗ
[2558.657] (S)イナゴ0213: うそだろｗ
[2562.777] lop_nur: バクステ良いな
[2570.363] kurage88: 体力差あったしまあまあ
[2571.345] psionicpsi: やーる
[2578.530] dan4909: ええやんｗ
[2580.199] 寝るポイント: しっかりしてんなー。
[2582.450] kamisimeru: カンニング昇竜 これは上級
[2586.119] vent_odd: 普通にお上手では？？
[2589.386] Raynys: nice job Suzuki! 
[2591.544] kaedekuno1: これはゴールドある
[2594.498] YUUKU1997: 投げ上手い
[2596.868] omedetroit: 鈴木の成長に震える
[2597.297] (S)cafe_gondo: すごい・・・
[2608.805] muryokuka: 最強の弟子 鈴木
[2609.065] yoshikawa_yo: 先週より上手いのが素晴らしいよね
[2611.453] kurage88: ｗｗ
[2613.822] RicQuaresma7: ｗｗｗ
[2626.398] omedetroit: "一日１つだけ強くなる"
[2627.647] こあとる: うめちゃんリスペクトｗ
[2628.861] indica2000: セイスモ教えたっけ?
[2642.646] 寝るポイント: フレームは相手にやられて困ってる技１つ１つ確認していくといい。
[2643.980] omedetroit: これでまだセイスモ禁止してるのが凄いわww
[2665.257] yuki201709: 1日一つだけ弱くなる
[2666.844] (S)optedout731: セイスモ今回教えるのかと思ってた
[2673.274] dan4909: ふーどの格ゲー理論はほんと面白い
[2680.478] yoshikawa_yo: そういや地震してねえ！やるなー
[2686.858] yuki201709: ウメハラは3ラウンド目遊ぶからな
[2742.465] 寝るポイント: たけしやるな。
[2742.565] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[2768.380] sumiyoshisan_: 調べて！
[2774.609] yoshikawa_yo: おいw
[2785.914] Fine25: 変身時のフレーム見ちゃうか
[2811.460] kamisimeru: 45分です
[2814.472] Raynys: that dp...
[2822.033] 寝るポイント: 起き攻めはもう教えたの？
[2827.369] azaleanHill: はつめの時詰め込みすぎた教訓が活きてる
[2829.541] Raynys: stop to random dp Suzuki 
[2834.239] (S)optedout731: EX昇竜中毒・・・
[2836.259] さぶろ: 昇竜スカった時点であきらめちゃってたね
[2842.643] masa5rinrin: 便器舐め消えろ
[2843.916] quake2815: zeku ugly af
[2845.014] lop_nur: これ勝てばポイント美味しいぞ
[2853.752] xshadaloowarriorx: Hey Jyuna what are they really doing? Are these new sf players learning with Fuudo?
[2858.501] sumiyoshisan_: 打ってどうなったかっての経験が重要だよね
[2860.090] yoshikawa_yo: いけるいける
[2865.339] (S)イナゴ0213: おしい
[2921.982] kurage88: 相手鈴木の昇竜に恐れをなしているな
[2923.995] 寝るポイント: 是空の人はだいぶ安いな
[2924.091] yuki201709: ！
[2926.243] Raynys: disc guidance is punishable too, i use that just against projectile
[2928.669] yarukiannu: 是空戦とかはセイスモ教えた方がいいんじゃね
[2965.584] yoshikawa_yo: これなら飛んでりゃなんとかなりそう
[2987.710] crusade893: 折笠さんは性格が…
[2996.542] (S)イナゴ0213: 自己顕示欲がない
[3002.090] omedetroit: めっちゃ真面目
[3015.783] 寝るポイント: どっしりした立ち回りだし、ヒット確認もすぐできるようになりそう。
[3029.316] crusade893: 折笠さんが出来ない前ステ投げ
[3031.503] azaleanHill: いっぱいw
[3034.175] tannkai: いっぱいｗ
[3034.425] うもだま: おお
[3038.144] Raynys: NICE SUZUKI 
[3040.088] psionicpsi: うぃぃぃｘ
[3040.228] tannkai: やるうううう
[3041.737] kaedekuno1: きたーーー
[3043.139] kurage88: 勝利していく
[3052.593] yoshikawa_yo: おめー
[3065.751] catsandcats256: かったー
[3068.601] crusade893: 凄い理解できました
[3069.540] kurage88: ZEROは積まなかった系か
[3078.408] sibazuke0141: 良かった！
[3080.520] vent_odd: とても分かり易かったです
[3081.776] gjptmadwtga: わかりやすい
[3084.276] yoshikawa_yo: よかった
[3088.363] hdmi100: ふーど君は天才ですよ
[3088.557] nup1965: なんとなくわかった！
[3088.722] theater_jpn: ルーキーの僕はわかりやすいです
[3090.740] omedetroit: NHKで流したいレベル
[3091.869] YUUKU1997: フレーム分かればコンボ組み立ても自分で出来ますね！
[3094.009] tannkai: しょっぱな？？？だったけど理解できた
[3098.590] kaedekuno1: フレームと同じくらいダイエット企画についてもわかり易い説明お願いしやす
[3107.890] psionicpsi: Eテレ格ゲー講座あるな
[3120.943] kametori: ダイエット企画の説明があれば完璧
[3121.191] yoshikawa_yo: あの謎ボクシング普通に面白そう
[3130.390] Raynys: thank you for translate us
[3130.779] kamisimeru: 投げのフレームが一番かなめ
[3146.839] YUUKU1997: 不利フレーム背負う技は危ないと
[3156.193] crusade893: いいコンボ！！
[3156.590] 寝るポイント: スト５はわかりやすいようで、わかりにくさが隠れてるからな
[3171.127] Raynys: :O
[3175.654] Raynys: brave Necalli
[3177.237] sumiyoshisan_: 前ステ投げうまいねー
[3182.353] (S)イナゴ0213: 前ステが鋭い
[3187.108] YUUKU1997: 前ステ投げ上手い
[3187.135] kurage88: びよ～ん
[3189.159] crusade893: 前ステ投げ＜＜＜＜びょーん
[3202.962] dan4909: びよーんが強すぎる
[3223.521] raging_machin3: where afro fang
[3247.274] matanitan: ターゲットコンボ教えてあげては？
[3256.237] Raynys: Daigo teach too?
