[65.513] n4tu14: レイード！！！
[65.662] (S)ゆうっく: wwwwww
[65.666] nihu_umeki: レイード…！
[65.744] obake_cyan: 誰だよ
[66.418] dokukinoco: よそ行きの声
[66.895] nekokomiko: おお
[66.969] はたの: うおおおお
[66.976] mayoi_baum: 声作りすぎ
[68.102] yua_ty: 借りてきたレイド
[68.130] babutoro: れいーど！
[68.218] (S)レロキャン: 被ってる？
[68.414] (S)shuun3: radaoKitya
[68.657] ayunosioyaki0223: radaoKitya
[68.714] (S)bukubukutyagama0713: おかえり
[68.862] mgpain3541: だれ？w
[68.889] ゆめゆに_222: うおおおおおお
[69.060] アラル海: きちゃあああああ
[69.101] (S)なんどね: 猫被ってる？
[69.488] risukao: 外ゆきレイドさんw
[69.591] ankk0402: わこらだ
[69.597] あーもんどです: きれいなレイド
[70.277] (S)きのここ: うおおおおお
[70.392] キラキラボシ: おおおおおお
[70.494] (S)96猫3: radaoKitya
[70.713] ココナッツ__24: radaoKitya
[70.762] あしゅ_1127_: きた！
[70.856] (S)himajan0315: wwww
[70.971] yukino_toudou: wwww
[71.142] 宙海: よそ行きだ！！！
[71.387] melonmelo_: きちゃあああ
[71.901] かるろ: radaoKitya
[72.142] t0zo_: え？何でだよw
[72.166] (S)わらびもち_11: wwwwww
[72.374] shiu27: フヒヒ
[72.505] ちゃつう: radaoHi
[72.775] ホトトギス: 綺麗な白雪いるわww
[72.833] show_918: きちゃーーーー
[72.856] (S)髪おむつ: よそ行きだね
[72.991] ma_tsutake23: radaoKitya
[73.061] ご機嫌なシャチ: だ、だれ？
[73.062] tukaima_2323: wwwwww
[73.074] せいやせいちゃん: www
[73.106] (S)niina0127: きちゃ
[73.298] (S)ankoro0825: 猫被りすぎて誰？www
[73.308] 宇宙に浮かぶひつじ: radaoKitya
[73.503] many7575: radaoKitya
[73.560] (S)~MISSING_COMMENTER_INFO~: うおおおお
[73.599] 狐日和2014: radaoHi
[73.890] 土管がドッカーン: イケボ
[73.960] chun_taro2004: れいーど...！
[74.066] (S)mrgrtpsr: radaoKitya
[74.086] (S)ぺこぽん2212: ぺこぽん2212 subscribed at Tier 1. 
[74.165] mgpain3541: あwwwww
[74.176] スカイウリ: よりにもよって酔ってる時にwwww
[74.279] にゅーん: れいーど！！！！
[74.510] Ramune__0: 猫かぶるな
[74.546] (S)xscey: radaoHi
[74.606] mizusakura0326: うおおおおおおお
[74.708] ほのぼの: radaoKitya
[74.713] えりさ_: radaoKitya
[74.829] ギンナン: radaoKitya
[75.255] noyanoya8: うわぁぁぁぁぁぁぁぁぁぁぁぁっぁぁぁぁ
[75.409] (S)kurot0923: radaoKitya
[75.647] しあーー: radaoKitya
[76.236] rira_nyan: わこらだ
[76.556] YodoRa: radaoHi
[76.775] 俺だよおれ: レイード！
[76.787] sasa_7280: わこらだ
[76.787] ツキミん: radaoHi
[77.019] さち_: うおおおお
[77.055] 雪華0830: radaoKitya
[77.079] kurasaka128: radaoHi
[77.138] karen0046: radaoKitya
[77.268] andaru0904: ま！？！？
[77.286] yuuyuu1203: wwwwww
[77.340] apple011527: れいーーど
[77.878] lara_3o: radaoKitya
[77.933] (S)Hinori0228: radaoKitya
[78.071] (S)mrgrtpsr: マウントきた
[78.126] しああき: きちゃあああああ
[78.166] 3939rio: radaoHi
[78.302] yuu_1010: radaoKitya
[78.560] (S)とこい: radaoKitya
[78.722] umeneribiglove: きたああああああ
[78.725] めるめ: うおおおおおおおおおおおお
[78.790] ゆうの: わこらだ
[78.847] ﾏｲﾁｮ: 綺麗なレイドやな
[79.049] carbonara10: radaoKitya
[79.060] n252479: わこらだ
[79.271] (S)yunoooa: えー
[79.288] oruka_kun: わこらだ
[79.304] (S)にわすずめ: まぁまぁまぁ？
[79.530] コア21: きちゃーーー
[79.689] (S)Murasaki_IM0: radaoHi
[79.752] mikn10: わこらだ〜
[79.907] 暗黙の緑茶: え？
[79.953] 囚人番号: れいーど 
[80.153] (S)himajan0315: radaoKitya
[80.399] (S)yunoooa: ま？
[80.418] ｱｵｲﾊﾙ: radaoKitya
[80.432] (S)明日花ちゃん: わこらだ！
[80.442] (S)Yuri_0710: きたー
[80.463] ~MISSING_COMMENTER_INFO~: どゆことーwwwwww
[80.667] yururano_0: わこらだ 
[80.698] ma_tsutake23: radaoKitya
[80.707] show_918: わこらだ
[80.906] kota0513: radaoKitya
[80.907] mizuiro000: うわぁお笑
