[1700.473] okitotoro: なんの偏見だよ消えろ
[1701.468] surokun777: 鈴木話さないね図星？
[1705.089] (S)イオリア: ミカの対空裏山
[1712.096] (S)kumatedd: マジレスどうもね
[1719.063] dandankokoro0528: 周りのウェーイ何？？？
[1736.585] (S)きよっぷ: スマブラの大会やってるんだって
[1736.863] (S)ersansu: スマブラの大会してるとかなんとか
[1738.007] (S)kumatedd: スマブラ盛り上がってるね
[1739.917] surokun777: どこでやってるの？いつもと場所違くない？
[1744.973] cjGRAYSON: he knows the meaties
[1758.868] ~MISSING_COMMENTER_INFO~: いつもと同じ場所だけど隣辺りで何かやってるらしい
[1759.534] canon_203: レッドブルゲーミングスフィア中野
[1761.798] cjGRAYSON: elbow, dash grab, or meaty thunder clap
[1762.538] yoshikawa_yo: いつもと一緒だよ
[1768.607] surokun777: レッドブルスフィアね
[1776.354] fliege1515: あああ
[1782.458] surokun777: ありがとう
[1787.716] (S)blankey3104: umeYay
[1794.989] surokun777: 鈴木もっと話して
[1807.398] canon_203: やーる
[1818.349] oenay1988: why you dont play 30 anniversary daigo
[1819.351] cjGRAYSON: Jump 
[1838.244] ~MISSING_COMMENTER_INFO~: 30周年は発売されてねーよ
[1838.754] surokun777: 鈴木何歳？
[1849.431] surokun777: 自己紹介もう終わったの？
[1859.987] yoshikawa_yo: 最速擦るとか
[1868.527] canon_203: やるなー
[1898.774] cjGRAYSON: st mp yes
[1905.687] (S)kumatedd: 実況プレイ
[1950.204] ramulock: ヌキさんがプレイしてるあれは？
[1955.336] canon_203: ふーどの「人読み講座」
[1956.638] 玉蘭: すごいVT2だ
[1959.961] ~MISSING_COMMENTER_INFO~: 大貫のは海外版
[1960.158] cjGRAYSON: he does alot of ex elbow lol
[2010.920] fliege1515: ぎゃー
[2011.947] canon_203: おーーーー
[2017.848] watafork: 始めてみたまである
[2018.770] (S)kumatedd: ！？
[2022.467] (S)kumatedd: へえ
[2023.523] 玉蘭: すげーそういう使い方
[2035.795] yoshikawa_yo: KOF94
[2062.327] canon_203: うおー
[2065.520] cjGRAYSON: he either turtles, mashes or ex elbows
[2094.924] 虚仮の一念: 対戦ありがとうございました😊
