[2274.739] (M)Nightbot: 面白いシーンなどがあれば”名前”をつけてクリップしてもらえると嬉しいです！もしかしたらそのシーンが切り抜きで出てくるかもです！メンバー、サブスク限定のディスコードサーバーもあるので是非はいってみてください！
[2280.075] taishudaigin: 設置の山P
[2350.167] (S)akahige9280: tonaka2Kuuuuuun
[2352.205] (S)はおちゃ: ntnt
[2355.487] yozakuraarika: ntnt
[2356.620] manji5616: ww
[2358.771] lililllln: おちんついて〜
[2360.158] _えれれ_: アッパー見ちゃったwwww
[2361.089] ~MISSING_COMMENTER_INFO~: wwww
[2362.518] (S)ケダ: 焦ったなあｗｗ
[2364.632] ~MISSING_COMMENTER_INFO~: おちんこついてー
[2366.216] (S)ゴルスタ: nt
[2368.261] yamakaze44: どの壁のこと言ってたのか・・・
[2372.189] kamaboko0000: がんばれ炭治郎！
[2375.569] inufu: がんばえー！
[2376.222] taishudaigin: 伊藤誠や
[2378.802] (S)ケダ: NT
[2380.226] (S)akahige9280: tonaka2Ganabare
[2380.502] ajimaru_: こっちから抜けるって意味ね
[2383.864] (S)retr0mantis: ntや
[2384.706] はゔぁ: いや味方は解除音で抜けるからそれまで待て見たいなこと言ってた？ｗ
[2386.054] あけぼの_です: おちんついて～
[2389.974] topase12: シルバーの女王がいればなぁ…
[2396.228] はゔぁ: ナイストライだ
[2404.048] ~MISSING_COMMENTER_INFO~: シルバーの女王ってかるびかりりむかどっち？
[2414.967] sttafer_hatt0210: 女王は今ウォチパしてるからなー
[2427.160] ~MISSING_COMMENTER_INFO~: とろちゃん？
[2444.944] lililllln: www
[2445.646] (S)はおちゃ: wwww
[2445.758] kamaboko0000: カルビやろ
[2447.132] (S)junn_0212: wwwwww
[2450.065] lililllln: がんばれ山下ああああ
[2454.686] (S)ケダ: ないす
[2455.659] lililllln: ないす
[2457.021] (S)junn_0212: 深呼吸だヘンディー！
[2458.993] あけぼの_です: nc
[2461.702] (S)ゴルスタ: ないす
[2465.188] yozakuraarika: ないす！
[2469.193] NekuraM: レイズのエントリーめっちゃ綺麗だった
[2471.040] inufu: ナイスシルバー！
[2478.027] あけぼの_です: こわひ～
[2481.931] はゔぁ: ソロQってこわいよね～
[2502.947] mentaikomayo: !sens
[2514.032] sttafer_hatt0210: ソーヴァ？ｗ
[2515.000] あけぼの_です: ソーヴァ？
[2541.305] topase12: ここが魔境か凄いなw
[2543.470] sttafer_hatt0210: サイトクリアえっら
[2570.758] nangokuice: おｃ
[2574.155] あけぼの_です: おｃ
[2575.651] (S)akahige9280: tonaka2NICETRY
[2575.831] (S)ゴルスタ: nt
[2576.774] lililllln: どまーい
[2579.751] チャッぴー: おｃ
[2580.861] yozakuraarika: nt
[2581.603] lililllln: nt
[2581.901] sttafer_hatt0210: キーボード壊れろ！
[2586.175] inufu: nt
[2616.933] taishudaigin: ほなdか〜
[2625.447] kamaboko0000: 出てこんな〜
[2638.546] Junk_Clouds: ?
[2642.182] kamaboko0000: うまうまね〜
[2645.579] yozakuraarika: 走り打ち…
[2645.753] hata_ko: 相手のタレット壊したいな
[2648.705] taishudaigin: 出てきた
[2656.378] おいぴー: 上手い人たちとやった後にソロやると、自分が動けてたんじゃなくて実は上手い人たちに動かされてたんだなって気づくよなww
[2668.404] taishudaigin: それな
[2673.010] yamada326: それな
[2682.904] lililllln: nt
[2684.488] (S)akahige9280: tonaka2NICETRY
[2686.976] sanntai: w
[2687.589] kamaboko0000: うまうまねー
[2689.622] (S)ゴルスタ: nt
[2689.862] inufu: nt
[2690.532] yozakuraarika: nt
[2690.751] ヤーマン8: nt
[2699.051] taishudaigin: nt
[2703.949] yamakaze44: ｗｗｗ
[2706.962] ヤーマン8: wwww
[2707.046] lililllln: www
[2709.892] (S)akahige9280: www
[2722.286] (S)なちゅ120: tonaka2Ganabare
[2722.850] (S)akahige9280: 自分で指示待ちって言ってたからね
[2724.380] taishudaigin: www
[2727.830] (S)retr0mantis: いーや、ベンディは上手い
[2729.109] ajimaru_: タレットくんずらされたw
[2731.526] sttafer_hatt0210: タレットがｗ
[2731.733] lililllln: タレットくんさ〜
[2732.526] pom10ce: ブラパでタレットずれたｗｗ
[2736.831] itoito58: w
[2738.906] taishudaigin: タレットの王
[2764.596] yamakaze44: 王のAIM
[2765.393] (S)ゴルスタ: つよ
[2768.437] lililllln: おお
[2775.642] sttafer_hatt0210: きっもｗ
[2775.644] (S)akahige9280: tonaka2Ganabare
[2776.249] taishudaigin: 王だ！
[2780.007] yozakuraarika: アセントのオーディン本当に…
[2780.597] topase12: これが王のAIM
[2800.933] sttafer_hatt0210: 1hpの時のオーディンがいっちゃんきついのお
[2821.018] lililllln: BibleThump
[2825.097] lililllln: ntnt
[2825.632] (S)akahige9280: うまいな
[2827.005] (S)ゴルスタ: nt
[2831.486] (S)akahige9280: tonaka2NICETRY
[2833.525] taishudaigin: nt
[2837.223] saladman33: おしい
[2837.734] havsjkx: うるとたまたま
[2839.390] yamakaze44: 相手かしこいな
[2840.658] pom10ce: ウルト二つも使わせた
[2841.599] sttafer_hatt0210: ちゃんと取ってきた
[2844.839] (S)OiMO__chan: 相手のそーヴぁうまいな
[2853.461] inufu: 相手うまいねー
[2856.321] odennnnnn210: まっずぽいんと
[2861.175] lililllln: まっつです
[2867.929] (S)retr0mantis: 王が決めちゃってください
[2871.321] らぃむちゃん: a
[2877.086] guaiarui: あ
[2880.068] _えれれ_: あ
[2882.776] yamakaze44: 一旦GWではある
[2883.669] gumic: 痛すぎ
[2883.750] lililllln: ひん
[2886.099] taishudaigin: あ、
[2886.723] havsjkx: うるとはいたっていい
[2888.768] sttafer_hatt0210: おっとぉ…
[2892.728] ヤーマン8: まっずい
[2904.281] inufu: あ〜ん
[2906.897] (S)akahige9280: gg
[2907.916] sora0097: gg
[2908.638] lililllln: ntgg
[2909.583] (S)ゴルスタ: tonaka2Ggggggggg
[2909.598] taishudaigin: まっずポイント
[2909.728] ヤーマン8: ナイファイ！
[2910.345] sttafer_hatt0210: gg
[2911.186] topase12: 詰めるじょ〜やったな
[2911.529] ariapokotenn: BibleThump
[2912.376] kamaboko0000: gg
[2912.625] (S)retr0mantis: グッドゲーム
[2912.728] (S)ケダ: tonaka2Ggggggggg
[2913.420] (S)はおちゃ: gg
[2914.388] yozakuraarika: nfgg
[2914.956] inufu: GG
[2914.973] tkmkmykn_: まけう！
[2916.370] (S)rootlic: tonaka2Oko
[2916.609] (S)なちゅ120: gg
[2916.791] lililllln: まあ一旦
[2920.693] dtsn_11: オーディンやめてね 
[2926.875] kamaboko0000: 敵にカルビいたか
[2928.066] らぃむちゃん: -29！？
[2930.934] taishudaigin: 炭治郎〜
[2932.500] manji5616: nf
[2935.242] yozakuraarika: -29！？！？
[2940.438] ao_tkg: -29はえぐい
[2942.123] (S)OiMO__chan: むずかしいよね
[2944.305] mirukure0610: rassyaGg
[2949.765] sttafer_hatt0210: 内部レート終わってない？ｗ
[2949.955] topase12: www
[2951.253] (S)retr0mantis: シルバー帯はスマーフも多いからねw
[2951.857] _えれれ_: ブロンズスタートのほうがよかったまであるなwww
[2953.217] kamaboko0000: マスオでーす
[2954.276] (S)ケダ: ヘンディーの内部レートゴールドなんじゃない
[2954.552] sun_hidamari: ゴールドは格が違うな
[2957.414] venven8: 変わらんよ笑
[2960.315] (S)ゴルスタ: そりゃしゃーなしか
[2961.986] らぃむちゃん: アーそれは仕方ない
[2964.889] taishudaigin: マスオおる
[2966.330] (S)OiMO__chan: へんでぃさんの内部が高い
[2968.100] (S)akahige9280: 仕方ないね
[2969.366] らぃむちゃん: 内部腐る奴
[2971.628] harry_ggo: 内部レートかな
[2971.736] ヤーマン8: 上に引っ張られてるのか
[2976.267] saladman33: 前みたいに野良
