[113.938] abcdefgbdo: XQQが炎上中！！！XQQが炎上中！！！XQQが炎上中！！！XQQが炎上中！！！XQQが炎上中！！！XQQが炎上中！！！XQQが炎上中！！！
[113.998] (S)jinro_hope: まだこれからだしな
[114.198] おもちのいのち: akariOtaku
[115.385] しがたび: やあ
[115.640] cheru0saaaaaaan: それでいいさ
[115.813] tikuwa2911: RC勝てばトップ3つぶし
[116.139] yoro_493: おめでとう！
[116.805] furan06: かっこよかったぞ〜！
[116.863] tmoil677: やあ
[116.989] 坂本勇人: 集金配信やめてね 
[118.015] うまい肉食わせろ: もちろん次も勝ってくれるよね？
[118.743] mocomoco_hyper: おつかれ！愛してる！
[119.289] マスクビクターモア: ふわふわしてら
[119.509] ~MISSING_COMMENTER_INFO~: 中々上手かったぞ
[119.511] sanad_7711: ちゃんと勝ってるぞ
[119.516] aesthetic_suzuki: うんこちゃんから喝入ったか?うんこちゃんから喝入ったか?うんこちゃんから喝入ったか?うんこちゃんから喝入ったか?うんこちゃんから喝入ったか?うんこちゃんから喝入ったか?うんこちゃんから喝入ったか?うんこちゃんから喝入ったか?
[120.231] zyubisan: うおw
[120.730] santaisyo: jp no1 hope
[121.738] chisochiso_: フェンネル相手に凄いよ
[121.978] ちんまり: 神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル、神ソル
[123.078] soma_256: アブおめでとー！
[123.180] nannanw: 本当に応援してきてよかった
[123.636] chan_okome: unkochanYaa
[124.550] hanio_7: あぶ 信じてたぞ
[125.037] vierir221: お前最高
[125.160] swimchikin: Cheer100
[125.220] guguttyy: unkochanYaa
[127.509] aaaa1112221121212: 次もちゃんと勝ってくれ
[127.618] わたぬきあいり: 純日本人デュエリスト
[127.714] 47todohuken: 次だぞ
[127.847] nor1tama76: nor1tama76 is gifting 5 Tier 1 Subs to Absol_dayo's community! They've gifted a total of 10 in the channel! 
[128.067] eqrlp: 髪剃るだったよ
[128.087] nor1tama76: nor1tama76 gifted a Tier 1 sub to sealvhv! 
[128.099] nor1tama76: nor1tama76 gifted a Tier 1 sub to nolozy! 
[128.129] nor1tama76: nor1tama76 gifted a Tier 1 sub to takakkk! 
[128.139] nor1tama76: nor1tama76 gifted a Tier 1 sub to るぴ_! 
[128.157] nor1tama76: nor1tama76 gifted a Tier 1 sub to n_kyo14! 
[128.909] pipipopopi: お母さんに報告したか？
[128.978] funkochan_: あぶあぶ
[129.219] d4c_7214: 17歳でflに勝つデュエ
[129.323] marlboroman0414: 今日は文句なしに強かったよ
[129.504] (S)ranta_n: ranta_n subscribed with Prime. 
[130.893] 勘定奉行: わあ！？
[132.001] sirotannu: おめでとう
[132.107] 47todohuken: わあ
[132.215] boon062424: unkochanYaa
[132.250] shuuuuuunn: わあ！？
[132.279] takanamentay: わあ！
[132.357] masahori: わあ
[132.574] hagukirin: わぁ！？
[132.822] wataame_1011: お前最高だよ！
[133.366] mskzttk: わぁ!?
[133.508] bigyamada: わあ！？
[133.550] 5invader: アブ、、、だいすち♡
[133.696] step_7512: わあ
[134.071] stag_beetle8: 今日は集金していい
[134.296] keroin66: 今日最高だった！
[134.298] rentyabin: わあ
[134.361] げんかしょうきゃく: わぁ！？
[134.467] chosuman: unkochanPower
[134.708] barandefult: お前が純をオフライン連れていけ
[134.722] VamosNeftali: 全部勝て！
[134.728] sanad_7711: わあ！？
[134.824] (S)jinro_hope: わぁ！？
[134.889] baskyyyay: にょっす🐮✋
[134.903] dagashikashi2: わぁ
[134.927] taikanokaisin645: うおお
[135.123] ぁっぉ: わあ
[135.679] japanese_dog893: わぁ！？
[135.865] cheru0saaaaaaan: わぁ！？
[135.882] pasokonnmaru: まじでオフライン確定させてくれ
[135.895] ~MISSING_COMMENTER_INFO~: うおw
[136.077] メモリ足りてない: すっご
[136.144] tmoil677: そろそろスタンプ増やしてくれ
[136.176] maigo91: わあ！？
[136.242] やなのな: わぁ！？
[136.501] 黒輝り: でもお前たちが勝った事実は変わらない
[136.988] しがたび: わあ！？
[137.145] baigaeshiyade: アブ！！！！！？
