[439.197] シル_: 人多すぎだろｗ
[440.588] (S)hiroumi_sea: 人ｗｗｗｗｗ
[443.707] (S)らぷ_: 人やっべぇ
[453.805] (S)simetu_no_maeba: 見てるだけで息苦しい 
[453.976] IMULTA: 2pシンジいない？
[455.557] clllp: ヒゲの人チラチラ入ってくるな
[457.112] (S)13eeb: ２日目のほうが人多くなるのか
[459.052] (S)teitei0343: スト6以外も盛り上がってそうだな
[460.537] (S)MasudaTheMenace: 空気薄そう
[461.242] hogeeo: こりゃ体調も崩れますわ
[462.221] おかあさんいつも: 昔はもっと空いてたんですか？
[462.388] taikuudenai: 来年は幕張メッセ？
[462.672] (S)nononono_uhoho: みんな体調気を付けてほしい
[466.414] 焼き菓子: 奥の方もいっぱいだ
[466.700] kuronicl: @heavenscloud07 ☺️
[467.008] hamham9999: これぜーいん鉄拳勢！
[470.709] m1s4m0: 普通どんどん人減るのに
[472.970] InaG0: ずっとすげえ人だあ
[474.808] (S)マラリンティウス: 2pシンジは付き人？
[476.840] (S)nononono_uhoho: しんじ2いたぁ
[483.182] minato19923: 勝てばええんや
[490.140] fumbi5566: まだまだ泳いでくれ
[491.151] cakevk_47: なるちゃん頑張れー
[493.813] (S)naosu7: 格ゲーがここまでの人集めれるようにまたなれてめっちゃうれしいな
[495.447] (S)orpyio: トナメ的には何人まだ残ってるんですか？
[498.799] (S)teitei0343: アナザーシンジまさかひかくりにぃだったりする？
[505.007] m1s4m0: ね、ひかくりにぃなのかなって
[505.139] (S)もじゃ変人: 酸素吸引持ってこないと
[505.757] X_March_X: ２ｐしんじはただのなるおファン
[507.081] dechi04: 人多すぎｗ
[509.849] InaG0: これだけ人いりゃそうよなあ
[511.130] (S)10jqka: マジで酸素うすそう
[511.549] nano0616: 天井見て口パクパクしろ！
[512.388] chin_bell_: ウメちゃんの1万人大会も夢じゃなくなってきたね
[513.196] (S)やきにくマン: すーごい人やね
[514.993] (S)オルコッ党員: みっけた 相手のキャラ探しとくか
[515.797] (S)ピース様: 2Pしんじはガチファンなのか
[516.504] noelel_l: ドレミドー
[516.840] (S)きそば: MOV助けて
[518.346] ramune_since1973: 酸素スプレー持参か
[519.250] hamham9999: スプレー買うか
[519.560] (S)がすいんニキ: 見れてなかったんだけどなるおまだ勝ってる？
[519.806] taitei_ok: 身長低い人息詰まりそう
[523.403] nanashi3971: 歓声すごいな
[523.744] (S)4tap_py: なるおルーザーズ？
[524.108] you111112: 酸素の取り合いから勝負は始まってるんだ
[525.263] (S)~MISSING_COMMENTER_INFO~: なるおから言って天上開けてもらえないか
[526.017] おかあさんいつも: 歓声すっご
[527.685] さけのあじ: がんばれ！
[528.541] (S)gandalh: 盛り上がってんねぇ
[528.907] (S)teitei0343: なるちゃんルーザーズ
[528.920] (S)TNTNBRN: なるちゃん負けちゃった
[529.285] m1s4m0: 負けた ルーザーズ待ち
[530.854] (S)すぐるん: ザンギにやられたよ
[531.277] 三浪ぜつぼうくん: ヒゲピクミン
[532.805] IMULTA: さっき負けてこれからルーザーズっす
[535.301] taikuudenai: なるおさんが負けるとは
[541.170] hamham9999: ザンギｗｗｗ
[542.452] 大失言: モニターの人は壇上でやってるのか
[545.360] ナゴリユキ: うなずきベガ
[550.641] (S)がすいんニキ: ルーザーズか〜まだ走れる！
[551.129] kuronicl: 良いザンギだった
[555.182] X_March_X: いかついザンギに負けちゃった
[556.204] (S)4tap_py: まーじか、がんばってくれーい！
[562.897] yoyo_satosan: ももちさんもルーザーズ？
[563.883] matutaka8: ザンギの方、手が震えてたそうです
[565.383] (S)マラリンティウス: 大会ザンギはこえーや
[565.639] VELLLLLLLLLLLL: 他のゲームはほぼ終盤か
[566.060] (S)hiroumi_sea: チラ見えしてるのいかつい野郎さんかな
[566.679] いつほし: お相手のザンギアツかったなあ
[566.916] bebebeeell: 配信に自分が映ってるの複雑や
[567.326] IMULTA: あと14回勝つだけ
[568.383] おかあさんいつも: 女プレイヤーは少ないね
[568.967] (S)すぐるん: KOFか
[570.763] taikuudenai: だれが勝つんだろう楽しみだ
[572.292] (S)MasudaTheMenace: シャオハイ配信台なんだ
[573.989] (S)orpyio: モニターKOFのグランドファイナル
[575.869] gentlemanjack09: kof今決勝
[579.309] (S)teitei0343: な〜に、あと14回勝てばええねん
[579.598] Goodwisp: GO1も落っこちたらしい
[579.767] (S)アイネ_: 泳ぎ切ってくれ
[582.005] (S)tefuzappa: 2日目で残ってる女性プレイヤーは相当少ないだろうね
[585.001] (S)オルコッ党員: 相手のキャラ探しとくわ
[588.312] (S)れいんぴ: naru04JugWIN
[588.491] (S)いーすとまん: ザンギってすげえな
[589.962] (S)hannariiiiii: いかつい野郎おる
[590.016] 大失言: すげぇ人だね
[590.949] (S)もじゃ変人: 今見えてるスキンヘッドの人がいかついさんかな
[591.392] ry0444: 昨日はそこそこ居た
[591.881] (S)ざぜん0726: ルーザーズでも生きてれば可能性はある！
[595.322] (S)4tap_py: ルーザーズで背泳ぎゆけーい
[596.317] kokuyoshi: 有料にして正解だったなこれ
[597.826] 4jou_half: 良い時代だ
[600.010] おやつハンター: EVOで活躍して彼女作るチャンスか
[600.922] dechi04: 大盛況やん
[600.971] 江田島平八んぽこ: 人やばい
[601.165] kobayan86BRZ: なるおは最初ザンギ得意にしてたけど実際は結構苦戦してるイメージある
[602.086] ばぐりっち: いっぱいいるなあ
[602.606] taikuudenai: 段階だよさんはきてるんか？
[602.710] 亀の甲より柴咲コウ: てかよっさん初日負けまじ？
[602.740] nano0616: 有明だっけ？ゆりかもめでご苦労様ですよ
[603.436] shirotan_harurun: 人多すぎだろ
[603.548] (S)MasudaTheMenace: 女動画勢でもすげえことだよ
[604.331] X_March_X: 空いてるところほぼなくてえぐいな
[605.216] (S)~MISSING_COMMENTER_INFO~: この人だかりじゃみづれーだろな
[605.517] (S)がすいんニキ: 泳ぎ切ってくれよぉ！
[605.755] (S)tefuzappa: ザンギの人まーじでうまかったね
[605.885] yoyo_satosan: 茨の道
