[4239.195] twilightveo: やばい
[4239.406] 家臣竹: きちゃー
[4244.852] jinro_hope: つ、つよい
[4246.330] rama_adg: はいつよい
[4253.696] shino_nnn: つよ
[4257.658] twilightveo: 仕上がってる
[4390.422] maxmokou: バクキャリーしてるやん
[4490.606] mihononnn2: BloodTrail
[4634.482] jinro_hope: いいね
[4664.974] jinro_hope: おお
[4674.410] twilightveo: まぶ
[4681.221] maxmokou: 40キルチャレンジ
[4745.250] jinro_hope: バカ当たる
[4787.655] Riverside_4: こーれ
[4897.086] twilightveo: ；；
[4897.621] 家臣竹: GG
[4900.202] jinro_hope: ひん
[4902.239] 平等院ラクシュミー: halli4Gege
[4902.357] mihononnn2: NotLikeThis
[4915.082] レジディア西新宿2: BibleThump
[4933.813] kusatu123: BibleThump
[4961.051] Riverside_4: ５人全員アブソルならなぁ
[5275.326] (B)(S)Absol_dayo: BibleThump
[5285.277] (B)(S)Absol_dayo: BibleThump
[5293.578] gapjdtmw: BibleThump
[5293.836] onigiriokaka: BibleThump
[5305.721] 0303m: BibleThump
[5308.837] (B)(S)Absol_dayo: BibleThump
[5311.983] nemugi7: BibleThump
[5312.833] jinro_hope: BibleThump
[5317.777] (B)(S)Absol_dayo: BibleThump
[5325.952] (B)(S)Absol_dayo: BibleThump
[5330.026] twilightveo: BibleThump
[5332.335] gapjdtmw: BibleThump
[5334.044] kurikuri0304: PopNemo
[5344.070] fallguizi55: bijusaHatena
[5360.554] (B)(S)Absol_dayo: BloodTrail
[5376.239] (B)(S)Absol_dayo: BloodTrail
[5377.509] gapjdtmw: BloodTrail
[5382.074] gapjdtmw: BloodTrail
[5387.543] jinro_hope: million3Yametene
[5389.853] fallguizi55: BloodTrail
[5409.034] fallguizi55: million3Yametene
[5443.081] 家臣竹: million3Bad
[5458.745] (B)(S)Absol_dayo: BloodTrail
[5509.798] 家臣竹: 鳴いた！？
[5520.636] fallguizi55: unkochanKingdom
[5648.601] gapjdtmw: BloodTrail
[5649.470] jinro_hope: million34771
[5672.470] sukemaru_0418: やあ
[5677.031] timtamlikeyou11: アブいままで総額いくら課金した？
[5680.805] ogny7: BloodTrail
[5756.564] sukemaru_0418: アブは赤ちゃん好きぃ〜？
[5759.401] timtamlikeyou11: 最近のスキンかっこいいの多いよな
[5835.827] jinro_hope: 1マップ目終わったからワンチャンマッチする
[5838.006] プリンティングメッセージ: やあ
[5896.524] sukemaru_0418: BloodTrail
[5963.100] azumaou1: だれとやってる？
[5981.051] おかみ3: 参加したいです！
[6010.829] (S)imforwhat: 香港なし？
[6031.858] sukemaru_0418: だ、だれ？
[6049.831] かまぼこ23: XENっていうプロチームがあるの？
[6098.575] jinro_hope: ジェネシス
[6128.316] jinro_hope: 勝つぞ
[6128.945] twilightveo: DinoDance
[6139.214] kurikuri0304: ムラゲbanマップ
[6506.329] 金無タロ: セカバイ成功
[6719.928] すめりん: キャプテンムラッシュの動画きた
[6819.287] おかみ3: そのチャームいいね
[7007.804] ブロンズです: アブいまレート710なら１０連勝すればレディ１桁いけんじゃね
[7222.056] tko_jl: 陰謀モク抜き
[7410.941] ぶどう糖液糖: つっよ
[7415.793] jinro_hope: つよいね
[7416.020] 家臣竹: 終わった→嘘
[7420.458] 金無タロ: ツ゚ヨ
[7433.395] syogun123456: おっおー
[7442.707] sukemaru_0418: プロの方ですか?
[7607.365] 家臣竹: し、ね
[7847.828] 家臣竹: 地獄だぁ
[8189.763] 家臣竹: BibleThump
[8221.279] jinro_hope: いいね
[8251.209] 家臣竹: タフあるか？
[8301.783] 家臣竹: うわー
[8335.555] 家臣竹: 陰謀や！
[8364.638] negimacub: レートクッソ高え
[8372.738] かすぺる: 陰謀やめてね BloodTrail👍
[8431.181] twilightveo: タフ
[8440.358] jinro_hope: 今回は早い
[8440.867] 家臣竹: はっや
[8461.423] かすぺる: やっぱり俺のせいやったか
[8465.184] 金無タロ: RCやん
[8466.053] twilightveo: しかも同級生
[8496.360] onpo11: こなちゃん選手？
[8500.305] jinro_hope: 急に知り合い増えた
[8611.689] 家臣竹: 黒幕判明か
[8666.147] busi_nessma_n: tuyyo
[8667.780] jinro_hope: いいね
