[1059.070] akasanz3x: それsakoさん
[1061.084] OKG_TWIN: そういやスト6のトレモ、すんげえ良くできてるみたいやね
[1081.340] (S)taketin0109: 今作はオンライントレモもあるしね
[1082.110] une3333: おや、りゅうせいくんかな？
[1082.328] (S)空気にふれて即死: 今日からのワールドが楽しみすぎて落ち着かない
[1084.079] akasanz3x: りゅうせいか
[1090.994] une3333: りゅうせいくんは声でわかるなーｗ
[1097.487] amamikankon: この後みんなでトパチャン見るとかある？
[1097.518] koro3__: 全キャラ使えるようになるの楽しみだなー
[1098.174] tosshy_type89: んっFAV部屋
[1102.933] きしー: ワールド今日からか
[1104.320] gorilla_osaka: FAVといぶし銀
[1105.565] moricocoa: トレモよく出来てるけど操作が慣れるまで大変だった
[1106.443] cafe_gondo: 今日も元気に営業中
[1126.514] (S)yut7xot8: かける兄かっこいいね
[1145.621] クレちゃ: ワルトパも楽しみすぎ
[1146.624] だいこん_: ﾀﾞﾀﾞﾀﾞﾀﾞ
[1148.974] wahaha7788: お高いエディションについてるゲーム内通貨って貴重なんかな
[1149.745] OKG_TWIN: 操作のショートカットも設定できるみたいだから、一生トレモに篭っていられる
[1163.518] hojihojidx: シミー強い分リバサ下段が通るよなー
[1179.753] RedsledgeBLU: Who's the slim fella in the back, possing up a storm?
[1180.749] moricocoa: ゲーム内通貨はとりあえずアバター用っぽいけど他に使えんのかな
[1186.485] ゴン攻め: りゅうせいと誰と誰です？
[1189.446] (S)mobageiskusoge: @morimuracocoa kabe
[1205.363] milanor03: 今日はリュウ多めだ
[1223.815] arubaro1060: 1v1 o te cagai
[1252.520] myodent21: うおおおサコさんだ〜
[1254.626] onihey: かっこいいポーズで立ってる人はだれ？
[1259.566] (S)naginagi99: りゅうせいもsakoさんもリュウなのよねｗ
[1267.159] だいこん_: かべどんにぃかな
[1267.165] hojihojidx: ギリ摘みかｗ
[1269.294] wahaha7788: フィギュアスケートの選手みたいだ
[1271.914] akasanz3x: 珍しくリュウ多めだね
[1289.357] shikamaru77777: 後ろでポーズしてる人どしたん
[1292.672] (S)空気にふれて即死: かべ立ち面白い
[1293.782] TUBE_MAN: 今にもトリプルアクセルしそう
[1295.523] kinakobuta: スケートで国体優勝したことあるカベさん
[1295.679] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[1304.539] すごいびしょびしょ: かっこいいポーズしたくなるときってあるやん
[1307.457] 温かいやさむぎ: wwwwwwww
[1309.797] (S)hiaaru: 注射した後の人
[1322.329] 墾田永年私財砲: まーじかすご
[1323.806] サラバア: 国体優勝はやべえ
[1324.775] tmtm84: 健診後なんじゃない
[1334.634] suginaka56: 全一なんよ
[1335.881] moricocoa: アスリートじゃん
[1341.271] balthazar000: 黒手袋のかべ。IT社長のやない。
[1341.732] harumak1_: 久しぶりに見に来たら2画面になってたりすごい環境が強くなってるｗ
[1344.352] TUBE_MAN: 癖になってんだポージングするの
[1349.460] onihey: 国体まーーじか
[1354.020] zero_kcal_10: みんなかっこいいな
[1355.029] nihonsyu_: かける君つよない？
[1360.741] wahaha7788: ちゅよーい
[1368.123] (S)junjamaica: アールみたいなのおるやん
[1371.933] balthazar000: 昨日から店長どかせまくり
[1373.119] akasanz3x: リュウって5の持ちキャラだから
[1376.678] harumak1_: 野田 草
[1377.246] ~MISSING_COMMENTER_INFO~: ウメハラ弱ない？
[1381.514] (S)mobageiskusoge: kabe is posted up in the club
[1393.351] だいこん_: 武神流の系譜
[1395.198] yuzubox: 若いねぃ
[1406.364] harumak1_: 服装が黒かったらもっと点数高いですね・・・
[1409.454] (S)junjamaica: アールとひょっこりさん足してわったやつおるやん
[1413.865] chin_56_: 静まれ内なる邪気よ
[1414.925] あさつき教: 野田仕草
[1422.027] サラバア: 去年のEVOでかけるリュウがCABAに勝ったクリップ今でもたまに見ちゃう
[1422.327] akasanz3x: 翔くんに関してはリュウがこのままメインあるっしょ
[1422.955] johnnyppas: うずら君が強いと言いなさい
