[312.861] (S)ごぼちゃん: きたぁぁぁぁぁぁあ
[312.865] (S)no_lack_6: なつめさんIN！！！
[313.053] (S)ティターナ: きたぁぁぁ
[313.316] (S)ルディナ: きたあああああああああああああああああ
[313.527] tepcom4649: 敬語w
[313.808] dubstract: サッカーすっか！
[313.892] (S)parupuntte: おぉ
[314.215] (S)しゅりな: きたか！
[314.223] shion0000000: 身辺整理終わったか
[314.246] madowakusan: ｷﾀ━━━━(ﾟ∀ﾟ)━━━━!!
[314.427] (S)cazy11: ついに加入ですか
[314.487] yui37564: うおおおおおお
[314.571] (S)zukky13mst: うおおおおおおおおおおお
[314.645] (S)acane_zutomayo: うおおおおおおおおおおおおおおおおおおおおおおお＠
[314.727] kAzU_090: きたあちゃん
[314.769] (S)tofu_mint: おおおおお
[314.820] (S)れぶりみ: やったああああ！！！！！
[314.911] (S)ebifraaaaai: サッカー？
[314.929] ぺーぱーぺっぱー: 敬語なんや
[314.973] koba_sw1tch: ついに
[315.013] あいまー: きたあ！
[315.100] sewohayami_: セイジ頑張れよ！
[315.326] ヤーマン8: うおおおおおおおお
[315.378] (S)スズミー: ナツメ！！
[315.531] きりふみ: きたきたきたきたきたきた！！！！！！
[315.584] (S)カメモチ: ついにか
[315.846] hamusekibun226: きたああああああああああ
[315.867] (S)ありかれ: お、お～～～
[316.047] su_gu: ついになっちゃんが！
[316.251] 生田公彦: くるうーーー
[316.505] yutakall: みんな集合か
[316.710] karaage398: ナツメ♡
[316.715] さぶろーに: 遂に
[316.899] (M)Nightbot: 【Youtube Channel】https://www.youtube.com/channel/UCWlx7GTk0zQCi_0tKJhV72w
[316.915] (S)たち_: きたあああああああああ
[317.025] (S)naias1: JOIN
[317.048] (S)buju: ついに！
[317.403] (S)patrick1000koo: ｗｗｗｗｗ
[317.619] (S)kittakku222: ついに 
[317.650] (S)_龍角: おおおおおおおお
[317.895] (S)NAMAPASUTA_BABY: うおー
[318.764] (S)n230385: wwwwwwww
[318.936] (S)kohaku0782: SeemsGood
[319.046] (S)ぴかり0425: まさかこうなるとはな
[319.261] (S)ishibashikun: ｗｗｗｗｗ
[319.301] (S)ebifraaaaai: おぉぉ！
[319.354] (S)ルディナ: 瞬間をみれる
[319.746] クロウズ2: きたあああ
[319.760] sayaendou4: サッカーだああああああああ
[319.807] (S)ばむるく: えっど
[319.915] (S)tondura23: おおおおお
[320.130] (S)ketanketa: イチャイチャ
[320.212] (S)rich3352: w
[320.258] (S)citrus1780: なんか緊張するな
[320.497] (S)とっきまる: あっつー
[320.628] (S)スズミー: ｗｗｗｗｗｗｗ
[320.843] (S)あずまん_: 激動だあ
[321.049] ロドくん: www
[321.069] yukito127: あっつううううう
[321.139] (S)れぶりみ: クズなつてぇてぇ
[321.148] (S)buju: イチャイチャ
[321.227] (S)シーズンインザ: いちゃいちゃやめてね
[321.260] (S)sky_nanonano: け、いご
[321.282] (S)xyz_3931: wwwwwwwwwwwwwww
[321.619] (S)らる_: ｗｗｗｗ
[321.770] (S)けむころね: wwwwww
[321.876] (S)スカイライン乗り: え 
[321.971] (S)ふにゃたろう: なつめ♡
[321.972] (S)すらいむ___: いちゃいちゃ
[321.995] きりふみ: マジで嬉しいいいいいいいい
[322.014] (S)yt9653: てえてえ
[322.038] ピナつ: えっど
[322.186] (S)qpchan: イチャイチャ
[322.189] ma_tima__: SwiftRage
[322.372] (S)どろどろさん: えっど
[322.399] (S)いうた: wwww
[322.435] (S)nanachan0617: きたあああああああ
[322.460] (S)its_MuNya: ｗｗｗ
[322.474] (S)senbei_kun: イチャイチャ
[322.597] (S)c_world_: wwww
[322.900] kouchq_p: wwwwwwww
[322.927] (S)masa1671252: むずいだろｗｗｗｗ
[322.972] (S)暇人1674634: ｗｗｗｗｗ
[323.030] horesaa: ｗｗｗｗｗｗｗ
[323.148] みんみん458: wwww
[323.162] (S)のあゆずりは: のあゆずりは subscribed with Prime. They've subscribed for 10 months, currently on a 10 month streak! 
[323.207] ヤーマン8: wwww
[323.252] runtyooo: サッカーうおおおおおお
[323.568] fu_fighters: イチャイチャ
[323.709] りょんちゃ: えっど
[323.908] (S)Nolvinsk: wwwwwwwww
[324.364] (S)revivebot245: あらあらぁ
[324.452] sorano00: ｗｗｗｗｗｗ
[324.598] (S)hoka1230: wwwwwwwwwm
[324.636] (S)ぴかり0425: 9272
[325.018] (S)xyz_3931: 急にw
[325.035] (S)やげん軟膏: いちゃいちゃ
[325.150] 虚無サン: えっど
[325.228] クロウズ2: wwww
[325.251] (S)徳のイイ緑茶: イチャイチャしだしたｗｗ
[325.320] yui37564: wwwwww
[325.418] (S)mikitaka_tmmm: イチャイチャ
[325.425] (S)いうた: いちゃいちゃw
