[2070.339] sayuha1: トラキアは必殺率上げることで雑にバランスとってる感ある
[2073.206] (S)ポンポン: 弓こわいねぇ
[2085.367] tonpa323232: グレイド「ウメちゃん...早く...」
[2086.635] MazicMozaic: コマンドの位置がすでに罠
[2090.565] tokorozawabeast: カリオンとフェルグスのイケメンソシアルナイトが光る
[2099.550] balthazar000: クリリン状態
[2111.388] okojo1991: グレイド「ウメちゃ・・・」
[2113.614] akumashougun3: 帰れナーいｗｗ
[2114.183] h2hiroyuki: もはや落城は時間の問題
[2118.716] tronen: ソルジャー君のファインプレイが光る
[2120.879] (S)papipopon: 詰んだ
[2121.206] ~MISSING_COMMENTER_INFO~: ２体倒して道あけるしかない
[2122.422] balthazar000: ここも外伝ある？
[2123.529] (S)toshioj: ｵﾜﾀ＼(^o^)／
[2132.660] akumashougun3: やりなおせｗ
[2133.298] sayuha1: ウメちゃんの牙城に王手
[2133.317] tokorozawabeast: 城を明け渡す隊長の鏡
[2134.315] ~MISSING_COMMENTER_INFO~: つんだ
[2135.032] douguluskaien: ｗｗｗｗｗ
[2135.297] tonpa323232: wwww
[2136.117] (S)GelidiumJellyCat: ｗ
[2136.867] tamaow: 殿、城が落ちました
[2137.153] ~MISSING_COMMENTER_INFO~: ｗｗ
[2137.182] (S)toshioj: ｗｗｗｗｗｗｗｗ
[2137.308] (S)ぐぐっす: ｗｗｗｗｗｗｗｗ
[2137.842] ぶっちゃ: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[2139.394] (S)papipopon: umeFail
[2140.993] uncle_yam: ｗｗｗ
[2141.433] HappyDog18: wwwwwwwwwwww
[2141.653] beehive3: 落城
[2142.140] セルヴァラ: ｗｗｗｗｗｗ
[2144.619] ~MISSING_COMMENTER_INFO~: これはほんとうに詰み
[2145.901] tonpa323232: うめ...........................................おかえり
[2146.620] (S)tarantarantaran: umeYay
[2148.834] ~MISSING_COMMENTER_INFO~: wwwwwwwwww
[2150.585] tronen: 逃亡は流石に？
[2151.249] (S)toshioj: ひ、ひいいいいいい
[2153.034] (S)ポンポン: あ
[2154.064] okojo1991: 確認のメッセージとかもでないしな
[2155.377] 9211212a0105: ｗｗｗｗｗ
[2157.120] ~MISSING_COMMENTER_INFO~: さすがに
[2159.169] tokorozawabeast: これはデンデンデンデーンデンか？
[2160.351] tonpa323232: 敵前逃亡は極刑だゆ
[2162.037] sayuha1: 敵前逃亡はさすがに
[2162.546] h2hiroyuki: これはさすがにオワ
[2163.137] (S)Sishamock: 悲しみを背負った
[2163.487] MazicMozaic: 諦めるなー
[2169.018] (S)toshioj: 逃げろ！！
[2173.771] undersorn: この軍の士気ひくくない？
[2174.875] tronen: あいつ帰ってタイステに行ったぞ
[2176.045] hadogamosenpai: お昼休憩 飯食いながら こんちゃ 
[2182.082] (S)ポンポン: 城の中で迎え撃とうっていうね
[2185.998] uncle_yam: ナンナは次の章で説得会話ありますよー
[2187.149] ~MISSING_COMMENTER_INFO~: 城動いちゃいけないやつだな
[2215.340] ~MISSING_COMMENTER_INFO~: 立たせとけば当分持つなー
[2219.300] sefoxdd: !uptime
[2220.688] tokorozawabeast: ソシアルで早駆け救援ですね。
[2242.504] undersorn: 名もなき雑兵が一人犠牲になるけど鉄のやり渡してぎんのやり温存したいね
[2242.965] (S)toshioj: 皆ボンちゃん動画が待ちきれないみたいだな
[2245.814] (S)nabe_labo: ウメちゃん稼ぐなぁ～
[2250.103] (S)pikachupikac: I am going to stream anime Ueno-san wa Bukiyou afther Daigod stream ends , lats watch togather 
[2259.206] showsbsp: シーフステージ終わったんでしたっけ？
[2259.285] (S)ポンポン: 今日もエビ食べれるね
[2259.651] tonpa323232: この面はワープで鬼兵ぶっこんでクリアした覚えがある
[2269.164] tronen: トルード君は一緒ベンチから出ることはないんだろうな
[2276.439] tamaow: まずマップを良く見たほうが良い
[2291.503] showsbsp: 13章なってた
[2293.659] (S)Sishamock: 元土方動画楽しみすぎるでしょ
[2304.757] tonpa323232: オルエンのれるぞ
[2305.055] showsbsp: ラストジャスティス？
[2308.190] ~MISSING_COMMENTER_INFO~: ウメちゃん前髪がお月様みたいになってるよ
[2323.920] sayuha1: トルードくんに薬草栽培させよう
[2334.283] (S)nabe_labo: あの予告動画はうますぎた
[2360.776] MazicMozaic: 記憶力に難ありだねー
[2362.942] ~MISSING_COMMENTER_INFO~: お、七三分けいいね
[2363.688] h2hiroyuki: ここも結構時間かかりそうだなあ
[2372.975] (S)nozomaro: この章は急ぐ要素はある？
[2384.493] KOTETU1982: ウメちゃん男前
[2391.306] akumashougun3: 次の章で詰みそう
[2428.740] (S)nabe_labo: スーファミ晩年のソフトだけど詰みとかあるんか
[2440.858] MazicMozaic: オルエン剣も持てるぞ
[2444.673] tamaow: 10ターンくらい何とでもなるだろ
[2445.216] ~MISSING_COMMENTER_INFO~: あんま覚えてないけど待つとやばかった気がする
[2445.258] arimabot: ダイムサンダはどんどん使っていったほうがいい
[2452.480] ruku16: 次章は欲出さなきゃクリアだけならなんとかなる
[2452.498] akumashougun3: １４章が前半の山場
[2457.366] tokorozawabeast: このソフト自分はコンビニ書き換えで買った記憶・・＾＾
[2466.382] (S)toshioj: 武器に回数あったり、仲間死んだら蘇らなかったり詰む要素はあるからねー
[2467.826] uncle_yam: そーいや鉄大剣とか重いやつはマリータに持たせといてもいいね
[2469.691] (S)call49: トラキアはじまってたぁ！
[2470.700] ifg06: 疾走
[2481.807] (S)ぐぐっす: 雑兵すぎる
[2484.893] (S)junichitanaka: 土方さんのインスタに面白い2ショット上がってて萌えたよ
[2498.084] ~MISSING_COMMENTER_INFO~: もうなんか５人退却させたくなるな
[2503.387] (S)kosumosu011226: 今日は何時までですか？
[2507.695] ~MISSING_COMMENTER_INFO~: 1999年だからスーファミは完全に衰退期だよね
[2509.411] (S)takeo_onakasuita: お昼はリアタイできて幸せー
[2510.072] (S)toshioj: 元だから！
[2511.538] (S)call49: 土方さんになってしまった男
[2516.138] tamaow: 回復させる場所が拠点しか胃のがきついな
[2526.373] (S)kyo967: 土方さんw
[2528.591] TootyFrooty: jonesaDP
[2529.918] (S)ilm0806: 土方さんは、インスタで動画配信やってなかったっけ
[2533.001] (S)nozomaro: これって制圧されたら終わりってやつか
[2534.787] MazicMozaic: 改名したん？
[2539.512] atamagaparn2: ドカ高橋
[2540.043] (S)あと1983: アトラスベア解散の話題はされました？
[2544.650] tai_mao: アメリカ出身です。少し日本語を習いました。これが好きです。
[2547.247] kurob1: 呼び名が職業
[2550.956] (S)kingtetsu1986: 土方さんってww
[2559.862] Siesta111: 関係ないっすよ
[2563.948] (S)kosumosu011226: ありがとう
[2566.413] (S)ilm0806: アトラスベアってウメちゃん関係ないからなあ
[2566.626] h2hiroyuki: 最近は格ゲー勢の配信に海外の方が結構来てくれるようになって嬉しいね
[2567.950] balthazar000: ひじかたなのか、どかたなのか
[2568.303] ~MISSING_COMMENTER_INFO~: じゃあ是空配信はなしかなー。トラキアだけで終わりそう。
[2572.195] (S)yoinio: ドカちゃん
[2573.540] angryhermit334: アメリカからお疲れ様です
[2575.162] (S)keisukeFujiwara: おはようウメちゃん
[2577.661] KOTETU1982: 日本語お上手
[2584.795] MazicMozaic: dokata3
[2588.470] angryhermit334: 久保どうなるんだ
[2594.100] (S)junichitanaka: 土方さんインスタに、Twitterにあげない画像とかたまに上げてるよ
[2600.844] (S)keisukeFujiwara: ドカタさん定着
[2613.946] (S)call49: まだ無敵空間が
[2616.519] (S)pikachupikac: I am going to stream anime Ueno-san wa Bukiyou afther Daigod stream ends , lats watch togather 
[2619.549] (S)サラバア: we understand, good japanese!
[2622.888] superioront: ないのかよ。かえるわ
[2641.949] (S)call49: いって
[2648.407] angryhermit334: daigod!!!
