[7059.562] takahashi_migite: ウンナンの人間将棋の番組挟んでるんよね
[7064.459] 赤帽子: 有能…
[7156.664] 赤帽子: ええっ！？元ミルダム公認配信者で無敵時間のアンバサダーも務めているあの用心BΩYさん！？
[7172.168] (S)じんざどーぷねす: 今のかっこいい
[7221.023] ryu_kirino: ジャイスまじで見づらい
[7316.641] ryu_kirino: w
[7366.854] (M)墾田永年私財砲: しゃあっ！
[7369.431] 煮干し銀: なにっ
[7604.238] sakuramochi_mo: ナイスー
[7809.778] るりたゃん: 56 raiders from るりたゃん have joined! 
[7822.422] るりたゃん: 順調ですか？
[7842.790] エビテン: るりたゃんさんから
[7885.067] (M)墾田永年私財砲:  レイドをくれた TZ│るりたゃんさんのTwitchチャンネルはこちら！
[7901.984] るりたゃん: え～～ありがとうございます！
[8106.373] ryu_kirino: wwwwwww
[8106.874] (M)墾田永年私財砲: ｗｗｗｗｗ
[8126.338] ryu_kirino: ゼンは最強のどぐキッズだもんな
[8188.048] ryu_kirino: wwwww
[8376.091] ryu_kirino: 今回もヴィクターのデュランダルがめっちゃ崩される見た目してるけど-9
[8518.705] (M)墾田永年私財砲: あ
[8779.352] ryu_kirino: なんかコーヒー牛乳っぽいやつ
[8792.017] aleckst: めっちゃ美味しいやつ
[8847.671] ryu_kirino: 今作のミリ残りはかなり逆転フラグ立つ
[9182.765] sakuramochi_mo: w
[9355.091] ryu_kirino: 高段でも7が抜けてない人がこれだけいるんだから俺らはのんびり適応すればいいわけだ
[9474.838] sakuramochi_mo: いろいろあった
[9654.636] (S)コムコムぽん: お疲れ様です
[10042.990] ryu_kirino: 10連w
[10052.382] (M)墾田永年私財砲: ちゅっ
[10062.266] aleckst: 投げキッス助かる
[10108.272] ryu_kirino: キングと吉光は10連途中止めたまーに使う印象ある
[10299.587] dainamokankaku: 草
[10317.901] ryu_kirino: 声出して笑った
[10341.456] tako0523: 流石CRのストリーマー
[10411.264] veronica_ash: おばけさんすらしんようしない
[10530.844] ryu_kirino: ポール今回強い気がする
[10552.019] たゆた0211: しみじみと言わないでｗ
[10554.272] aleckst: めっちゃ根に持ってるｗｗ
[10621.307] harrydevil95: はうっ
[10643.564] (S)Line_X: Oji Group  
[10778.185] aleckst: 喰らえ！
[10889.174] Time_K: 鉄拳覇王なりそう
[10929.715] (S)shi_a__: www
[11031.266] dainamokankaku: 飛魂蹴ダウンはやっぱだめ？だめか
[11094.722] (S)Line_X: Tekken Emperor okaeri
[11202.192] ryu_kirino: 見るからに鉄拳8筋がついてきた
[11292.123] ryu_kirino: 元がうまいから意識改革してもらうだけでこんなになるんやなって
[11476.988] aleckst: 期待値！
[11675.918] aleckst: モリタやめろw
[11748.463] みろ様: きっつ・・・
[11767.618] aleckst: 最近の台も同じくらい吸い込むもんなぁ
[11926.624] (M)墾田永年私財砲:  https://www.youtube.com/@Youjinboy
[11955.843] (S)shi_a__: だ、大丈夫やろ...
[11958.044] (M)墾田永年私財砲: cagdogOtu
[11964.468] (S)shi_a__: おつしたー
[11964.845] (M)墾田永年私財砲: のりこめー
