[41.807] (S)riru_rururu: わこらだ！！！
[41.807] フュ: radaoHi
[41.809] taichimai: radaoHi
[41.809] (S)oggiooo: radaoHi
[41.832] (S)nanadefo: radaoHi
[41.835] nanase0318: わこらだ！
[41.843] (S)にあきち: わこらだ 
[41.860] (S)sanae_1109: radaoKitya
[41.880] (S)talt_tatan: radaoKitya
[41.942] hime_ki: radaoHi
[42.341] (S)karuro_1201: karuro_1201 subscribed at Tier 1. They've subscribed for 4 months, currently on a 4 month streak! 
[43.372] ナス忍者: ~MISSING_MESSAGE_INFO~
[43.935] lemmmon7: lemmmon7 subscribed at Tier 3. They've subscribed for 36 months, currently on a 23 month streak! 
[44.103] moka_moka2121: わこらだ
[44.129] (S)wappaman0801: radaoHi
[44.163] rui_sk39: radaoKitya
[44.168] (S)zarusobazzz: radaoHi
[44.216] evacoler: radaoKitya
[44.222] ほたころ: ほたころ subscribed with Prime. They've subscribed for 36 months! 
[44.226] ろくはの: radaoKitya
[44.235] 板前の囁き: radaoHi
[44.275] _こなた_: radaoHi
[44.314] (S)nabi0619: きたぁぁぁぁ！！！！
[44.314] (S)pikamr: きたー
[44.327] (S)meganerakuraku1: きちゃぁぁぁぁぁっぁぁぁぁぁ
[44.359] Mikage0610: わこらだーーーー
[44.360] (S)riru_rururu: radaoBanzai
[44.732] (S)gusagusasa: radaoHi
[44.763] haruu_603: radaoHi
[44.794] nacha_86: radaoHi
[44.804] nobume0v0: radaoKitya
[44.838] (S)kanagawa800: radaoHi
[44.871] izayoi_77: 楽しみ〜
[44.881] あおなつ: radaoKitya
[44.883] (S)zakomoti: わこらだー
[44.889] (S)kaboro082: radaoHi
[44.895] ウメトミ: radaoHi
[44.911] ムラさん: チュートリアル兄さん！！！
[44.942] (S)fukut403: radaoHi
[45.733] (S)hoshi_54: hoshi_54 subscribed at Tier 1. They've subscribed for 5 months, currently on a 5 month streak! わこらだ
[46.112] kawaharaya: kawaharaya subscribed at Tier 1. They've subscribed for 50 months, currently on a 50 month streak! 
[46.390] (M)kuruto__: radaoHi
[46.485] (S)ゆお_: ゆお_ subscribed at Tier 1. They've subscribed for 4 months, currently on a 3 month streak! 
[46.850] 0__kiri__0: 0__kiri__0 subscribed at Tier 1. They've subscribed for 14 months, currently on a 14 month streak! 
[47.158] hatiti88: radaoHi
[47.284] sa891: radaoKitya
[47.292] 紫苑4572: radaoKitya
[47.378] wimpe75: radaoKitya
[47.383] magurodukushi: きたあああああああああ
[47.385] 犬ﾚ: radaoKitya
[47.389] 4clover0801: わこらだ
[47.406] 林檎飴まんま: radaoHi
[47.408] nibosichan_0403: radaoHi
[47.461] きょうちゃん01: キターーーーーーー！！！！！！！！！！！！
[47.467] (S)nanamin1910: ほんとに警察やん
[47.470] (S)しふくん: radaoOtaku
[47.496] (S)ちなこぽっぷ: radaoHi
[47.503] (S)namunamu_r1001: わこらだ！！
[47.807] (S)shake7_77: きたー！！！！
[47.821] kusarikakenotea: わこらだ
[47.821] (S)ククリン: radaoKitya
[47.835] (S)suichan_9: radaoHi
[47.844] (S)いんど: radaoHi
[47.903] rui_sk39: うあああああああ
[47.906] (S)ウルトラ戦士: radaoKitya
[47.943] (S)sahonsa: radaoHi
[47.978] (S)ろしる: きちゃああ
[47.985] bismath: bismath subscribed with Prime. They've subscribed for 32 months! 
[48.000] na_narunru: radaoHi
[48.034] harou_momiji: チュー兄がんばれ
[48.052] (S)土俵入りそふ: radaoKitya
[48.054] omiso9854: radaoHi
[48.071] baruto837: radaoKitya
[48.720] shunmin_914: radaoHi
[48.722] itijiku_0605: radaoHi
[48.724] hotaru_uri: hotaru_uri subscribed at Tier 3. They've subscribed for 16 months! 
[48.767] domesuke: radaoRainbow
[48.773] (S)みやた23: radaoOtaku
[48.795] ta__mei: きちゃぁぁあああ！！！
[48.828] ろ一たす: radaoHi
[48.835] hanamaru_chan323: radaoHi
[48.889] (S)よぐっとにー: radaoKitya
[49.846] ぽんちゃんだよぉ: ぽんちゃんだよぉ subscribed at Tier 1. They've subscribed for 19 months! 
[49.858] クレチキ1108: クレチキ0721 subscribed at Tier 1. They've subscribed for 21 months, currently on a 12 month streak! radaoHi 
[50.229] (S)_みょん_: ~MISSING_MESSAGE_INFO~
[50.407] _めんま_: わこつ
[50.604] 社畜なもちお: 社畜なもちお subscribed at Tier 1. They've subscribed for 28 months! 
[50.926] shivafu_: radaoHi
[50.993] 最強餅巾着: わこらだ 
[51.030] kudamononoou: kudamononoou subscribed at Tier 1. They've subscribed for 35 months! 
[51.045] まつろわぬ: radaoKitya
[51.057] aisu00082: radaoKitya
[51.068] (S)ーれんこんちっぷすー: radaoKitya
[51.069] (S)zarusobazzz: radaoKitya
[51.069] mid_koa: radaoHi
[51.174] (S)yuria_yuriarufa: radaoHi
[51.274] (S)hekiuk1: わこらだです
[51.280] (S)goburin5: radaoKitya
[51.300] (S)灰鷹: radaoKitya
[51.333] (S)hamiyuu: radaoHi
[51.389] (S)kiti3578: radaoRainbow
[51.392] kanoaaa8: 始まりの地
[51.758] らわ: radaoHi
[51.776] naki_516: radaoKitya
[51.792] kotutuki_: radaoKitya
[51.797] magurodukushi: radaoKitya
[51.804] kurumi_615: radaoKitya
[51.811] mikomikoto0: もうここスタートなのｗｗｗ
[51.819] なんでもいい: radaoBanzai
[51.854] 11ket: radaoBanzai
[51.864] 髭ピー: radaoKitya
[51.891] kamiusa1210: radaoHi
[52.200] (S)chino__zz: chino__zz subscribed at Tier 1. They've subscribed for 9 months! 
[52.389] 鶯餅: ~MISSING_MESSAGE_INFO~
[52.823] (S)みに_39: みに_39 subscribed at Tier 1. They've subscribed for 7 months! 
[52.863] (S)そら1228: そら1228 subscribed with Prime. They've subscribed for 8 months! 
[53.025] (S)re_orange814: re_orange814 subscribed at Tier 1. They've subscribed for 5 months! 
[54.020] tomamato_: わこらだ
[54.030] tukky1208: radaoHi
[54.064] らいちぃ: radaoHi
[54.079] (S)karuro_1201: きちゃーーー
[54.098] 明日花ちゃん: 楽しみすぎ
[54.112] すいぺりあ: radaoHi
[54.113] まうすまうす: radaoKitya
[54.117] (S)すえひろがり: radaoKitya
[54.159] (S)るきこちゃ: チュー兄きた
[54.169] (S)かんでら: radaoHi
[54.171] (S)reira_x7: radaoKitya
[54.181] キアラ3: radaoKitya
[54.182] inucho226: radaoHi
[54.226] (S)rikuko_: きあーーーーーーーー！！！！
[54.235] サシモ0626: radaoHi
[54.703] (S)ほたててててててて: radaoKitya
[54.712] (S)りょぴ: radaoKitya
[54.727] (S)らーいさら: radaoHi
[54.759] (S)goburin5: わこらだ
[54.791] (S)シンノノ: radaoOme
[54.794] (S)yuzuha__0: radaoKitya
[54.801] らはぶ: ついに来たか
[55.858] ココナッツ__24: ~MISSING_MESSAGE_INFO~
[56.364] (S)ルアン6086: ruan6086 subscribed at Tier 1. They've subscribed for 2 months! 
[56.418] びびびっと: びびびっと subscribed at Tier 3. They've subscribed for 21 months! 
[56.835] (S)こんにゃ: こんにゃ subscribed at Tier 1. They've subscribed for 6 months! radaoHi 
[57.036] (S)sr25_m: radaoKitya
[57.082] (S)nira555: radaoKitya
[57.082] (S)ゆうきくんさん: ゆうきくんさん subscribed with Prime. 
[57.101] yumeno_939: radaoHi
[57.137] (S)wakitaku_4157: radaoBanzai
[57.165] ryubiiiiiiiii: radaoOme
[57.175] (S)runana_1123: radaoKitya
[57.223] (S)しずく0624: radaoHi
[57.232] (S)yonoya_rando_: radaoHi
[57.241] (S)たおたお_く: radaoBanzai
[57.243] (S)ろじうむ1945: radaoKitya
[57.253] 深那: 久しぶり
[57.256] ookami_rudi: radaoKitya
[57.299] cloverya: わこらだ！！
[57.712] (S)混沌の青: radaoKitya
[57.712] みさお婆ちゃん: みさお婆ちゃん subscribed at Tier 1. They've subscribed for 39 months! 待ってました！！
[57.721] navyblue___: radaoHi
[57.725] emu__0122: もう警察署にいる？！
[57.738] (S)ばるさみこす35: radaoKitya
[57.754] inucho226: radaoKitya
[57.805] (S)chan_kuma_: radaoHi
[57.816] (S)konkondesu: チュー兄きちゃーーーー
[57.823] (S)リミックさん: リミックさん subscribed at Tier 1. 
[57.846] (S)muomuuu: radaoKitya
[57.847] (S)ﾅﾉﾊﾅ: radaoKitya
[57.852] とりーーも: radaoKitya
[57.883] (S)kin6100: いつもの場所、知らない人達変な感じするね
[57.926] 塩の水: radaoKitya
[58.133] miharu_415: miharu_415 subscribed at Tier 3. They've subscribed for 29 months! 
[59.227] (S)優依_: ~MISSING_MESSAGE_INFO~
[59.313] sapichaaan: sapichaaan subscribed with Prime. They've subscribed for 23 months, currently on a 23 month streak! 
[59.772] (S)saryou_harumati: saryou_harumati subscribed at Tier 1. They've subscribed for 2 months! 
[59.861] えぬチャン: えぬチャン subscribed with Prime. They've subscribed for 16 months, currently on a 3 month streak! 
[60.082] (S)momonokko: 楽しみー
[60.097] ゆき_りな: radaoKitya
[60.133] (S)墨一色ガート: 墨一色ガート subscribed at Tier 1. 
[60.136] (S)arayone: radaoHi
[60.209] (S)asahi__717: radaoHi
[60.222] (S)ｵｷﾅ: わこらだ～
[60.257] (S)mayuta_41: radaoKitya
[60.351] おじょーー: radaoKitya
[60.373] hinata_53: わこらだ
[60.391] (S)cliff_16: radaoOtaku
[60.395] (S)mixjuice0914: radaoOtaku
[60.468] dejitari: radaoHi
[60.520] (S)komingu1: radaoKitya
[60.802] ka_ka_3n: ka_ka_3n subscribed at Tier 3. They've subscribed for 16 months, currently on a 16 month streak! わこらだ！
[60.811] shun0418: shun0418 subscribed at Tier 1. They've subscribed for 32 months! 
[60.974] (S)minaduki37: わこらだ
[61.002] okuchan0751: radaoKitya
[61.074] にゃんねね: にゃんねね subscribed with Prime. They've subscribed for 27 months! radaoHi お兄…さん？？
[61.182] kitsuneko99: radaoHi
[61.185] v3karate: radaoHi
[61.251] cloverya: radaoKitya
[61.424] (S)うししろ: radaoHi
[61.505] ろみ_63: radaoHi
[61.513] tiger_bay: 天国と地獄のはじまりだぜ
[61.660] kanata451: radaoKitya
[61.689] (S)檸檬んんん: radaoKitya
[61.694] bell_msvio: 景色がいつもと同じ過ぎる
[61.751] (S)siro_kun1: わこらだ
[61.868] (S)mappa_hi: ゴーグル？
[61.872] (S)よんこま: わこらだ
[61.884] (S)雪狐0143: ついにきたか
[61.887] (S)いんど: radaoKitya
[61.909] (S)yakiikaa: radaoHi
[61.947] Miriotta: radaoKitya
[61.986] (S)nekonaaa: radaoBanzai
[61.986] konyachan: konyachan subscribed with Prime. They've subscribed for 28 months, currently on a 28 month streak! 
[62.009] (S)pear822: すでにヘリポートいるん
[62.017] (S)coco8q: radaoHi
[62.110] (S)mikami_70: わこらだ
[62.115] kurenai0829: radaoHi
[62.197] ren2212: radaoHi
[62.234] reki_b: radaoHi
[62.715] 海びちゃん: radaoKitya
[62.776] (S)まなぎょ: だれ
[62.790] (S)キリン__: radaoKitya
[62.821] muu_select: わこらだ、元気ですか？
[63.990] (S)laziness0721: radaoHi
[64.058] arasin2157: radaoKitya
[64.263] (S)yzn_k: わｍｋら
[64.329] (S)のーと_: radaoKitya
[64.389] びびびっと: やば
[64.393] (S)yotsuha_0202: 警察きちゃー
[64.466] (S)わるぷるぎしゅ: 顔どうした
[64.530] (S)kohakutou0: チュートリアルお兄さん楽しみ
[64.530] (S)銀杏歩: radaoKitya
[64.589] (S)ねこねこお嬢: 警察だ！
[64.635] あらんえむかーびぃ: radaoHi
[64.704] (S)イヴクイ: radaoKitya
[64.706] natsu_mikan_ame: radaoBanzai
[64.720] ruchi_13: だれ？
[64.725] (S)うししろ: radaoHi
[64.777] evacoler: radaoKitya
[64.923] (S)kiro_e327: radaoKitya
[65.005] (S)わいる_921: radaoKitya
[65.251] shige__maru: radaoHi
[65.281] (S)しおざとう: たぜぇwww
[65.368] yunihizumi: けいさつだーーー！！！
[65.374] yona_0724: うーん
[65.463] (S)hasorayuno: わこらだ
[65.468] 神崎立夏: だっ
[65.524] (S)ばなばなな: 見た目すごいや
[65.528] (S)zero040421: わこらだ！！
[65.718] (S)y_tako20: radaoKitya
[65.731] かんこ: チュー兄さん！
[65.777] (S)Nikomi_hanbagu: radaoKitya
[65.782] na_narunru: 顔面！！
[65.800] (S)do_donpa: do_donpa subscribed at Tier 1. They've subscribed for 2 months! 
[65.834] ねこすず: 誰
[65.926] (S)akadome_0503: radaoKitya
