[62.510] (S)arakasegimankoo: arakasegimankoo subscribed at Tier 1. They've subscribed for 4 months! 
[62.606] ~MISSING_COMMENTER_INFO~: カリカリ？
[62.654] (S)wanwaaaan: 今日の朝は図々しかったね
[62.676] ふぃふぃふぃりす: サブスク欲しいなぁ
[62.765] ll_cc_002: カリ？バニラ！？
[62.867] chomu0919: なにやるん？
[62.886] ぺぺ2: パニラ
[63.012] zyagabee: えど川コナン
[63.086] gami1101: そーいや1年の3分の1終わっちゃったね
[63.260] (S)まさたか1999: 072ながすぎだろ072ながすぎだろ072ながすぎだろ072ながすぎだろ072ながすぎだろ072ながすぎだろ072ながすぎだろ072ながすぎだろ072ながすぎだろ
[63.341] nyo_tio: batoraValo
[63.471] (S)村紗あざらし: 「仕事大丈夫か？」
[63.476] ぶろりー: えっど
[63.488] Magu_champ: ただ丸いチョコが入ってるだけだぞ
[63.544] (S)minatoyssy: もちもちな
[63.662] G_nebilim: batoraSudachikunAnimation
[63.697] amethystbeet: 1個くれ！w
[63.744] ち_____: かたあげポテトは？？？？？
[63.935] gerupa: BloodTrail
[64.135] (S)qmapa: 海星ちくらいくわ
[64.221] uoxou_zzz: いいな
[64.252] (S)zunzunyama: なにそれおいしそう
[64.939] munagesinnkennougi: よおいい御身分だな
[65.124] (S)aburi_saamon: ミートボーイ期待してます 
[65.196] 八朔屋: Xのブロック解除してください！悪口言ってごめんない！！！！
[65.872] R_ayu: batoraSudachikunAnimation
[65.887] hiwaii: 案件
[65.900] batoyome: 軍団の決意表明？
[66.751] ikuragenn: ある
[66.788] (S)neji_ki: ある
[66.826] (S)richard_starrky: それ美味いよ
[66.870] zen_speedrun: よお茶トラ
[67.577] okookookome: いや？
[67.621] ぺぺ2: いや？
[67.771] おたから: いや？
[67.785] (S)村紗あざらし: w
[67.828] (S)サかね: batoraValo
[67.844] unununchiwww: いや？
[67.956] (S)stray5237: batoraShino
[68.337] yuten_p: よおバトラ
[68.538] minato56m: いや？
[68.544] kp0001: コメントはえーよ
[68.546] ~MISSING_COMMENTER_INFO~: いや？
[68.556] Magu_champ: ただ丸いチョコが入ってるだけだぞ 
[68.566] tatatarooo: ある
[68.613] todo_19: なにすんのーーー？？？
[68.659] (S)akina1048: ある
[68.857] nakayan_81: よぉ小僧
[68.898] まぐろおおおお: それマジでうまい
[69.030] カスピス: ひとつくれないか？
[69.210] gjmoa: いや？
[69.235] s_love_yupooo: もちもちの金玉ぁ！
[69.256] (S)rmzm3: 誰？
[69.268] amethystbeet: 1個くれw！
[69.477] yuten_p: あるよ
[69.522] (S)なるくん: ある
[69.682] gerupa: いや？
[69.737] hiro_see07: ある
[69.820] (S)aboooonn: ある
[69.950] Gomadare_: ある
[69.986] GALosaru5460: すてま
[70.168] l0l0io: 初めて生放送見に来たわ
[70.180] menico38: うんこちゃんはじ...えーっと...いつもっ...昔から...あのー...あのっ...パワポケ8のときからほんとに...あの〜...見させてｲﾀﾀﾞｲﾃ......
[70.408] hoo_key: バトラも加藤軍団に入団か
[70.685] (S)domingo7: いや？
[70.717] (S)claude__debussy: マリオ引退したんですか？
[70.913] kaosu4: 誰？
[70.938] hiraiyura: ある
[71.166] (S)さえきあああああ: いや？
