[72.990] (S)るぁ__: るぁ__ subscribed with Prime. They've subscribed for 5 months! 
[73.168] (S)rinto_cie: はやいねえ
[73.380] (S)グラフォン: 店主の起床〜
[73.575] (S)かみんちゅう: わあ！？
[74.354] (S)nagisa_7373: にょっす
[75.220] (S)くれないきつね: きた
[75.283] fuu5353: こんばんはー！
[76.128] (S)aina040_: DinoDance
[77.838] (S)_にいさん: こんばんは
[77.865] (S)coral_leaff: 店主の起床〜
[78.048] (S)fineday43ab: 長野行ってたか？
[78.555] (S)zen2419: こんばんは～
[78.572] icebear09120: にょーす
[78.724] (S)toya108da: 会長の起床ー
[79.237] (S)左久良深琴: ⸜(> <⑉)
[79.336] (S)橘縷々: DinoDance
[79.562] XT_SHN: はや
[79.707] qinoe: こんつる
[80.696] gagatgaw: こん
[81.064] (S)tyura715: こんばんは！
[82.655] (S)まるコゲ: こん！
[82.810] (S)nagisa_7373: DinoDance
[83.635] (S)jagaga88: てんしゅのきしょー
[84.205] (S)ゆずレモン3: こん！
[84.582] (S)purupote: こんばんは
[84.797] (S)raizon0420: こんばんは〜
[85.347] (S)01aiueo: 配信ありがとう！！
[85.351] (S)hiromi2222: 今日ヴァロないんだ
[86.887] (S)uesgi_san: hiirag17Boss
[86.903] (S)ryoin_game: 性獣マ？
[86.952] (S)かみんちゅう: 山でも登ってたかー？
[87.142] (S)ひづるん: hiirag17Boss
[87.986] (S)miiiiko12: こん
[88.577] (S)km4753: こんー
[88.761] (S)konishi625: hiirag17Boss
[89.496] (S)fafafafan0: hiirag17Boss
[89.891] (S)8noco: こんばんは
[89.992] (S)kinaco_cham: こんー
[90.130] (S)るぁ__: こん
[90.506] (S)hrk4869: DinoDance
[91.137] (S)ginpengin: hiirag17Boss
[91.509] (S)nasutarou6000: 性獣さんちーす
[91.691] (S)rotta_0720: hiirag17Boss
[91.777] すなぼサンド: ムラッシュおうえんしてたわ
[91.825] (S)pin_dot: こんばんはー
[92.100] (S)ゆずらーめん: ゆずらーめん subscribed at Tier 1. They've subscribed for 2 months, currently on a 2 month streak! 待ってたぞぉぉぉぉぉ！きたぁああああ
[92.233] (S)温泉饅頭さん: こんばんはー
[92.612] (S)omarukun_96: hiirag17Boss
[92.838] (S)abc__oppao: hiirag17Boss
[93.151] (S)udonprin: hiirag17Boss
[93.411] oner_jp: 性獣ツルギ！
[94.336] ryotearyo: 性獣の起床〜
[95.271] (S)メル17: hiirag17Boss
[95.473] (S)konishi625: ういー
[95.609] (S)のーるん: DinoDance
[95.796] prvplean: よいしょーーーー
[95.883] klimentine0221: DinoDance
[95.886] (S)エメラルドスプラッシュ: ういいいいい
[96.635] (S)fafafafan0: こん！！ 
[96.705] (S)kuri0099: こん！
[96.848] (S)kitei33: うぃ〜
[96.978] (S)01aiueo: こんばんはー！
[97.199] (S)rybjag: hiirag17Boss
[97.295] (S)かみんちゅう: hiirag17Boss
[97.682] (S)aixxx35: こん〜！
[97.840] (S)まるコゲ: ういー！
[97.981] ~MISSING_COMMENTER_INFO~: うい～
[98.201] (S)もんぬサマー: 会長の起床〜
[98.286] (S)kirin_171: hiirag17Boss
[98.322] (S)マイジャグラー4: hiirag17Boss
[98.324] (S)グラフォン: うぃー
[98.536] (S)ドーロローン: hiirag17Boss
[99.001] (S)左久良深琴: ٩(ˊᗜˋ*)وうぇーい♬︎♡
[99.031] (S)sansansan0: こん
[99.215] (S)~MISSING_COMMENTER_INFO~: にゃほーーー！
[99.229] (S)08ryyyyy: うい 
[99.253] (S)manowa_1: こんばんはz！
