[133.487] (S)karock1524: わあ？！
[133.507] zlqde: わぁ
[133.541] (S)つちのこ83: つちのこ83 is gifting 1 Tier 1 Subs to ファン太's community! They've gifted a total of 3 in the channel! 
[133.695] nukopam: わぁ
[133.713] まぐ12: わあ
[133.715] (S)べーまる: わぁ
[133.892] (S)つちのこ83: つちのこ83 gifted a Tier 1 sub to lacirisk! 
[134.080] yukitwitch14: わぁ
[134.513] (S)tgf1357: わ
[134.699] (S)sushi_gari_man: Cheer1000 Cheer1000 200日＆30万人登録おめでとうございます
[134.715] hondagb350: すごい
[134.879] (S)miyu__1234: すごい
[134.973] hatiware25: さすが
[135.100] (S)ゲンゾウ666: Cheer100 おめでとうございます Cheer100
[135.121] snack_jpn: わぁ
[135.697] (S)マルディー: わぁ
[135.897] (S)kokerita: fantas22Nt
[136.055] 10花: わぁ
[136.371] unknown19824: ｵﾊﾖｵﾊﾖ
[136.519] (S)syuren1111: @sugeruさん、サブスクギフトをありがとう！
[136.838] (S)ituki13_12: わぁ
[136.897] (S)yashida26: 一年も目の前やね！
[137.333] tukiyosi: うい
[138.582] 48696150: 昨日の雑談あがりますか？
[138.662] (S)ks4no: わあ
[140.909] bankamanba2: わぁ
[140.927] (S)masa1671252: おはよ
[142.264] (S)opome12: fantas22No1
[142.723] (S)イシケン: イシケン is gifting 10 Tier 1 Subs to ファン太's community! They've gifted a total of 35 in the channel! 
[143.256] (S)subsunsun: 祭だ！
[143.488] (S)masamune000666: すごい！
[143.701] (S)イシケン: イシケン gifted a Tier 1 sub to virgokisass! 
[143.725] (S)イシケン: イシケン gifted a Tier 1 sub to heromin0319! 
[143.729] (S)イシケン: イシケン gifted a Tier 1 sub to isakayuki! 
[143.734] (S)イシケン: イシケン gifted a Tier 1 sub to 86_86_86_86! 
[143.759] (S)イシケン: イシケン gifted a Tier 1 sub to roach99! 
[143.762] (S)イシケン: イシケン gifted a Tier 1 sub to メガくん! 
[143.769] (S)イシケン: イシケン gifted a Tier 1 sub to 意識㌧㌦ラ㍑! 
[143.784] (S)イシケン: イシケン gifted a Tier 1 sub to siro_karasu! 
[143.785] (S)イシケン: イシケン gifted a Tier 1 sub to asukarue! 
