[2425.270] unimel1x: リリーは春麗行けるみたいな話あったな
[2431.980] (S)やぎう氏: 春麗はリリーを嫌がってることが多い
[2441.988] (S)ありやんさん: 春麗びふりみたいよ
[2456.504] rockbvouket: 了解っす！ありがとうございます
[2459.788] (S)kukukurin: 春麗が追いかけないといかんからリリーガチでだるい気がする
[2472.034] モリケイ: @dokadokaman なるほど、サンクス
[2478.153] レガシィ: 春麗の強みの気功が機能しないからなぁ
[2483.415] (S)anemone_act5: ストーム久保さんの最近の配信のスト４トーナメントで優勝を飾ったホークというキャラ
[2488.480] モドキ: こんどぐ〜
[2490.349] pakorepukins: 倒すため進み続けてそう
[2501.859] モドキ: レジェチャレ？
[2501.984] モリケイ: 何読みの昇龍
[2529.187] tig_hag: 何が悪いん？
[2534.051] (S)はっぽん: 悪いとは微塵も思ってなさそうな顔してる
[2559.201] pakorepukins: みんなキャラのセリフ復唱するの好き
[2564.703] unimel1x: 普通の顔でコマ投げするじゃん
[2570.873] しぼみ: ﾎｳﾎｳﾎｳﾎｰｳ
[2578.650] モリケイ: コマ投げは無表情で
[2610.845] (S)はっぽん: いたそうな音
[2612.866] (S)musi_namazu: 音が生生しい
[2613.100] abura0: もうﾎﾟｳｯが聞けないのは寂しい
[2615.953] (S)kukukurin: フーリガンさあ
[2631.021] pakorepukins: フーリガン投げのグキッにエコーかかってるの初めて聞いた
[2648.050] (S)ありやんさん: フーリガン君は調整対象であってほしい
[2654.711] バーバリアン姫島: 複雑骨折
[2662.634] (S)kukukurin: そういえば対戦中気づかないけどSA上がると歓声上がるよね
[2672.029] (S)kukukurin: 当たると
[2681.917] pakorepukins: うまい～
[2710.825] モリケイ: ギロチンフィニッシュ絵面が良き
[2757.441] (S)kukukurin: ええ固めや
[2784.562] pakorepukins: ダ～メ！
[2793.681] hamham9999: フーリガンナーフして百鬼出したらおもろい
[2794.899] (S)はっぽん: だ〜め
[2810.445] naryuhama: 悪いな
[2819.836] (S)ぶれお: そういえば日本勢はみんなサウジ大会の切符取りにテキサスとかスウェーデン行くのかなあ
[2843.170] (S)はっぽん: えｒげみたいにキャラごとにボイス切れるようにしてほしい
[2895.364] しぼみ: ﾖｿﾐｼﾃﾙｶﾗﾀﾞｯ!
[2899.044] pakorepukins: 絵面がヤバい
[2914.190] (S)kukukurin: エド欲張りセット
[2920.993] しぼみ: (女の子にそんな事しちゃ)いかんでしょ
[2934.405] (S)ありやんさん: 性癖だからしゃーない
[2947.911] (S)kukukurin: 下がり大Pできるのほんま偉いエド
[2967.983] YaSyu68: リリー、エドめっちゃキツイ気がするんですけどどうですか？
[3060.609] (M)(S)まめスパ: 今日の https://youtu.be/XNQLOJH4B2M
[3063.102] (S)はっぽん: おかスパ
[3071.982] (S)ありやんさん: おつスパ
[3153.507] unimel1x: 1抜け多いっすねぇ
[3188.183] YaSyu68: リリー使ってると１抜けめっちゃされる。
[3211.046] (S)kukukurin: ハーフマラソンしてたらいきなりフルマラソン選手と競走に
[3214.648] (S)ぶれお: リリーで全然2戦してもらえなくて悲しかったけどこんだけ上まで行っても1抜けされるのかあ
[3218.559] (S)田中脊髄剣田中: そして二戦やってくれる相手さんは二戦目に壊れる
[3284.586] 咲パンマン: こんどぐ～
[3303.755] モドキ: ほっ
[3308.395] (S)musi_namazu: リリーのジャンプ下強Pはあまり使わない感じですか
[3322.353] (S)musi_namazu: なるほど
[3326.874] (S)やぎう氏: ガメラ ガメラ
