[948.776] 超ゲジゲジ: Now Loading…
[948.786] iguchiill: LUL
[948.912] (S)CampFire71: あーなるほどね
[949.010] (S)黒猫くん: 理解した
[949.347] 496shikuro: ｗｗｗｗｗｗｗ
[949.541] henly1984: カラスおる？
[950.189] gomigokiburichan: やっぱり理解してなかった
[950.230] はろるど236: かるびはこれだからたまんねえ
[950.730] きょー_1213: 今のは完全に理解した声
[951.408] らぐず: ﾅﾙﾎﾄﾞﾈｰ
[952.073] フﾄ: ミスは大事だね
[952.245] luckante: ニス
[952.387] 謝謝: わかってません
[953.354] kamiya1979: そうね
[953.994] zenosc9: まぁこれはチュートリアルなんでねｗ
[954.300] ddb365: よかったよかった
[954.651] supercat0v0: にす
[955.030] Sishamock: シュールすぎる映像だった
[955.553] ~MISSING_COMMENTER_INFO~: karubisHanya
[955.629] umetyaahan: さっきのわかったはなんだったんだ
[955.933] 36mgh: かるびのおかげだな～
[956.365] axchuuu: ナイスミス！！！！
[957.517] (S)ringo_35: 自分も今わかったw
[957.761] toro0524: いや、けんきもわかってなさそうな気もするｗ
[959.000] (S)log_zzz: 最初はそんなもんよ
[959.776] (S)てんむすさん: もうたのしいねｗ
[960.037] danny_love_danny: 良かったw
[963.787] レム__: まぁこれで覚えるほうが早いｗ
[963.814] (S)タカイチ: 勝利条件は？
[966.150] もきち555: やってみないとね
[966.152] (S)イエール: 何回かやればいけるさ
[966.628] (S)chainsawman4: まあ今のも読みあいではある
[967.590] gloomymario: ポジティブゥ
[968.379] ~MISSING_COMMENTER_INFO~: karubisKasikoi
[971.732] なのだぁ: ランダムで捨てられる
[974.829] mikaze0001: やさしい
[974.835] ganasuna0000: ミスった方が覚えられるからな
[975.616] Akiosroom: このわちゃわちゃも楽しいw
[977.712] sdy_hs: つめるじょー
[977.943] ぼっち王子: karubisNadenade
[979.567] (S)ringo_35: やっとわかったw
[981.652] クラクラ777: だましあいじゃい
[983.645] 36mgh: 勝利条件は宣言した数字の枚数無事めくるのを2回達成で勝ち
[991.326] hdishshakaba: めくるのは自分のカードからって覚えとかないとね
[992.322] ~MISSING_COMMENTER_INFO~: karubisNiyaa
[993.036] v_harumi_v: えがったえがった
[996.312] hi_im_botti: 分かってないぞ
[996.661] potesaraudon: 完璧に理解した
[1010.974] きょー_1213: 本番なら完全にナシって行動ではないから面白い
[1012.572] umesecond: 4でも駄目だったんやね
