[776.039] 残り8万: めちゃくちゃ信頼できる
[778.530] カノン_0306: 優秀というより人力！
[778.765] (S)日本語かな: 審査ww
[778.967] (S)るーどるふ: 努力の鬼
[780.304] yasubewe: ちゃんとがんばってあがった人ｗ
[780.308] 黒光り肉の: 筋通ってていいね
[780.358] tsubame0614: 書類審査ありｗ
[780.774] tarantarantaran: umeNirami
[780.924] imokorori: 言ったら良い感じに調整されるんじゃ？
[781.360] hiranatu: DinoDance
[782.492] (S)イエール: No Futureは笑うw
[782.638] (S)ぺりんご: スタッフボーナス上げてｗ
[783.772] 凪水: ちゃんと手当だしてあげてな
[785.544] 80808527: スタッフの給料上げてくれ
[785.967] pomikan: 言ったほうがいい
[786.554] gyu_nyuu_pann: 書類審査w
[788.834] 5don: ダイヤがブロンズで勝ちまくっても虚しいだけでしょう
[791.645] diego_ohunabara: umeGoat
[795.979] (S)ババシャツ: 審査厳しそう笑
[797.160] moricocoa: 見ればわかるからね
[800.040] ongyaaaaaaaa: サブ垢ｗｗｗ
[800.843] (S)kakutora_no_o: 本当に素晴らしいなぁ
[801.259] tyiiophf: 手動で調べるってどんだけ時間かかるの
[802.908] (S)afuring: どうみても信頼失うのにようやるわｗ
[803.054] 子ぐま: スタッフさんお疲れ様です 
[805.254] nynnysn: 左誰❓
[805.770] naginagi99: レッドブル１年分送ってあげよう
[806.627] pyamaaaa: そうであるべき
[808.217] gyu_nyuu_pann: スタッフ様ありがとー！！
[808.334] いかるが_: スト5ビーストカップ初回からいたからなぁ、そういう輩
[808.742] 超パンダ: ものすごい才能を持った人だったらどうすんだ！
[808.888] ~MISSING_COMMENTER_INFO~: 俺より強いやつに会いにいけよな～
[809.284] (S)~MISSING_COMMENTER_INFO~: 一万人大会いけるな
[810.029] prisira: サブ垢不可能なのマスター帯だけだもんな
[811.302] syugi3: 相当な作業量だろうに
[811.601] shinkarma7: 前回のDJか？
[811.929] friendbakery: そいつら出禁でいいよ
[814.389] twitchyarutch: スタッフの疲労が心配ですけどねw
[814.608] hiranatu: 最高のスタッフゥゥゥ！！
[816.049] (S)ましゅダヨ: 王の元でやる大会に相応しすぎるw
[817.741] 戸愚呂妹: 弾かれにぃさぁ…やめな？
[820.138] harimao_: スタッフさんありがとー cheer300
[820.602] Moneybagzzzzzzz: nice bape hoodie
[820.763] kasayu17: まだいんのかそーいうの
[820.834] (S)イエール: 左は実況のアールさんよー
[824.372] yasubewe: 天才はさっさとMRにいってもろてｗ
[824.599] tarantarantaran: nemohand1Su
[826.687] takahashiseigi: 1400人か、1万人への道はまだ遠い
[827.694] つきよ2223: ザ・ビースト
[830.625] スフィア0301: タイムテーブルどこにあるんだろ
[833.015] yuhi_N: 改善されてるなぁ！すごい
[834.431] gomeeen: おじ雑うおおおおお
[835.646] sne_con: 公式でそういう機能サポートされるといいのに
[836.485] Hitode_noko: あれ？ふ〜きゅんな？
[838.861] だいこん_: おかげさまで同じ実力同士で良い試合ができました
[840.935] 5don: 弘前以来？
[842.868] Hagimagi_14: そうだっけ？
[844.407] renthe_invorker: 俺をとれ
[845.894] moppu_gake: 一人当たり1分でも24時間かかる計算だな
[850.331] (S)イエール: 俺を獲れww
[850.403] めれおじ: ウメさんの左側の席は誰の席？
[852.459] (S)~MISSING_COMMENTER_INFO~: フューチャーってなに
[853.733] koh_358: ササモ
[854.711] (S)ましゅダヨ: けっこう前やん……
[856.184] ymi420: ｗｗ
[856.834] pyamaaaa: 俺を獲れ
[857.525] ローキック: 俺をとれ
[858.177] shichimi10: 俺を獲れでしょｗ
[858.400] takahashiseigi: 俺獲れ
[860.046] prosciu: アールさんも色々あった
[860.229] diediedying: 俺を獲れあったじゃん
[862.243] ~MISSING_COMMENTER_INFO~: 俺を獲れの記憶は失われた
[863.385] sugata128: 俺をとれの記憶が･･･
[863.602] ルル_04: ぷっさんは本配信で見られるかな
[863.633] ヨコグシ: ｗｗｗ
[865.328] shokupan_10301220: 俺を獲れ
[865.429] gyu_nyuu_pann: 俺をとれじゃんw
[866.083] v_harumi_v: 下界ｗ
[866.599] (S)johndoe6523rp: ｗwｗw
[867.954] (S)ましゅダヨ: わかんないとか言い出しちゃうし
[868.719] whitefang_zangief: 下界w
[868.914] 5don: くるしゅうw
[868.955] fbhjkl: LUL
[869.423] (S)腰痛デシ: ｗｗｗｗ
[869.867] だいこん_: もにぃを見届けたでしょ
[870.408] (S)korekitwitch: あの企画無かったことにｗｗ
[870.429] fikat_0702: ｗｗ
[870.626] mochii6262: 忘れられたササモ
