[710.810] uTa_twi: ASSIIKUN(C)
[711.007] yomog1mochi043: 本番は勝てます
[711.545] yassan091: c!?
[712.218] rix7979: RIDガチ頑張れ
[713.046] rlrbhvqbg: 勝てば3pt
[714.632] peko_miko_aqua: 今日ぶいすぽの新人デビュー配信みましたか？？？
[714.756] wea55555555: vsfuriaきついんだよね
[715.352] meldown_riddler: バスロビ
[716.938] ~MISSING_COMMENTER_INFO~: キャプテンあつし
[717.269] nanako70: あつしきゃぷてんまじ？
[718.874] かねちょー: メルトステラが覚醒してくれ
[719.658] s4ku72: さや姉行くわ
[720.812] やぉる: RIDWIN
[721.006] imokorori: ゆきおサブかな？
[721.548] オレリオンソル: 今年のfuriaは仕上がってる？
[722.383] Miiyo7: あっしーくん（キャプテン）
[722.514] nyuta0813: 運ゲーや
[723.116] ssssssssszx: あつし？！
[723.784] まんまみや: #RIDWIN
[726.542] xystabc: あっしーくん
[727.150] aaa3429: sakuのIGLはほぼファイナル行くから大丈夫！
[730.430] kzkyjm: allianceと同じグループ嫌だな
[734.482] KABAYAKIGG: あつし！？
[734.666] pongashi893: 逆に運要素強いからワンチャン掴める
[734.712] (S)homuhomuqb: 勝つさ
[735.200] sunstar851: メルトステラが無双してくれるさ
[736.168] kaanaa1231: ︎︎ ︎︎ ︎︎＂︎︎ﾉ 
[736.346] mymerodyK: あつしwwwwww
[736.397] sawayaka_odisan: スクリムだとe8とかモイストも強かった
[736.557] Juicewisdom: axeumKiss
[736.654] オレリオンソル: わかる
[738.104] ~MISSING_COMMENTER_INFO~: 勝ったら盛り上がる
[738.224] rlrbhvqbg: Cえぐい
[742.216] s4ku72: ヒズワト生きてんの?
[743.607] kusastu: あっしーくんやめてね 
[743.812] (S)rooi6os: FURIA
[744.365] めるてぃ_: sakuのIGLで図太くいける
[744.510] あすず: ほんとだよ
[745.116] ~MISSING_COMMENTER_INFO~: あっしーくん4
[745.572] 世ミミ: チート寄付やめてね 
[745.890] eight_smc04: コーチのCやろ
[747.553] バター0122: FURIA えぐい
[748.165] fujigoat: yukaf マウス盗まれました
[749.000] pongashi893: 初動負けたら寝るわ
[749.174] ひゅが21: ガチ初動頑張れ
[751.382] けーーしぃ: ツリー取り合うのうんち
[751.771] 20971522: ひずわとやばい
[753.149] meldown_riddler: それはまじ
[753.400] kame4260: 個人配信はなしですか？
[755.563] (S)はねかわ777: すべてがしゃばい
[756.366] おくちゃん: 運ゲーだな
[756.719] ichirotan: FURIA強いしね
[760.188] ~MISSING_COMMENTER_INFO~: ボドカッさん、こんちわ
[761.481] じぶ0102: ひずわといんのか結局
[761.548] taishi5500: Cえぐすぎ
[763.140] gussan5532: TSMとフナ以外は問題なし！
[763.471] しろみんみん: #RDLWIN
[764.258] shiba555gj: ひずわとはいない
[764.788] ankooisii_1: not moist か
[765.960] ぱんぷきんへっど: たのむううううううう
[766.217] pikunikku6: あ
[766.418] k1misan: ヒズワトって引退しなかったけ？
[768.039] hunbaa13: ヒズワト結局いんの？
[768.703] ジュデ: 全部勝てばええ
[769.075] らやなさり: シャバシャバや
[769.781] shimagjm: ヒズワトいないよ
[770.216] r1ntaso: 本番だからな
[770.337] omatsu1234: ひずわといないよ
[771.253] オレリオンソル: 入れ替え！？
[771.471] zunpas: ヒズワトは消えた
[772.308] zakko_otsu: ひずわとはいないはず
[772.536] はおちゃ: ゆかえふとさつきんぐ既に物盗まれたらしいね
[773.459] s4ku72: 草
[773.596] yuitaka1837: tsm今回ちゃんと初動とれてない
[773.683] higekosugi: ヒズワトいないから大丈夫
[775.533] nyuta0813: ひずわとはいないよ
[776.222] じぶ0102: いませんでした
[776.303] Tonisha__: その服かっこよすぎんか？？
[776.519] ティーセブン: ヒズワトは控えじゃね
[777.323] smoky___4: 引退したよ
[777.361] のる0000: ハーベスターとりにいこ
[778.484] ankooisii_1: とんずら
[779.603] kimjonnunn: 引退
[779.916] sawayaka_odisan: ヒズワトはストリーマーに
[779.998] フッフッダーイ: 鬱
[780.114] zunpas: PLAYER OUT
[781.022] グラル87: 引退
[781.775] takaokokubo: そうだよ
[781.859] shiba555gj: 病んだ
[781.976] wea55555555: ばくすろん
[782.478] higekosugi: 引退した
[782.697] omatsu1234: 病んで引退
[783.103] Miiyo7: 病んだ
[783.148] pongashi893: 問題児
[783.342] menico38: なんかメンタルがね
[783.685] nanako70: 引退した
[783.772] ~MISSING_COMMENTER_INFO~: トンズラ
[783.809] campingcap: メンタル理由
[783.917] momonrasme: にょーせぷ厳しそう
[784.621] nyuta0813: 引退しました
[784.992] ひゅが21: こいふるきちゃ
[785.087] yoness_999: 引退じゃ
[785.900] そこら辺のヒグマ: 体調悪いんかね
[786.076] yomog1mochi043: ヒズワトは萎えtn
