[1007.057] ゅり: umeCatSleep
[1019.449] sukerousun: ちょっとやせた？
[1028.533] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[1033.779] balthazar000: 昇竜入りそうだったね
[1034.349] aquarium_tw: 今日かっこいいですね
[1040.101] 河合惣五郎: 明日ラジオあります？
[1049.723] 斉川: サブスク動画は今月？
[1049.910] Gordstorm: すと５やせ
[1052.647] kumatedd: 大成功風邪ダイエット
[1053.596] jony_avion: 年始から作画いいです
[1054.155] dekamega: 注いだ？
[1054.318] keawuot: それはやつれたって言うんだよ
[1057.953] (S)イルソイル: お酒は飲んでない？
[1058.689] shizuna1219: umeSnooze
[1060.890] ヒト: ex昇竜のおき攻め性能が大より悪いの何故なのか
[1066.844] (S)redbull_daisuki: 世の中も今日から通常営業なったからゼルダ配信でもええよ
[1071.968] mohumonn120: ウメハラダイゴさん 
[1073.298] jigokunonekomatu: リングフィットやろう
[1074.186] balthazar000: カゲハマってますねぇ
[1079.960] umememe: CPT始まるまでに風邪引きまくろ
[1080.147] kibayashi21: カゲ好きだから嬉しい😃
[1081.010] kamisimeru: ラジオって月曜定期じゃないのか
[1083.246] prayforme11111: 煤老板晚上好啊
[1088.790] 多抜深夜: 新彼
[1090.665] byepush: what's in the can bruh 
[1090.775] (S)FENR1SWOLF: did he figure post misogi meaty overhead into demon yet? 
[1093.553] papipopon: カゲ見てて楽しい
[1095.932] (S)ホナウド: ラジオは火曜日ですよ
[1097.365] (S)ソルダ: くぼきたー
[1097.675] (S)さぶん: ラジオは火曜だよ
[1097.684] domontyan: おおお
[1099.138] 多抜深夜: 久保ｗｗｗ
[1100.001] gfclbrm: 久保や
[1104.160] (S)tabibitox: 久保やｗ
[1104.182] trickcheatfraudlie: kubo
[1104.429] asseternum1: dont think so
[1107.941] kibayashi21: ストームw
[1107.974] dekamega: レアキャラ！
[1111.007] byepush: storm kubo 
[1112.990] jigokunonekomatu: 久保か
[1113.822] Gordstorm: ごぼ
[1114.793] rhayader_alone: タイヤおじさん
[1114.902] (S)redbull_daisuki: タイヤ屋さんか
[1116.300] ~MISSING_COMMENTER_INFO~: ラジオはいつも火曜日
[1117.242] (S)user81023: 久保くん！
[1120.697] (S)FENR1SWOLF: somebody needs to teach him that its so nasty
[1125.754] omegazwalt: タイヤじゃない
[1132.078] (S)イルソイル: 久保と戦うんや。
[1132.229] asseternum1: yea
[1134.463] (S)redbull_daisuki: ミスタータイヤマン
[1135.821] kamisimeru: アビゲイルあってるよなー
[1137.686] jigokunonekomatu: ハンガビーだね
[1138.565] ryo330: 体力差175
[1138.598] domontyan: アビきつそう
[1141.011] retro_ff: 久保ちゃん？
[1145.160] チュイさん: タイヤはファンサービス
[1166.400] Gordstorm: いった
[1168.161] domontyan: すげーーｗｗ
[1168.631] (S)dsadsa454654: umeFail
[1168.997] tencooooooooooo: 久保か
[1171.017] iwasawa_kazuki: アバババ...
[1175.242] rhayader_alone: さすが最強キャラ
[1175.773] byepush: wow
[1177.098] kamisimeru: アビゲイルのいいところでた
[1177.563] retro_ff: タイヤはヴァナヲさんに分からされた
[1178.867] k_zetton: ナイトロつよくなったなぁ
[1186.233] (S)子亀の親分: 当身で白ないのずるない
[1194.107] 黒虎えびお: もうこういう投げキャラを強くするのやめーや
[1194.849] (S)SAPPORO002: 弱弱いキャラきたな
[1196.330] (S)FENR1SWOLF: LUL
[1197.011] omegazwalt: ハメ
[1200.321] hogeHogeo: ｗｗｗ
[1201.138] rhayader_alone: 投げキャラ
[1201.448] BananaMonkey1986: ｗｗｗ
[1202.525] Gordstorm: ノーカン
