[4979.875] himeji_joe: 草
[4980.321] sun_hidamari: そういうキャラ好きよね
[4982.845] ほまれー: 無職転生好き
[4984.165] ラロウ: すぐえろいの
[4984.839] inufu: 今期もアニメやっとるど
[4990.436] (S)シャケ猫: www
[4994.553] (S)owo_8o8: wwwww
[4995.069] (S)かなるな: ということはドS？？
[4996.423] kamaboko0000: めぐみんすこ
[4997.279] (S)kyubeisan: www
[5007.178] inufu: 体がえっどいよな
[5015.425] azarashi_ft: めぐみんはサイドストーリー作られてアニメ化するほど人気
[5018.071] (S)zakiyoka: 見るだけ？
[5018.465] guruton2525: 一番えぐいｗ
[5023.957] himeji_joe: それな
[5024.233] (S)シャケ猫: まぁわからんくはない
[5027.037] sun_hidamari: 歳とるとね
[5027.926] (S)かなるな: 付き合うには持て余すの？
[5050.600] inufu: 不二子ちゃんスタイル嫌いな男おらんよな！
[5052.347] himeji_joe: 揺れる、のはずるいよな
[5065.141] azarashi_ft: ボドは自分のチームが大会中で気が気じゃない
[5075.267] (S)かなるな: 年取ったら垂れるもんデカパイ
[5090.686] (S)シャケ猫: なにしてんw
[5094.607] (S)owo_8o8: 確かにww
[5097.378] azarashi_ft: リドルヴァロ部門、プレミア中
[5102.022] inufu: おいwww
[5122.164] himeji_joe: 相撲やないかい
[5127.728] (S)シャケ猫: 飯ちゃんねるやんw
[5129.263] (S)かなるな: フゴヤマベアー
[5143.993] kamaboko0000: 太るプロだもんな
[5150.462] (S)かなるな: ご飯食べて大きくなるのが仕事だよね
[5153.154] (S)シャケ猫: お相撲さんが作るものがちゃんこ
[5165.428] himeji_joe: 谷町ね
[5180.346] ばろっさ: 米蔵
[5184.521] (S)owo_8o8: 貯蔵庫凄そうw
[5185.551] (S)シャケ猫: いいなー
[5187.664] himeji_joe: スポンサーみたいなもん
[5207.156] (S)かなるな: でも筋肉なんよな中身
[5210.803] (S)シャケ猫: ふるさと納税すればそんくらい集まるでしょ
[5212.205] inufu: 食べるのも仕事だからな
[5213.330] himeji_joe: 食い物の差し入れが１番助かるやろな
[5215.480] (S)owo_8o8: wwwwwww
[5221.454] (S)シャケ猫: 息多めきついってw
[5221.581] さくぅ_: 優勝商品も牛一頭とかよね
[5227.182] ラロウ: ありけんもいってたら説得力あるけどさーｗ
[5238.122] (S)かなるな: ほっぺにも肉ついてるのかな？
[5239.150] inufu: 天龍源一郎やん
[5298.206] himeji_joe: 一段違えば虫けら同然が相撲界らしい
[5313.264] SS_mikan_05: ねっとりしてたなー
[5344.950] (S)シャケ猫: え
[5347.230] himeji_joe: www
[5350.384] and_ag: さん！せーの！
[5351.045] azarashi_ft: 3，せーの
[5351.147] (S)kyubeisan: www
[5351.944] (S)owo_8o8: 仲良くw
[5353.819] さくぅ_: あ
[5369.688] azarashi_ft: りりむ、かるびと同じレベルの掛け声はじめてきいた
[5374.829] (S)シャケ猫: はろー
[5382.180] himeji_joe: 3からの0
[5384.865] and_ag: VCでっかｗ
[5392.922] ひょんほ: ｗｗｗ
[5393.145] (S)シャケ猫: 日本人やないか
[5396.053] sun_hidamari: 鳥肌が
[5398.715] (S)owo_8o8: ネットリ
[5402.565] fka1445: えぐいえぐい
[5403.507] inufu: きっ
[5408.285] papillon779: w
[5414.709] (S)じぇにん: https://clips.twitch.tv/ObeseCrackyAxeKeepo-tN0KvgByM_goObHR
[5416.851] kikkuokiku: 弟者知らないのかw
[5418.081] esaki12: 弟者じゃないんよーw
[5419.255] sinoxxxxxxxx: さくちゃんみたいなこえやな
[5420.311] azarashi_ft: おとじゃと間違えたってこと？
[5430.318] さくぅ_: 弟者さんのこと？
