[220.115] ~MISSING_COMMENTER_INFO~: きたああああああああ
[220.162] jmdwjmwtpj: ！？
[220.268] sashax023: かもとのデートに使っていいよ
[220.320] pyonpyon96: きたあああああああ
[220.737] goshikicammy: きたー！！
[222.116] めんたいこっ: ( ﾟДﾟ)
[223.915] aiueoeou: きたああああああああ
[223.998] s1phore: 天空🍣
[224.674] (S)jaden397: 二の腕えどど
[224.890] ada_do12: 📮👍
[225.508] かーと397: えっど
[226.379] (S)ちゃんこらんこ: turuokKinkyu
[226.990] baseball_oniichan: DinoDance
[227.589] topom1nannyo: PikaRamen
[228.720] ganbariya_c4q: BibleThump
[228.811] lkjfcbhdruiutu: 富士山にjinnyttyいるぞ。
[228.921] noir_noir_noir: 今日もひとりかい
[229.338] itsumademo08: Spotifyは？
[230.901] wanwannyaaaan: こーすけって翌日のことすらも考えられない人なの？
[231.054] sashax023: 特定した
[231.116] tunamaguro123: とうとう出たね。。。
[231.248] 33maxfer: 登録しとけ
[231.258] katura123457: 今すぐ登録しろ
[231.260] mimimi0412: プレミアム入れ
[231.336] peacegundam: ベニーケーじゃね？
[231.446] syafutan: DinoDance
[232.207] macaron359: YouTubeなんだ
[232.682] ヌクテメロンの魔神: きたああああああああああ
[232.704] daihuku_1: braveにしろ
[232.769] aiueoeou: いましよう
[234.859] mb2sy: サルゲッチュのBGM？
[235.035] hmm_makaaau: 54
[235.089] pyonpyon96: DinoDance
[235.090] うるてい: 今入れ
[236.919] rinrinnrinri: なっつ
[238.105] kkrok9651: 今日も胸板が暑いな
[238.347] aiueoeou: なっつ
[238.452] ~MISSING_COMMENTER_INFO~: 登録しろよw
[238.534] bluemansblood: Youtube Premiumに入れば閉じても流れます 
[238.674] めんたいこっ: プレミアムちゃうかあ
[239.492] otamaSo: TwitchConHYPE
[239.604] 0615239: みにきた
[239.735] うるてい: なっつ
[239.831] どす: あ
[239.929] lkjfcbhdruiutu: あ
[240.653] 激安の殿堂: わぁ！？
[240.788] フィッチ: プレミアム入っちゃうか
[240.804] ~MISSING_COMMENTER_INFO~: あ
[240.840] jmdwjmwtpj: あ
[241.042] macaron359: ！？
[241.495] ないこと: 画面変だぞ
[241.653] はんぜうす: ？！
[241.671] (S)jaden397: あ
[241.776] pyonpyon96: 横
[242.252] tanjent30: あ
[242.309] itsumademo08: ？
[242.572] akou444: あ
[243.083] otamaSo: あ
[243.466] bluemansblood: あ
[243.687] しんく大先生: あ
[243.747] yonpe_: あれ
[244.120] めんたいこっ: ；；
[244.220] lett_62: あ
[244.327] syafutan: あ
[244.335] かーと397: あれ？
[244.378] macaron359: あ
[244.515] hmranndosel: ひん
[244.522] aatappa: あ
[244.559] やきうみん: あ
[244.804] goodsleeep: やあ
[245.011] mimimi0412: あ
[245.062] sunpower12345: ひん
[245.241] Auaubabu3: あ
[245.271] naginohazama: あ
[245.358] aiueoeou: ！？
[245.443] ponpokopooon0852: あ
[245.478] lkjfcbhdruiutu: お疲れ様でした
[245.654] ~MISSING_COMMENTER_INFO~: ｗｗｗ
[245.752] ~MISSING_COMMENTER_INFO~: 配信が閉じた
[245.936] onuma_zaurus_: あれ
[245.957] katura123457: あ
[245.967] Naossy31: 閉じたけど
[246.101] 摩利支天尊: は？
[246.152] goodsleeep: あれ
[246.336] richcaramelcookievannila: httptjKeroppisob
[246.338] hyperadhdasp: あれ
[246.352] jmdwjmwtpj: おつ
[246.838] gusoku_tobi12: wwwww
[246.938] (S)0_mare: あら
[246.998] peacegundam: 横向き？
[247.063] ふゆりす: あ
[247.069] pyonpyon96: あ
[247.095] nanamuchan: BibleThump
[247.318] sashax023: は？
[247.470] 激安の殿堂: BAN
[247.532] eenn_25: かもー？
[247.671] セん: あ
[247.743] うるてい: ！？
[247.957] ぶーみん: wwwww
[247.958] masa_725: あ
[248.059] onuma_zaurus_: あ
[248.200] w4ho1ic: あ
[248.493] goodsleeep: おつ
[248.527] kkrok9651: おわた
[248.528] topom1nannyo: あ
[248.673] nakano1308: へ
[249.159] toramaru381: かもー？
[249.276] itsumademo08: 時空が歪んだ
[249.349] s1phore: NotLikeThis
[249.364] LT_p1: くそわろうた
[249.384] ヌクテメロンの魔神: おつ
[249.402] ノルディック親父: ひーん
[249.873] ないこと: tmt
[249.976] sashax023: おつ
[250.052] warriorslovee: あ
[250.071] しんしん13: あ
[250.257] ~MISSING_COMMENTER_INFO~: BAN
[250.354] 黒波バドレックス: あ
[250.442] LLLLLLuckyMonster: あ
[250.700] numaoo1116: BAN
[250.720] めんたいこっ: なんずぇ
[250.897] macaron359: 間違えてら
[250.942] hayakenta: あ
[251.114] (S)ちゃんこらんこ: 俺とYouTubeファミリーになろう
[251.254] 焼鳥美味: おつ
[251.558] mb2sy: ドライブ楽しかった～
[251.859] Naossy31: 配信が閉じたぞ
[252.018] toangone: あ
[252.068] しんしん13: おつ
[252.159] ふらわーわん: え
[252.195] chikutate: あ
[252.321] samalunch: ということでね
[252.562] hayakenta: おつ
[252.750] otkkym: あ
[252.769] komikomii: ばーい
[252.785] ponpokopooon0852: ひん
[252.877] icen_cy: おつ
[252.956] nenemuishi: あ
[252.957] ソイロアルモンテ: おつ
[252.971] (S)kaishin714: おつ
[253.169] dendeguri: ひん
[253.180] hyperadhdasp: ありゃw
[253.520] jmdwjmwtpj: 一旦な
[254.014] warriorslovee: uniteddjMimimi
