[1637.465] omedetroit: クリスT今日ここに来るんだよな？w
[1656.194] genjuro527: nerf ryu give him shooting peach
[1659.266] vananaXI: 大谷お前真面目ぶってそんな人間じゃないだろ
[1667.696] ~MISSING_COMMENTER_INFO~: give ryu an assault rifle
[1673.546] ハーロットマエバコウヘイ: 今日いけねええええええ
[1677.473] tas0142: 大谷センター
[1677.510] yakan06: オオタニイイイイ
[1680.019] (B)(S)DaigoTheBeasTV: 952 dropped frames...
[1683.799] omedetroit: ラストリュウ ラストリュウ
[1687.022] (S)Giichigi11109: きたあああああ 
[1688.226] tokitokido: さぁ大谷だ！
[1688.683] Coron___: ぷいきゅあにぃ…どうして…
[1699.915] (S)balthazar000: だいぶ調子悪いっすね
[1727.630] 先日助けてもらった鶴です: 月曜だしね
[1731.192] nup1965: ぶいきゅあ…
[1732.624] rubio222: 今大谷リュウは数字とれそうだね
[1735.179] yakan06: ２８２８
[1735.549] (S)balthazar000: きゅあにぃ！
[1738.887] genjuro527: tsugi no daigo dare?
[1739.124] unbrean: もんじゃだ…
[1742.928] ハーロットマエバコウヘイ: 今東京やからいけねえ
[1748.227] mutuizumi: 弱い
[1758.244] omedetroit: かずしさん毎回来るなw
[1758.474] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[1758.602] Estwilde: Give Ryu a damn spirit bomb
[1759.144] (S)balthazar000: いきなりw
[1760.471] tas0142: リュウはギャグ
[1770.460] 悪魔ほむら: コントロールドラゴン
[1772.793] kinoko126: はいれんかた
[1776.055] nup1965: Where is daigo today?
[1780.550] inukubow: 血涙を流しながら相手が強いと叫ぶキャラ
[1782.336] kona_kun0530: さすがカズシさんやなこういうのに必ず入ってくる
[1783.788] ヴォルクはん: ただしクソ
[1798.436] すずかぜ: ちょっと
[1803.681] ~MISSING_COMMENTER_INFO~: ロストリュウ
[1806.463] ぐぐっす: リュウごめんな
[1806.827] yakan06: リュウ、さらば
[1811.772] rekkauma: 豪鬼やってるなら豪鬼見たいわ
[1813.338] 先日助けてもらった鶴です: 豪鬼のほうが楽しいしな
[1813.995] (S)balthazar000: キャラ差はねぇ、中々クルから
[1814.446] bakedonion: リュウ絶滅
[1817.732] omedetroit: リュウ、背景に行きな？
[1818.108] おじキッズ兄: ウメちゃんよりときど
[1826.447] Coron___: なになになに
[1829.718] tokitokido: やったな？
[1831.339] hanao_hanao: 大谷やったな
[1832.051] 先日助けてもらった鶴です: やったな？
[1835.356] たまげた: ジョン君ネモさんと大阪行った話してよ
[1835.628] bakedonion: これがコントロール
[1837.413] mutuizumi: ウメ「ハドウケンヲウツノデス」
[1842.502] inukubow: ラグコントロール
[1850.144] omedetroit: リュウ配信で久々に見たわww
[1852.082] Kanquez05: ちょっとインタネットの調子が悪いみたいね
[1861.931] King_Fuudo: や～～～ばい
[1863.846] moosan12: リュウ強化研究所
[1865.053] EG0IST10969: Capcom please.
[1865.733] 悪魔ほむら: 回線 
[1871.917] spclink: RB・・・？
[1873.413] (B)(S)DaigoTheBeasTV: Bad Internet today
[1874.892] fapfapjpn: PogChamp
[1875.268] (S)balthazar000: 折笠さんの時も調子悪かったよね
[1877.111] wayser: can i somehow only hear jiyuna if im on speaker?
[1877.248] qq_taro: Internet Broken
[1877.545] moosan12: 先週の金曜から調子悪いな
[1879.590] sh1zuku716: アイイ
[1879.845] omedetroit: この前の折笠配信の時からやね
[1880.411] (B)(S)DaigoTheBeasTV: RB Internet 
[1884.753] ぐぐっす: この前の講座からちょいちょいおかしい
[1885.436] tas0142: リュウザワールド
[1888.345] ぱらだいす12345: RBなんとかしろ！！
