[74.171] しろふぐ: しろふぐ subscribed with Prime. They've subscribed for 23 months! 
[74.359] (S)めりゅみー: radaoHi
[76.141] (S)フロント受付: radaoHi
[76.636] berichako: radaoHi
[77.191] odangotiyan: わこらだ
[77.243] edyuwar66: わこらだ
[77.987] (S)zaza_kun: その分リスクもあるしね
[78.187] アルカイド: radaoHi
[78.206] (S)かめいいんふ: radaoHi
[78.209] (S)こんにゃ: radaoHi
[78.600] many7575: だーにー！？
[79.343] みえのえ: わこらだ
[79.507] ラム0158: radaoHi
[79.543] aya_runa: radaoHi
[79.579] あるみ屋: あらw
[80.432] (S)つなまよ07: ほーん
[80.578] さつまいもおいしい: radaoHi
[80.665] mimi22193: わこらだ
[83.311] many7575: わこらだー
[85.130] (S)すいらら: radaoHi
[88.469] (S)aibou0511: 早番嬉しいいいい 
[89.342] ﾏﾙﾏﾙ: radaoHi
[90.151] (S)デラックス松子: デラックス松子 subscribed at Tier 1. They've subscribed for 7 months! 
[92.342] (S)月神雪兎: 月神雪兎 subscribed at Tier 1. They've subscribed for 2 months, currently on a 2 month streak! おはよ〜
[93.741] (S)hoshi_54: わこらだ
[94.598] (S)テイモンさん: radaoHi
[94.849] (S)sraim5687: radaoHi
[95.379] 鶯餅: radaoHi
[95.392] many7575: おはようございます！
[96.032] 53です: radaoHi
[97.417] たかひろくん: 早番だぁー！！
[97.654] (S)たかなしはな: radaoBanzai
[98.570] sora_mameee: はいないすー
[98.885] (S)そら_1907: ないすー！
[99.086] すいぺりあ: おめ
[99.091] (S)むっちゅう: わこらだ
[99.305] (S)瑠依007: radaoHi
[99.521] (S)hiro_siri: radaoBanzai
[100.405] あるみ屋: ないすー
[100.434] (S)ゆにるな: radaoKitya
[100.609] シュウ米: radaoOme
[100.708] (S)さわタイ焼き: radaoBanzai
[100.918] (S)monjiro89: radaoYatta
[101.398] (S)わふねこ: 早番あざーっす！！！
[101.590] れもんちぃ0: radaoBanzai
[101.886] (S)マロン_: radaoBanzai
[102.413] (S)baceneKo: radaoOtaku
[102.664] mhiiragi42: 早すぎーうれし
[102.871] (S)EarlGrey_SPR: radaoBanzai
[102.888] あっすー_: radaoBanzai
[103.208] (S)aioka_y: radaoBanzai
[103.251] (S)hishaku_o0: radaoBanzai
[103.264] (S)chara0322: radaoBanzai
[103.274] (S)コンさん: radaoBanzai
[103.444] ゆずシフォン: radaoBanzai
[103.445] (S)しめったチワワ: radaoBanzai
[103.660] にわすずめ: ないすー
[103.883] (S)suzunone_: radaoBanzai
[103.918] (S)わふねこ: おおおお
[104.250] wofuda: radaoHi
[104.457] (S)suuchaaa: radaoBanzai
[104.463] (S)takahasi0211: radaoBanzai
[104.565] (S)星映天下: 指名手配解除 
[104.712] amanooomikami: radaoBanzai
[105.137] (S)gomudam: リグの指名手配ないんだ
[105.222] (S)Gerugerumanimani: radaoBanzai
[105.281] (S)ferunora: radaoBanzai
[105.309] 夢現: わこらだ
[105.471] (S)Asupekuun: radaoBanzai
[105.529] (S)yvesntual: radaoBanzai
[105.935] edyuwar66: radaoBanzai
[106.042] (S)けちゃっぷおむらいす: radaoHi
[106.957] (S)two__bear__: radaoBanzai
[107.168] (S)komatuna_pipipi: radaoBanzai
[107.568] n_e_mu: radaoHi
[107.918] joeboy031: リグされてないんだ
[109.170] (S)すわ0622: radaoBanzai
[109.203] 銀杏歩: radaoBanzai
[109.450] (S)田中角: radaoG
[110.292] (S)makimaki114: ホットドッグいけるー！
[110.333] (S)siwo_nj: radaoBanzai
[110.738] (S)k0ku3: リグは指名手配なかったんか
[110.855] (S)るでぃにあ: わこらだ
[110.897] (S)ame_nenemuri_: radaoBanzai
[111.528] (S)ky0to23: radaoBanzai
[111.957] (S)777suke777: radaoBanzai
[112.169] (S)46kuroneko: radaoHi
[113.229] sora_mameee: へー
[113.328] sjindoa: へー
[113.683] (S)ゆにるな: へー
[113.699] rina81820: radaoBanzai
[113.842] magaos_753: radaoHi
[114.263] (S)enemyacc: radaoBanzai
[114.498] (S)hokonatu: radaoHi
[115.043] ﾏﾙﾏﾙ: radaoBanzai
[115.368] (S)hakurin12: radaoHi
[115.856] ゆずシフォン: へー
[115.901] many7575: 今日も元気にがんばれー
[116.069] (S)わふねこ: よし、ホットドックだw
[118.135] (S)0o_naonao_o0: radaoHi
