[1859.970] oolongtea12: J大K先端当てはまーじつらいね
[1895.188] (S)kitagawakun: アビには是非ともリュウたちみたいに前跳びのときは宙返りしてほしい
[1895.406] scottiever06: 怖いけど対空できる距離にいるといいのか
[1954.271] misopotato: 不思議な事態
[1954.392] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[1974.432] (S)kitagawakun: オンライン選抜のときのハクガイル対久保アビも面白かった。ハクがちゃんと距離詰めてアッパーしてた
[2024.658] that_japanese_dude: お化けが笑ってるぞ！
[2091.452] ShimoyamaP: 対策出来んの
[2094.376] maemaemaema: どうしたらいいですか！？w
[2099.067] (S)kemononeko: あんの?
[2107.075] kamisimeru: かなりの万能
[2108.775] salt_360: あるある
[2110.432] misopotato: 慌てると後ろ飛んじゃうよな
[2111.388] typewild9: 前跳びいいんじゃない？
[2111.997] marujin4444: にげちゃう
[2138.775] maemaemaema: 当身
[2138.988] (S)もけたわけ: 当身かw
[2147.405] glenbntn: I've been missing you ANIKI
[2161.148] maemaemaema: くださいw
[2166.035] (S)momochan6: なるほど
[2172.247] ShimoyamaP: へー
[2173.428] AIR_PP: なぜわざわざ発生の遅い技でｗ
[2179.702] HannibalOnTheLamb: Streaming on PC?
[2184.292] oolongtea12: EXナイトロ当身の性能はガチ
[2186.265] marujin4444: ほほー
[2188.257] misopotato: 出たの見てからゆっくりと
[2194.569] (S)kemononeko: ほう
[2198.585] (S)kumanobed: なるほど～
[2205.915] maemaemaema: 無限
[2210.311] ShimoyamaP: 99回
[2222.110] (S)user0511: ん
[2222.590] misopotato: ｗｗｗ
[2222.656] marujin4444: ｗｗ
[2222.679] (S)daichan1200: ？
[2224.929] kurage88: 先生？
[2227.858] sataraito22: おや
[2232.647] misopotato: 先生！
[2233.766] maemaemaema: 取れるよね？
[2233.943] kenitama: さすがに
[2234.342] (S)momochan6: とれるんすよ→あれっ
[2236.761] (S)user0511: なおった？
[2239.168] ShimoyamaP: ん？
[2239.354] largsrn: ？
[2240.595] oolongtea12: 打撃なら取れる
[2242.093] ガム55: おや？
[2243.079] STARfromTOKYO: ボタン違う
[2246.023] typewild9: 弾だからじゃね
[2246.767] act3f: ハンガビー派生でしょ
[2247.667] (S)kemononeko: ？
[2249.772] (S)kitagawakun: AEになってからCAにアーマーブレイク属性ついたの多いからそれじゃないかな
[2257.512] ShimoyamaP: バイソンならいけんのか
[2258.498] kamisimeru: 先生
[2264.754] kurage88: おめでとうございます
[2280.768] devilishblack: 瞬獄殺は？
[2289.062] misopotato: 結論：豪鬼優秀
[2289.823] sataraito22: 結論優秀
[2292.996] ShimoyamaP: うおおおおおおおおおお
[2295.722] (S)user0511: 豪鬼ｻｲｯｷｮ！！！
[2301.838] (S)ttp_hayato: マジかよｗ
[2302.444] maemaemaema: えーーw
[2308.927] (S)momochan6: ミカｗ
[2313.773] oolongtea12: あ
[2323.160] mattarisk: 悲しい
[2323.586] misopotato: 他界他界されちゃう
[2325.481] nizu0120: えぇ...
[2347.465] misopotato: ∞アビ
[2353.519] (S)kitagawakun: でもジュリはAE前は当身でCA取られてたけどAEになってからアーマーブレイク属性付与されて勝てるようになったから豪鬼のも弾だからってよりアマブレじゃないかな。どっちゃでもいいか
[2359.592] g1tatsuya: aren't they supposed to be at eleague
[2369.046] g1tatsuya: right now
[2372.609] kamisimeru: ゲージ2本で無限シリーズ入りはホントずる
[2373.162] maemaemaema: とっきーやってたのだ
[2394.452] (S)hachi_mitsu: 白ゲージめっちゃ取られるなｗ
[2402.846] (S)spring__thief: RAGEでときどよくやってるね
[2444.787] maemaemaema: おいいいいーw
[2451.576] kamisimeru: これは要練習だなｗｗ
[2454.750] salt_360: むずいなぁ
[2458.218] (S)kemononeko: むずそう
[2463.767] act3f: EXナイトロチャージ→ダイナマイトパンチで大事故起きるよなぁ
[2471.092] (S)kitagawakun: 白のほうが全然でっけえｗ
[2474.750] shikamaru1219: これ大変だな
[2490.193] latenight000: でも、対策があるだけ相当恵まれてるキャラだと思うｗ
[2497.733] misopotato: 豪鬼つおい
[2500.541] Engamer77: CoolStoryBob
[2504.824] STARfromTOKYO: ＥＸ昇竜タイミング悪いと負ける
[2509.667] catsandcats256: 豪鬼ありがとー
[2514.068] (S)user0511: しゃが大Pのリターン高いな
[2520.587] (S)kitagawakun: ジュリちゃんもVスキルで逃げれる！ジュリちゃんつよい！！！！
[2527.167] act3f: タメ立大P発生フレームなるとアーマー無限なるけどそのタイミングでも昇竜いけるんか？
[2551.626] kenitama: ファジーでおすってことか
[2568.257] ginsukethedoctor: それ何をキャンセルしても昇竜確定するんだよなぁ
[2584.755] salt_360: とれる幅多いなアビも
[2612.993] misopotato: 咄嗟にステップ出すのは相当練習いるな
[2674.732] maemaemaema: 端に詰められたらどうしたらいいっすか？
[2686.403] GodDamnImfree: high class abigail 
[2696.692] ~MISSING_COMMENTER_INFO~: English message coming through
[2730.280] b_oka5: Abuget Cup 2018 応援配信
[2740.949] GodDamnImfree: Abigail = 
[2744.335] ~MISSING_COMMENTER_INFO~: new to sfv. whos most used character in tournaments ?
[2763.638] MidnightMashersPH: this season?
[2767.956] MidnightMashersPH: cammy
[2798.142] GodDamnImfree: Hasuun de ? 
[2804.484] surokun777: 解説してもらわないとこんなやり込んでるのに見てる方は全然わかんないね
[2807.580] nizu0120: ca後状況優秀すぎる
[2808.537] ~MISSING_COMMENTER_INFO~: @OldManMerlin cool
[2819.917] maemaemaema: ざわ...
[2824.377] (S)ttp_hayato: えええ
[2829.038] misopotato: ？？？
[2842.509] GodDamnImfree: Japan 
[2845.979] nizu0120: バグ？
[2846.718] maemaemaema: CAPCOMに負けた
[2866.583] misopotato: はーーー
[2866.698] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[2870.694] ガム55: えー
[2877.200] WirelessCow: nice capcom
[2878.234] maemaemaema: あ、有利なんかw
[2905.166] ~MISSING_COMMENTER_INFO~: I was wondering. Are Abigail and Birdie basically same characters ?
[2905.688] (S)kitagawakun: ウル４のさくらのJ大P起き攻めみたいな光景
[2906.399] GodDamnImfree: fuudo mika 
[2942.638] MidnightMashersPH: @rust_n not the same chara. one is british the other is a car
[2967.260] ~MISSING_COMMENTER_INFO~: @OldManMerlin moveset looks extremely similar from casual point of view
[2976.081] kamisimeru: 前進しながら攻撃する技がほしい
[2976.672] scottiever06: ミカきついなｗ
[2989.053] (S)もけたわけ: コマ投げ?の後の表裏みたいのってどうなってるんですか?
[3016.957] テイガー: exじゃないと・
[3036.991] mari__na: 板ZがよくやってるじゃんぷKの表裏じゃない？
[3039.564] コーゼット: コマ投げ後の前飛びが表かめくりかみにくい的な？
[3043.351] maemaemaema: 結構色々あったねw
[3048.969] Clarie_Faron: アビリフトの事やろ？
[3051.417] AIR_PP: EXコマ投げからなんかぺちっとしてとかのことかな？表裏
[3053.689] guile_head: おき攻めの表裏
[3056.743] scottiever06: ジャンプからの表裏か
[3058.491] GremlinTakahashi: 板Ｚネタのやつかな？
[3066.181] misopotato: メモ取らねえと復習できねえｗｗ
[3073.691] maemaemaema: 中断漏れるに100点
[3083.591] ~MISSING_COMMENTER_INFO~: what are they testing ? 
[3088.939] ~MISSING_COMMENTER_INFO~: :)
[3102.297] salt_360: アビの大Ｐもなかなかｗ
[3111.959] kamisimeru: ミカと豪鬼の比較になっちまってる
[3129.703] (S)user0511: 変身アビにも対応できるか？
[3142.688] kamisimeru: これだけで勝てる
[3145.955] misopotato: 大P地獄
[3159.753] (S)spring__thief: キーディスが
[3168.238] kamisimeru: 大パンチボタンを気分で
[3252.918] room13_tw: 何でそんなにテンハを推すかね
[3260.990] GodDamnImfree: Abigail is a beast, still very good 
[3273.921] salt_360: きつそうｗ
[3277.445] yoshikawa_yo: 謎の2段目地震があるんだよな
[3294.491] (S)user0511: 無線になってないよね？
[3300.869] GodDamnImfree: floe127
[3311.184] (S)user0511: アプデしとらんかー
[3333.655] maemaemaema: ハンサムパンク
[3351.268] kamisimeru: 一片にはできない
[3358.608] (S)kumatedd: 使いすぎ？
[3362.310] (S)spring__thief: 買えよｗ
[3364.869] コーゼット: 訳「買ってくれ」
[3365.161] (S)たかちゃん06: え？マジ？
[3365.531] kamisimeru: 折笠さんってほんとに岩手から通いなの？
[3366.425] sh1zuku716: 壊した？
[3368.826] misopotato: 修理か買い換えか
[3370.188] tebasaki0628: ｗｗ
[3371.571] that_japanese_dude: クラウドファンディングだな
[3383.691] maemaemaema: さて
[3383.760] (S)風呂でフルーチェ: 中古で買うから…
[3385.427] King_Fuudo: バイトでもしろーーーーい
[3389.548] ShimoyamaP: コーディーのやつじゃないの
[3391.210] (S)kumatedd: 旅の道中で募金をつのるか
[3392.382] yamame: 中古なのかｗ
[3393.251] (S)user0511: PS4ってそんなぶっ壊れる？
[3403.186] maemaemaema: ハンサムBARは？
[3414.691] GodDamnImfree: GAS JAV 
[3422.434] ShimoyamaP: ハンサム壊した？
[3423.056] (S)NAOjpp: ｗｗ
[3429.964] King_Fuudo: その辺にPS4落ちておらず？
[3433.567] GodDamnImfree: ;)
[3435.621] コーゼット: 折笠フリーハグ企画で稼ごう
[3437.927] (S)syumatsu_neet: スト5やっぱみんなps4 ?おいらpcなんだけど。
[3447.654] yoshikawa_yo: 賞金首で100万獲るしか
[3459.508] cafe_gondo: PC切ってる人多いですからねえ
[3459.602] maemaemaema: そうしてますねー
[3460.785] GremlinTakahashi: ＰＣだと寂しい思いするよ
[3468.323] (S)AtomPeter: まじかよｗ
[3468.325] (S)user0511: えｗ
[3469.810] misopotato: 水かー
[3470.297] watafork: 草
[3471.429] シゲノンさん: まじかｗｗｗ
[3476.145] (S)kumatedd: 自分でお酒こぼしたのかと思いましたよ！
[3477.806] (S)spring__thief: なんでPC拒否するの？
[3478.307] (S)きよっぷ: そんなに差あるかね
[3479.643] otayan_: 賞金首に挑戦してほしい
[3480.242] yamame: 乾かしてたらセーフだな
[3484.678] GodDamnImfree: oppai 
[3486.982] gos0810: 乾かせば動きそうじゃない？
[3487.966] (S)風呂でフルーチェ: そういう事かｗ
[3491.751] (S)user0511: 乾く前に電源つけたか
[3491.855] watafork: pcps4間はラグくなるから
[3492.125] れく太: 濡れた状態で通電するのがアウト、かけられても完全に乾燥させればセーフ
[3492.205] X2sanX2san: ＰＣはラグイ
[3493.679] (S)ttp_hayato: ドライヤーで乾かしてみ
[3493.821] kamisimeru: 娘が可愛いならOK
[3494.248] marujin4444: むりでしょーーｗ
[3497.192] King_Fuudo: ただの水なら乾かせばいいんじゃない
[3499.867] King_Fuudo: やめろ！！！！！
[3500.099] ShimoyamaP: 4タテ
[3501.342] コーゼット: 濡らしても通電せずに乾かせば おｋ
[3506.739] (S)spring__thief: PCの方がラグいんだ
[3511.462] misopotato: ５人中４人じゃなかった？
[3516.031] (S)kumatedd: 全員に勝つ必要があるのかー
[3518.229] kudo3fgc: EVO優勝できるじゃん
[3518.811] maemaemaema: CPT優勝できるレベル
[3522.269] mattarisk: ぜーったいむりなやつ
[3522.558] tk3333: 4タテなんだ？
[3523.294] (S)syumatsu_neet: そうなのか。ps4 買うか。pc版はオフ専用にしよ。
[3524.161] Alectro_DooM: PCは相手のスペックに左右されるからね
[3526.969] hoehoeR: z本人やんｗ
[3533.463] ShimoyamaP: 3先×3 5先×1
[3535.694] GodDamnImfree: Japan 
[3538.973] X2sanX2san: ＰＣ設定は外国とあたりやすくなる
[3539.442] tikamachan: 本人ですね・・
[3541.523] (S)NAOjpp: 勝率が50パーセントでも1/64だもんなあ
