[748.709] (S)5687gpjjj: ももちプレミア優勝あるか
[749.983] Y927z: 忖度
[771.212] popcornunknow: VTR？？
[774.434] (S)shochann: 今のいいね
[775.191] uhauhap: お
[780.212] asashinya: そそそそそそそそｗｗｗｗ
[780.452] (S)kumatedd: ハイ・・・
[781.340] (S)user0511: それ
[783.654] ~MISSING_COMMENTER_INFO~: い、いい試合だな〜
[791.770] gypsy2603: 藤村上出てないね
[807.607] peppers103: 手裏剣機能しないな
[809.077] nabenights: コーリンこの衣装ええな
[810.071] agarbotnet818: 深夜のテンションだね ウメちゃん眠そうな声
[816.543] (S)山田たろう太郎: いいぞ
[817.591] (S)co2tan99: つよ
[819.182] huumu2: もも？
[820.538] suudon: きちぃ
[820.993] ninnin: リーチ
[822.083] metalface_05: つよ
[822.310] okitakai: まじか
[822.560] (S)shochann: 間合い管理がガチ
[827.015] suudon: 逃げられない
[828.786] dora2212: おおおおおお
[831.168] King_Fuudo: う～～～～～～～～～～ん
[831.420] おはよう123: 投げおしちゃうわそんなん
[832.657] koji1234567: つよ
[833.114] menpati: つよ
[833.266] qk10min: コーリンも結局VT2で殺すキャラだなあ
[834.308] (S)titilrin: 麦茶飲んで目覚したらいい
[834.568] ~MISSING_COMMENTER_INFO~: 忖度
[835.980] kent34_f: あるのか？
[836.128] ~MISSING_COMMENTER_INFO~: ついに藤村解雇されないのか
[836.841] nizu0120: つよいなぁ
[837.846] Lewviahn: Bom Dia 
[839.685] (S)dspread: プレッシャーヤバっ
[840.260] (S)nauti1us123: オーナーつよ
[840.376] (S)gt_26_t: うま
[843.270] huumu2: うま
[844.052] hannibal097: ケンがね・・・
[844.996] koji1234567: これは忖度に見えない忖度
[847.852] イナゴ0213: 風切りどこ・・・
[851.177] (S)山田たろう太郎: おおおおお
[851.183] Enpitsu213: 藤村は大人になった
[851.918] (S)co2tan99: おおおおお
[852.349] (S)gt_26_t: しっかりしすぎてるよ
[852.554] (S)山田たろう太郎: っけい
[852.684] marumaru06: いつもは早すぎるくらい上出るのに
[853.414] metalface_05: おお
[853.557] GYAKUBANE: 間合い管理すごい
[855.210] ハット: おおおおおおおお
[855.504] adptp: 立ち上がり上手く当たって 立ち上がり上手く当たって
[855.554] zizu102105: マジか
[856.520] daoko0721: あれ
[856.765] prefabcat: ???
[857.048] catsandcats256: これが”オーナー”
[857.315] (S)kumatedd: 富士山があああああ
[858.156] ririsia2580: これは忖度
[858.267] asashinya: 生き残る為に負ける藤村を責めるな
[858.468] (S)iseoseo: オーナーの意地みせたあ！
[858.758] kugennsya: これまでも何回かももちと藤どんの組み合わせあったけど全部藤どん勝ってきてたんだから忖度なんてやるつもりならこの前にやってるだろ
[858.883] debuchocobo: ももち おかえり
[859.453] (S)shochann: ももち優秀あるか？
[860.138] F1NAL_D: 攻めちだねー
[861.074] 二丁目: なんか普通にかった
[861.378] (S)りむ105: umeWin
[861.630] ~MISSING_COMMENTER_INFO~: 天来の差し替えしうますぎる
[861.941] (S)kumanobed: おお
[862.225] lutz001: ももち復活
[862.667] りりふ: さすがオーナーだな！
[863.320] heishosann: やったね
