[2984.386] alienvomitting: NIZE
[3004.507] ﾃﾄﾗﾝ: トパチャンのどぐらvsももちがこの組み合わせだっけ
[3010.570] とりあえずちさと: 剣見てから前ステだとさすがに避けられない？
[3021.704] junichi1121: ベガとごうきの膝どっちがつおいの？
[3028.865] (S)udonsuki: アックスｗｗｗ
[3031.120] bacchuskou: 執拗なアックスｗ
[3064.186] (S)lllstripesllll: ベガは楽しんでいますか？ホンダの方が強いですか？
[3066.230] booby_one: 結局勝つという
[3077.738] kamite51: こんばんは
[3106.943] とりあえずちさと: 無理だったｗ
[3116.038] akiaki0612: ターン制
[3167.025] booby_one: うま
[3193.178] tekka_cho: やっばかっったー
[3194.908] Tecnomercy: VisLaud
[3195.222] (S)yukiyue23: こんばんは
[3197.526] tabibitox: 後ろにもあたるVリバ優秀やな
[3199.300] mili1000: Vリバサイキョ
[3205.149] haniwa09: 冷静さを欠いてしまったか
