[2804.249] (M)Nightbot: 『ごめん！』『まじか』『ミリミリ！』仲間は全員死んだ。あとは俺だけ。これに勝てば俺たちの優勝までの軌跡が完成する。4人いた敵も、あと1人まで倒した。奇跡なんかじゃない。チームを救うんだ。『ごめん、裏画面いった』俺は“yue”
[2809.650] (S)jsan0q0: ローバウルト？
[2810.915] あぶそら: ブラマ……
[2812.758] sakityosu: でも見えない距離よね
[2815.514] takatakabouzu: ヒトシとブラマw
[2815.764] kusastu: レッドブル何色がおすすめ？
[2818.891] nana877na: マップ理解度の差か
[2821.057] pikomaru777: カラスいるからじゃね？
[2822.213] jarry__boy: ローバのウルトでしょ
[2823.355] ティーパッド: ショップ買った時のやつやろ
[2842.209] rice18amoreman: ビーコンやらバレる要素結構ある
[2845.694] komomo_beans: レッ、ドブルやめてね
[2845.842] ornalds: www
[2854.155] futaromom: プラチナ帯マジで盛れん
[2855.351] komomo_beans: !bad
[2855.459] (M)Nightbot: 「あーもう最悪や・・・」
[2857.834] ちょび_: マップ選べるようにしてほしいよなぁ
[2860.314] (S)yousei_sunstar: 逆にな
[2878.852] 526664: !dog
[2878.982] (M)Nightbot: 名前: あむ 性別: ♀ 犬種: サモエド https://www.twitch.tv/vodkavdk/clip/DirtyCharmingShrimpPeteZarollTie-iIQg3qiIkMQyIxHF
[2882.171] kazu7012: ザコア 
[2892.407] ikuikusumomon: !smile
[2892.522] (M)Nightbot: おいし〜😋yummy🌟感謝👏🏻感謝👏🏻またいっぱい食べたいな💗デリシャッ🎶シャッ🎶シャッ🎶シャッ🎶シャッ🎶シャッ🎶ハッピースマイル👉🏻😆👈🏻
[2905.051] (S)yousei_sunstar: バイオミキサー
[2918.762] kazu7012: こっちはリドルやぞ！！
[2949.986] 柊悠ト: クリプトでみよ
[2957.696] sakityosu: おおお
[2962.974] swingbyblackhole: ごっつぁん
[2964.972] pimpompampun: うみゃーー
[2972.330] hiro_918: ないす
[2991.636] qjac35: ドローン使わない系クリプト？笑
[2994.120] u_cchi: く、くりぷと、、、
[3025.826] swingbyblackhole: ボドカ選手いいアングルだ
[3050.063] ssssssssszx: うま
[3127.613] おっさむ: 二倍トリテ神だった
[3127.807] kana11350811: レイドも一応プレやろw
[3173.548] ornalds: ドローン出しとくだけで旗見えるようになったのクソ快適だわクリプト
[3180.107] れもヲ: ボドカさんってpadでしたっけ
[3187.029] dippzy____: ポイ投げするだけで部隊わかるぞ
[3189.963] masuoi: 投げるだけで近隣部隊の数、わかるぞ
[3197.797] 莉無: レイドはマスターです
[3222.334] masuoi: 意識高い
[3244.584] ryukakugg: 最悪のメンバーって誰ですか？
[3248.503] rice18amoreman: ボドってキーマウはどこまでやった？
[3253.514] 柊悠ト: ドローンで進化とれたらええのになぁ
[3255.098] dippzy____: ブロークンムーン新しい建物全部が全部構造嫌いだわ
[3263.787] シャイボーーーイ: 進化キャッシュってドローンじゃ取れないんですか？
[3272.007] 柊悠ト: とれないね
[3286.982] showwhatman: ドローン長押しせんでも範囲内部隊数確認できへんかった？
[3292.990] golgozola: のせさん一生カービン使ってるイメージある
[3346.661] paset_123: おっ！gmマップやってんねぇ！
[3353.354] onyourmaak: キャッシュはドロンでとれない
[3378.057] 007_221b: 前ほどゴミじゃなくなったと思うわ
[3379.305] まめまろん: dtnmukAifaitoo
[3379.654] aym037: なんでゴミマップっていわれてんの？
[3387.376] u_cchi: 安置まずーい
[3398.704] kaabinbin: 飛ぶっきゃない
[3402.630] takatakabouzu: キャッシュ取れたらちょっと強すぎるよな
[3419.204] Juicewisdom: axeumBlush
[3436.956] swingbyblackhole: うま
[3449.536] rice18amoreman: 102気持ち良すぎ
[3454.418] M4sazy: vodkav2Gotochi
[3455.091] kaabinbin: やるう
[3455.746] swingbyblackhole: vodkav2Angryvdk
[3458.849] ikuikusumomon: !yue
[3458.977] (M)Nightbot: 『ごめん！』『まじか』『ミリミリ！』仲間は全員死んだ。あとは俺だけ。これに勝てば俺たちの優勝までの軌跡が完成する。4人いた敵も、あと1人まで倒した。奇跡なんかじゃない。チームを救うんだ。『ごめん、裏画面いった』俺は“yue”
[3465.811] ちょび_: 数秒のキルリーダー
[3467.466] 526664: さすがっす
[3471.692] hiro_918: vodkav2Angryvdk
[3478.583] towasamasikakatan: vodkav2Angryvdk
[3497.071] swingbyblackhole: CurseLit
[3500.146] towasamasikakatan: vodkav2Toilet
[3503.614] kaabinbin: 🔥
[3538.141] 96nowa: 監視カメラ
[3540.366] golgozola: サイファーみてえ
[3543.866] (S)yousei_sunstar: サイファー
[3575.997] れもヲ: カービン弾持ち悪いよね
[3578.793] u_cchi: ｗｗｗｗ
[3585.503] ornalds: www
[3593.545] ジュリ25: さっき削った最後の１人かな？
[3605.152] (S)yousei_sunstar: いいね
[3660.040] (S)yousei_sunstar: うざ
[3662.985] ryukakugg: ドローンキャラコンw
[3666.032] mickmickmirrr: ｗ
[3671.744] u_cchi: はっや
[3676.980] 526664: ナイス!
[3687.146] れもヲ: ハエw
[3702.722] okosama_luncher: がおっす
[3747.405] カナ口ア: ｗｗｗｗ
[3753.952] ちょび_: ドローンで遊んでたら死ぬところやった
[3754.418] 96nowa: 潰しに来たw
[3754.550] haatsuz: ドーム破壊バンガウルト見てえな
[3765.021] ornalds: ドローンリキャストバカ早いなｗ
[3818.088] u_cchi: カスタムのクリプトおもろそー
[3826.076] (S)jsan0q0: うま
[3826.290] Saturnian_Doseijin: 当てるなぁ
[3827.790] (S)yousei_sunstar: チクチクw
[3830.069] mickmickmirrr: うまいなあ
[3831.071] tonkatu929: ○○、おっは、〜💕😃☀ 😘❗(^_^)おじさんは、さっきお風呂入った、よ、😃✋😄❗(^o^)(^з<)😃♥ 💗😆○○と、お風呂いきた、イナー💗ﾅﾝﾁｬｯﾃ😘(^з<)😃♥ 😚❗😃(^_^)(^o^)
[3839.287] 96nowa: 場所めっちゃいいな
[3875.288] masuoi: ハボつええな
[3876.859] showwhatman: ようやく雑談から良い所見せてくれるってワケ
[3879.290] showwhatman: あ
[3881.922] lemon11231: ボドカちゃんは最高のアイドルだね！彼女の魅力は無限大で、いつもかっこいい姿にキュンキュンしちゃうよ！ボドカちゃん、大好きだよ！(≧∇≦)ﾉ
[3886.126] いたまえ: コピペ失敗すんなｗ
[3886.919] カナ口ア: nyaachoAaaaaa
[3894.220] (S)絶海の孤島: WutFace
[3896.456] カナ口ア: コピペミスんのやめろよｗｗ
[3908.793] miyaotti: WutFace
[3952.563] u_cchi: 上がばかでなければ
[3957.836] masuoi: 中キープしたら、勝手にやり合ってくれるか
[3960.905] すねーーく: muraka8Ase
[3964.594] redkunxxx: redkunxxx subscribed at Tier 1. They've subscribed for 25 months, currently on a 23 month streak! 
[3970.465] mametan0729: 置きドローンしときな
[3981.449] ゼロ波: 対岸のPTにジブいるのやばそう
[3993.046] kusastu: ドローンもエイムアシストあるの？
[3999.953] 96nowa: 定点カメラ
[4036.627] 613null: vodkav2Angryvdk
[4047.265] mametan0729: クリプト2万キルの俺がいうが置きドローンでガラス越しにスキャンだね
[4055.566] joheqm: コントロールキャラほしいー
[4097.163] lemon11231: クリプト未経験の俺が言うがドローン出しとけ
[4099.840] masuoi: nc
[4100.364] angry_hungry19: おおお
[4102.420] fukausa: ナイス！
[4102.524] 96nowa: ナイス
[4104.712] unagyyy: ないすーーー
[4104.801] mickmickmirrr: ないすう
[4104.821] ちょび_: クリプトいいね
[4105.687] taoti: ないすー
[4106.569] サフミ: gg
[4106.788] のぎおくん: GG
[4107.151] らむぽっぷ: vodkav2GG
[4107.285] joheqm: つっよ
[4108.147] pimpompampun: あてすぎーーーー
[4108.153] シュバイソ: vodkav2GG
[4108.599] れもヲ: ないす〜
[4109.244] りべさん: ぱっどさいきょう！！
[4111.645] miushu22: k4senKanisan
[4113.074] hiro_918: karubisFurifurii
[4113.717] だい05: vodkav2GG
