[275.821] 4444446666: そう パニカン前提だし
[276.418] 蝉時雨: 中足から5600くらい出る
[276.988] てべす1103: ケンは柔道弱体化と逃げ竜巻弱体化ぐらい
[277.101] kuroad00: 火力上がったけど集中中は波動打てないのは変わってないからな
[279.101] wrwig: はい
[279.641] gagaga114: 火力を活かす場面作り出す厳しさは変わってない
[279.682] kodue55: ま、まぁ
[280.378] lucky7404: ウメちゃんいつ帰るの？
[282.198] kiton_taichi: ワラキア先生にも聞いてみるのはどうでしょう
[283.026] balthazar000: 大ゴスの影縫いは？
[283.736] 千葉県おっさん: いつ集中すんだよって話だよね
[285.291] Jam10505: どんなご飯たべた？
[289.268] はらくだり: 梅ちゃんリュウやばいよ
[290.924] matsurin7: そうだと思う
[292.341] fikat_0702: 中足波衝撃が連ガだっけ
[293.235] balthazar000: 修正後に触ったんですか？
[295.456] (S)瞬間湯沸かし器: ODカス当たりなくなった
[296.782] valhalla5555: リュウさわります？
[297.211] shellfish55: 大ゴスじゃね
[299.660] tankbba146: 大P＞OD電刃波掌＞SA2溜め2入るのが強い
[299.742] wrwig: 大ゴスに影縫いとはしょうげきが強い
[300.490] amateras04: 集中ストックならちゃんと強キャラ
[300.554] (S)noriyuki3: 連ガ
[302.829] (S)yukikaze083: 大ゴスの影縫いが強い
[304.616] 蝉時雨: 影縫いもかなり良い
[305.107] Jam10505: マゴさんがパチンココンボで絶頂してた
[305.881] lucky7404: 大ゴス何が変わったの？？
[306.135] xdfwjfpf: 大ゴスの影縫いなかなか
[310.218] mugicha_games: 大ゴス強い
[310.812] tabibitox: 大ゴスかなりつよい
[310.859] balthazar000: BOのハショウ削りは結構なもんすよ
[310.863] マギルゥ: 弱昇龍>前ステ>弱ハショウゲきで、投げ間合いプラス2
[311.742] chin_56_: 大吾ス
[311.967] OKG_TWIN: 大ゴスの影縫い効果が高くなって、後ろ下がりで大ゴス避けられ難くなりました
[312.461] wrwig: 大ゴスの影縫いは強い
[313.976] yut7xot8: 大ゴスは影ぬい強い
[319.957] 将門ゴルゴロ: 触りに行ける様になったよね
[320.080] kuroad00: 大ゴスはガードさせやすくなったと思う
[323.109] neon0428: 中足→波掌が気楽に撃ちやすくなった
