[2500.298] あり0221: ウメちゃんが中級者帯までのアドバイスする時そもそも対空しようねってシンプルなことしか言わないから信じて毎日対空練習して出るようなったらそれだけで立ち回りがすげえ楽になった
[2506.728] esutark: 以前のウメチャンは、「2時間しかとれないならそのゲームやりません」と答えてたな
[2514.873] v_harumi_v: ウメちゃん、こんにちはー
[2514.996] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[2525.768] gajpmwtdpw: 金払って質問しているやつの文句を言うな
[2529.379] mart_00_: 別にこっちも義務ではないけど読まれ率高いしね
[2530.294] tabibitox: 治る病気なら治してからがよさそうだがどうなんだろ
[2534.235] 吉田じんぎ: 実際対空してコンボ完走して起き攻めするのが☝️勝率上がる
[2546.287] とも8はる: マスターまで行けてるのすごい
[2551.643] shellfish55: 金払えばいつでも質問していいって流れになっちゃうじゃん
[2554.070] gajpmwtdpw: てかそれでマスター行ってるんか
[2567.469] あさご: 目って生きる活力に直結するからマスターいくのほんとすごいね
[2568.218] echa_pi: ね、マスターすごいよ
[2579.508] HirocoT: おお
[2590.033] オルコッ党員: 映像見ずに少ない時間で何をするのがよいかを聞きたい感じかな
[2600.400] (S)ﾙﾌ: 人は休憩している間に成長してるっていうし、１時間でも良い感じに成長するのかもなぁ
[2610.563] 吉田じんぎ: キンバリーのがSA3の後って地面にスプレー残るんだね。半年経って今気がついた
[2631.470] SuperMaguro: ロートジーマン助けて…
[2632.113] (S)箸くれ: 全盲の方でもやれるような機能備わってるし取り入れてみてもいいかも？
[2633.453] (S)Blue_Mystic_Ninja: Blue_Mystic_Ninja subscribed at Tier 1. They've subscribed for 2 months! 
[2658.950] buturin093: 時間はあるけどプレーが１時間しかできないって感じかな？
[2670.861] shellfish55: ウメちゃんは質より量タイプだからな
[2672.313] Kaoz_One: are u using hitbox now or arcade stick @DaigoTheBeasTV 🤔
[2691.547] (S)箸くれ: マイスティック
[2707.604] あり0221: 目か耳だったか不自由な人がEVOかCC出て活躍してたよね
[2709.229] Moneybagzzzzzzz: hes aways on hitbox
[2728.012] 吉田じんぎ: モーコンの人はマジでつえーらしいな
[2743.028] gajpmwtdpw: 頭の中で攻略考えまくって格ゲー上手くなった人が昔いたんよ
[2751.122] Kaoz_One: @Moneybagzzzzzzz From the sound it makes it seems like you are using an arcade stick
[2760.902] bec118_japan: 運びの発想を下がる権利と捉えてラッシュ見始めたの感動モノよな
[2761.169] tabibitox: 盲目でプレイできるってことは必要な情報を音で出してるってことよね
[2764.580] Poise1010: 今日のザンギエフ予定は？
[2795.703] mobageiskusoge: one day, ONE DAY, people will read the big hitbox overlay in his stream and stop asking that question. today is NOT that day
[2823.356] すいそう: 味変ザンギね
[2825.639] shellfish55: ジェイミーやろ！
[2830.785] Kaoz_One: @mobageiskusoge that's just publicity
[2839.889] gajpmwtdpw: 趣味でもリュウはやらんのかな
[2844.029] 吉田じんぎ: 俺はマリーザとか見たい
[2845.309] (S)箸くれ: ウメジェイミー興味あるよね～
[2847.311] sabamesoni: 大会頑張って
[2850.862] aranami0: hitboxでザンギが茨の道な気がするなｗ
[2853.889] yuhi_N: 年末のfavと年明け大会だもんね
[2860.635] papipopon: FAVカップもあるし
[2863.212] あり0221: 1ヶ月空いちゃったら他のメンツももっと強くなるしね。大変だわ
[2867.351] 仙ニーン: 板ザンさんからご教授されました？
[2868.034] godiva_matsui: 消え去ったAKI
[2868.750] Moneybagzzzzzzz: @Kaoz_One no he shows it to us
[2870.789] すいそう: 年末忙しいね
[2872.392] une3333: まさに「遊んでる暇はない」
[2875.076] SuperMaguro: AKIはもう…
[2879.951] jankboxtt: ディージェイやろう
[2884.746] tabibitox: ここで練習ｗ
[2886.292] potocki1810: ｗｗｗｗ
[2889.086] esutark: 昨日の深夜からの流れは神だった
[2889.773] HirocoT: ｗ
[2893.311] bec118_japan: あまりにも草
[2893.333] sabamesoni: なんでぇ
[2899.806] shellfish55: まぁ指のトレーニングってことで
[2902.451] aranami0: あ
[2904.907] HirocoT: あ
[2905.005] (S)ponponguripon: こんにちはー
[2907.157] v_harumi_v: あら？
[2907.259] とも8はる: スッとザンギに変えたw
[2907.542] すいそう: ノーブルさんｗ
[2908.309] あぱれる君: ！？
[2908.627] SuperMaguro: のーぶるｗｗ
[2908.715] (S)ringo_35: あ
[2909.418] shellfish55: JP堕ち
[2909.659] yuhi_N: のーぶる？
[2910.012] sabamesoni: JP落ちした？
[2910.978] tabibitox: のぶれ・・・
[2911.172] Kaoz_One: @mobageiskusoge Or do you see it using the HyperX Cloud III? pepega
[2911.762] hinhinpp: 堕ちてる
[2913.589] bec118_japan: ルシファー、、、
[2913.644] (S)箸くれ: 顔芸暴発
[2914.492] WhiteShoreDrive: 草
[2914.681] ~MISSING_COMMENTER_INFO~: @mobageiskusoge they also do a lever version you moron.
[2914.924] zyangara2: なぜ笑うんだい？
[2916.490] ビフィダス: www
[2916.592] (S)firefly860130: ん！？
[2916.819] (S)ringo_35: www
[2917.745] aranami0: 闇堕ちしとるやないか！！
[2919.098] (S)sai927: ｗｗｗ
[2923.628] esutark: 簡単にいうとザンギは数時間後やな
[2929.103] teruharu_: 杖持ってるう
[2929.309] 仙ニーン: ノーブル？
[2932.210] mohita_3: 消えなかったけど闇落ちした男
[2934.246] maddy2623: 間違いのないキャラ
[2934.367] jankboxtt: ルーク歳とったな
[2935.799] (S)箸くれ: 飢えの間のJP
[2939.013] すいそう: ストリーマー大会控えてるたいじさんにJPアドバイスしてたからやってるのかな
[2939.566] (S)ﾙﾌ: 人狼や
[2942.407] HirocoT: いいキャラ・・
[2949.555] ともぱい: これがこいつの覚悟か
[2949.820] あり0221: たいじさんに教えるためにやってると見た。立川の負ける姿を楽しみに教えてるらしい
[2952.917] feel2525: もうなりふり構ってられない・・・
[2954.777] shellfish55: インフィニティノーブルからダークネスノーブルに
[2955.322] nikukuisugi333: コールしちゃったか
[2958.081] zyangara2: ルークとJPの２枚持ちは”本気”
[2968.149] aranami0: ｗｗｗ
[2969.842] Kaoz_One: @daveosapl true 
[2971.514] no_name_0521: COる
[2971.889] HirocoT: ｗｗ
[2974.249] prisira: まぁ今の時期色んなキャラに手を出したりしてもいいよね
[2984.713] (S)ﾙﾌ: COるワロタ
[3001.540] ~MISSING_COMMENTER_INFO~: @Kaoz_One 
[3019.334] 吉田じんぎ: 昇竜…
[3020.247] tabibitox: りゅうきち「昇竜だせや」
[3025.809] (S)ponponguripon: すでに強いなあ
[3080.851] (S)箸くれ: ほんまこいつ
[3089.925] あり0221: 端やりたい放題やなw
[3096.921] yut7xot8: ノーブルのヒール感いいね
[3097.044] すいそう: ｗｗｗｗｗ
[3098.071] SuperMaguro: 柔道です
[3098.635] 108CALSS: 草
[3099.327] (S)ﾙﾌ: ｗｗｗ
[3099.453] nikukuisugi333: ｗｗｗ
[3099.806] ヨコグシ: w
[3100.380] HirocoT: お互い投げ率ｗ
[3100.686] ゆきりす: wwwww
[3101.097] (S)firefly860130: www
[3102.055] (S)ponponguripon: 何回投げた？
[3103.004] papipopon: やはり柔道
[3103.397] gajpmwtdpw: 投げキャラ？
[3103.612] (S)ちぇすとです: w
[3104.083] あり0221: クソゲーやんw
[3105.097] ぺりんご: 柔道の年季が違うw
[3105.101] とも8はる: 嘘でしょw
[3105.745] shellfish55: っぱ柔道よ
[3106.095] イケ_: なぜ笑うんだい？
[3106.821] WhiteShoreDrive: 闇対決ｗ
[3114.280] (S)箸くれ: 投げは5回までセーフ
[3119.133] すいそう: 「JPには柔道です」
[3119.268] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[3119.907] esutark: ウメちゃんは瞬間接着剤じゃなくセメダインで城作りそう
[3133.329] musashiKAI: 柔道 
[3134.447] tabibitox: もれた
[3137.112] あり0221: JP酷いなと思ったらケンも酷かったでござる
[3143.635] (S)箸くれ: JP使っててキャラ変えた人っているっけｗ
[3149.869] (S)ちぇすとです: 1200が無条件で入っていく
[3154.788] (S)sonic_chop: がんばれー
[3175.072] (S)ponponguripon: ポイントよこせー
[3176.439] tabibitox: なおくんはJPから変えた。スト６上手くならないからだそうな
[3185.717] たかんこ: 最近JPよりリリーの方がキツい
[3194.665] bec118_japan: ストリーマーだけどササティックも変えた
[3201.362] prisira: 本格的に変えるなら調整後だろうね
[3222.925] (S)箸くれ: ささちっく
[3223.902] prisira: 後はgo１が本田→ルーク→春かね
