[1835.258] ぬーーん: スレイヤーならこんくらい火力あってほしいけど
[1837.606] _霧切_: パイル一回で壁割れるのってコンボするとヤバいからじゃないのか
[1841.866] supermonkeytm: これもしかしてステキャンsマッパも裏当てできるんじゃ・・・
[1846.090] (S)鉄板: いろんなところからパイル裏当ていけるしね
[1850.921] zukkoketa: 2hsカウンターとか現実的すぎるのからこんな減るのすごいよなぁ
[1905.928] showwhatman: 信頼と実績の2HSカウンターヒット
[1932.979] れなまる〇: アークの裏当てで思い出すのはp4u番長の十文字裏当て
[1942.844] kanameape: あっギル要素
[1950.745] konaoh: 近Sch>溜めダスト>近S>Pパイルも裏当てですねぇ
[1964.488] kinnmugi: モップも追加してしまおう
[1966.801] 豆の木ジャック: バ火力
[1985.641] tosihumi777: うおお
[1991.795] juki_gb0122: なんか本来高くなるべきコマ投げ後よりも、近Schの方が高くなってるとこ見ると訝しんでしまう
[2026.844] (S)鉄板: あっ！
[2032.463] showwhatman: あ
[2036.118] juno0220: あっ！！
[2036.722] モドキ: えー
[2038.559] 夏猫ソル: ダウン中でもいけるんの？
[2045.294] showwhatman: 緊急動画
[2051.224] juki_gb0122: あらぁ
[2064.896] eag1e2003: 結構やりたい放題
[2077.302] showwhatman: 伸びる～
[2078.179] supermonkeytm: すごい
[2082.255] ぷーむん: パイルぶっぱ夢あるねぇ
[2083.683] モドキ: 画面はじから壁割り？
[2085.777] juki_gb0122: スッパもだいぶたわけてんなぁ
[2089.171] showwhatman: 伸びるし割れるしほんま
[2091.805] juno0220: 700円になります
[2092.859] 夏猫ソル: だいぶ減るなぁ
[2121.269] whiteface811: なんならパイルカウンターステキャンマッパいけます
[2140.722] owapa135: バクステ子の見た目のままで弱くなってるの脳みそバグりません？
[2152.851] trick0918: どぐにゃんステキャンコマ投げって安定する？
[2154.546] griffinmask: ワザップかぁ？
[2159.993] shoji_jou: ユニバース限定だったとか？
[2163.230] showwhatman: 端は無理か
[2165.877] whiteface811: 端は無理か
