[263.654] (S)leonanans: 3回ぐらいデスマいってからでもええぞ
[268.124] ~MISSING_COMMENTER_INFO~: エイムあっためろ
[275.234] (S)aixxx35: ほえ〜
[276.202] (S)えるむえるむ: 今日ずっとVALOのアーカイブ見てたから嬉しすぎる
[280.173] (S)fmcgj: www
[282.390] (S)ピーナッツ饅頭: hiirag17Bbb
[282.657] (S)イヌマツ: オペきつそう
[283.955] (S)syunminnn: 配信ありがとー！
[284.704] (S)08ryyyyy: www
[284.757] (S)hotatechang55: www
[287.370] (S)bubu_0830: www
[289.183] dada_sama_: スト６ランク<=>ヴァロ 交互にやるか
[291.354] (S)aixxx35: それはやばすぎない？w
[292.623] ~MISSING_COMMENTER_INFO~: ひっくw
[293.069] (S)keitokurara: www
[294.001] (S)raamen014: イモいけんのか
[296.220] (S)saba_marine: 仕上がってた時はどれぐらいなんだ
[300.196] (S)_ひなこ: おはよ〜
[302.730] (S)jakkaru_127: hiirag17Aaa
[305.280] (S)8cotton8: こんばんは！配信うれしい！
[305.589] (S)kuro_5417: hiirag17Bbb
[306.139] (S)bubu_0830: こうまいさんめちゃめちゃローじゃなかった？
[308.850] (S)v1ster1a: めずらっし
[312.665] (S)ドリアン_: そろそろ勝つ側に投票させたやつにうまい思いさせてくれ
[316.994] (S)あんパン旨い: 賭け来るか？
[318.112] (S)aixxx35: 高い感度も見ててかっこいいよね
[318.377] (S)ycmh123456: きたあ！
[319.698] ko__yabo624: 芋イケーー
[319.969] (S)芋麦米: hiirag17Bbb
[319.970] (S)ponpondango: 芋待ってます
[322.820] (S)hotatechang55: ハイだなー
[322.840] (S)nairon66: スミス目指そ
[324.228] (S)saba_marine: わかりやすい
[325.092] (S)08ryyyyy: hiirag17Nice
[327.467] (S)rio__0317: rio__0317 subscribed at Tier 1. 
[328.143] (S)jakkaru_127: hiirag17Aaa
[328.466] (S)me_me_____: へぇ
[331.159] (S)v1ster1a: hiirag17Fight
[336.465] (S)ycmh123456: 賭けクカさい
[338.601] (S)gyunyuma: 芋待ってる
[338.745] (S)tetoteto_3: こん!
[339.294] (S)nanonanoo2: つ旦
[339.458] (S)moepipipi215: ヴァロ賭博したい〜
[340.244] (S)raamen014: 昔話おじさん
[341.058] (S)aixxx35: ないす
[341.331] (S)信仰心: hiirag17Fight
[342.493] (S)きのころ: 負けに賭けると勝っても嬉しい負けてもポイント増えるのでおすすめ 
[343.475] ruza4649: ストグラ休みの時に配信助かる
[344.489] (S)siretoko6688: ツルギジェットすこ
[345.236] (S)ai_xxx_: 賭けは
[345.908] (S)クキ91: いーねー
[347.094] (S)deltanonium: ムラゲピンチ！ 
[347.636] (S)omarukun_96: hiirag17Nice
[348.471] (S)aixxx35: お
[348.704] (S)popopo_niinoo: おー！
[349.346] (S)jakkaru_127: お
[349.348] (S)nemuou: お
[349.722] (S)クキ91: お
[350.745] (S)ycmh123456: お
[351.128] hitu_non: おー
[352.035] (S)るぁ__: お
[352.839] (S)bubu_0830: お
[352.935] (S)tetoteto_3: お
[353.043] (S)hotatechang55: お
[353.581] (S)てん_10_: お
[353.837] (S)ぷくてん: お
[354.134] (S)v1ster1a: ちゃー
[355.298] (S)zenith_ar: hiirag17Bbb
[355.563] (S)_ひなこ: ツルギ割とミドルなイメージ
[355.800] (S)tonkun__0624: お
[355.871] (S)08ryyyyy: CVええやん
[356.750] (S)tiger6332: お
[356.794] (S)nnshrk: しごでき
[356.944] (S)odajyu: お
[358.746] (S)v1ster1a: すー
[360.578] しまじろうメス: 焦げ付いたフォーセイクイン
[361.331] (S)ri0tqn: はや
[361.479] (S)e_noje: 流石大将
[362.056] (S)tokitokimiru: えwwww
[364.031] (S)Haru_Hanami: uni100
[365.313] (S)waiwaiwai7: valo CRカップかv最強ないかなあ
[365.410] ~MISSING_COMMENTER_INFO~: やるやん
[365.571] (S)ぷくてん: 光か？
[365.584] (S)moteamotea: しごでき
[365.584] (S)umami12: 光か
[366.356] (S)jin_gai: あざす
[366.526] (S)08ryyyyy: VCありあち」
[367.138] (S)odajyu: 光か！
[367.826] (S)me_me_____: キューピー3分助かる
[368.376] (S)popopo_niinoo: 👏👏👏
[368.819] (S)miya_1323: 光来たか！？
[370.230] ruirui_1208: こんばんは
[370.496] (S)keitokurara: 3分クッキングみたいなw
[370.910] (S)raamen014: いいね
[372.829] (S)hotatechang55: 3分クッキング
[373.397] (S)bubu_0830: そしてツルギは消えます
[374.148] (S)aixxx35: 光かな？
[375.219] (S)siretoko6688: ツルギ消えてて草
[375.792] (S)odekocyan: 賭けさせてくれぇ
[376.231] (S)左久良深琴: きゅーぴー
[378.838] yamatin3141592: 3分クッキングやめてね 
[379.499] (S)miya_1323: 賭けをやれ！！！！！！！！！！！！！！！！
[379.776] ~MISSING_COMMENTER_INFO~: 光こい
[381.676] (S)gyunyuma: 色々消えてるw
[381.718] (S)grampa029: hiirag17Fight
[382.165] (S)tetoteto_3: 3分クッキングw
[385.460] (S)me_me_____: さよなら…
[385.737] ko__yabo624: つるぎとマップ隠しが消えたぞ
[385.773] (S)tiger6332: ツルギ消えてる
[386.376] (S)zassou1119: 珍し月曜配信
[387.947] (S)deltanonium: 賭けｸｶさい
[388.472] tairu167: がんばれー
[389.842] (S)きゅくま: マップうつってる
[391.964] (S)v1ster1a: ﾃﾚﾚﾚﾝﾚﾝﾚﾝ,ﾃﾚﾚﾚﾝﾚﾝﾚﾝ
[392.271] (S)tiger6332: マップも消えたぞ
[392.295] (S)じんじゃーえーる3: よくその音量でできるな
[393.541] (S)ai_xxx_: ツルギおらんよ
[394.754] (S)るぁ__: ツルギとマップ隠しが消えましたw
[406.475] (S)deltanonium: ヨルウルトやめてね
[411.339] (S)takec1230: ないす
[414.333] (S)me_me_____: 味方つえ
[416.401] (S)08ryyyyy: どま
[417.829] (S)keitokurara: おかえり
[418.137] (S)min__109: マップ隠しもツルギも消えたww
[419.142] ko__yabo624: ないす
[422.009] (S)あやたん404: ほーわー
[422.850] (S)cucumber_q3: Cheer100
[422.904] (S)きのころ: なんかゲーム音小さい？
[423.125] (S)kaepom: 今来た、これはどゆことwwww
[424.001] (S)tonkun__0624: ないす
[424.222] ruza4649: マップ隠す理由ってなんですか
[426.570] (S)信仰心: VCつけてくれるのいい
[427.281] (S)min__109: おかえり
[431.753] (S)v1ster1a: フンフンフンフンフンフン
[432.509] (S)8cotton8: 画面ないすー
[433.184] (S)tiger6332: 音量小さい
[433.309] (S)ゆこゆ: 回線つよw
[434.065] ~MISSING_COMMENTER_INFO~: あつ
[436.379] (S)_ひなこ: アツすぎ
