[261.355] (S)すれいまん: ベーシストがまずやる楽曲はスタンドバイミーとかなんとか
[261.632] (S)メトロシティの研究者: ヒトボの運指をうまくするためにベース習うようです
[263.234] flamanflamingo: メンオジ助けて！
[263.444] 金田です: 後ろの方は石川典行さんですか？
[263.450] TUBE_MAN: ストラップつけて立とう
[263.514] k4sugano: 後ろ下がればどうでしょう
[264.515] ~MISSING_COMMENTER_INFO~: www
[265.622] sahaha213: daigo the bassist
[265.748] v_harumi_v: おお
[266.540] rt340: このベースを改造して大会出ようw
[268.361] nkmr0518: こくヌキストリートファイターやろう
[268.604] takahashiseigi: あれ、もう一人おられる？
[268.833] (S)血塗られたトマト: 売れなかったバンドマンの雰囲気ある
[269.258] tsukikage_saga: おお
[270.362] (S)thmelagi: ミートさんスマイルください
[270.541] makurag: 倚子を高く出来ないかな
[271.011] jjjmo: ダイゴ・ザ・ベーシスト
[271.532] (S)しゃくれ: 135万のベースすげえええ
[271.677] (S)fahmy0825: Play that Ken BGM Daigo!
[271.827] sh1zuku716: 課題曲
[271.908] sdy_hs: さがれば？
[272.564] (S)ketsu_debris: それは楽しみだわw
[272.817] dai920: いいねぇ
[272.969] (S)jitaabagu: 髭がいい感じに合ってる
[273.226] アザミノ: おおーいいですね
[273.387] (S)mm2351: ケンのBGM課題曲いいね
[273.947] 憂う者の弟子: でんででんでん
[274.583] roi3s: 独学でやるの？
[275.071] 泣き虫サクラ: まじで
[275.673] (S)aransia0624: ウメハラさんを久しぶりに拝見できて嬉しいですよ
[277.321] kiichang: 入門のジングル弾いてよ
[277.353] (S)mart_00_: 課題曲ｗｗｗ
[277.580] icyblue1985: ミートさんケンのＢＧＭ弾いて！
[278.097] ちぇんぷる: ええやんええやん
[280.139] りょう太: 歌いながら戦うのね
[280.653] m_k_style: 後ろにさがってみては
[281.155] (S)right_8: まずはミートさんのお手本を
[281.240] heterotopia3: 6？いやいや2でしょ
[281.249] _ピート_: ヒトボで鍛えた左手が炸裂するかぁ
[284.571] rt340: 旧テーマもいいよ！
[285.645] (S)gorogorogorn: 薬指に神経通るといいね
[286.694] mukimukipanda: 格ゲーアイドルの曲を弾こう
