[2077.154] momonga0125: wwwwwwwwww
[2080.614] sinkidayo: バラしていいのかそれw
[2086.922] 世界ノ前田: ｗｗｗｗｗ
[2095.690] sinkidayo: レペゼンのファン層キレイだろうしなあ
[2123.672] なっしー0812: 福岡の女の子みんな好みって言ってたな
[2123.857] ssssssssszx: ？！？！
[2128.390] bonheihe: カップ麺食ってるか？
[2130.800] srtdehew: BloodTrail
[2135.726] silva518: 鼻かんでる
[2154.275] sun4789: きたね
[2209.877] じぃじぃじぃ: おかえりー
[2221.468] nakatsu___: 定点またできたらやるんでよろしくです！
[2235.582] じぃじぃじぃ: ど、いストーリー
[2238.624] kanayakana: これどこ？
[2241.169] ika_no_siokara: 土井ストーリー！？
[2253.232] now_now06: 皆疲労困憊じゃん
[2256.605] (S)yacha17: ありがとねぇ 
[2268.394] じぃじぃじぃ: スタンミが場所Xでポストしてたよ
[2323.623] (S)うえぽんぬ: それはそうｗ
[2343.814] hiluk0: !member
[2344.016] (M)Nightbot: MOTHER3さん, けんきさん, スタンミさん
[2376.829] じぃじぃじぃ: おつかれボド
[2412.078] じぃじぃじぃ: 結構女の子居るね
[2419.014] (S)激ローメタモン: けんきマネだ 
[2428.059] AKUTANNNN: けんきのマネかわいいな
[2429.965] rx_kazu: あれ？ピケは？
[2440.493] jgdwu: アグエロおらんのか
[2448.495] you_lose10969: その交代ルール何気にいいね
[2453.221] takaokokubo: けんきマネ元気やな
[2491.093] donguri___5656: 体力すごいな
[2500.039] tantan29f: ピケいる？
[2510.107] iii11111iiii: 純は
[2513.706] pikuminn2B: おにやーいるか？
[2519.359] なっしー0812: すげー
[2529.882] aliseisgot: 釈迦ちゃいるの？
[2534.959] じぃじぃじぃ: !member
[2535.076] (M)Nightbot: MOTHER3さん, けんきさん, スタンミさん
[2544.057] じぃじぃじぃ: 後から高木がくるっぽいけど
[2548.459] fqm9: これ面白い？
[2550.063] takaokokubo: 釈迦さんなんてやったら足折れちゃうよ
[2553.045] hstrls: ボドカ、リフティング見せて
[2562.725] pikuminn2B: 親知らずどこー？
[2563.491] 麦とホップ: おい！けんきの配信でマネの吐息聞けるぞ！
[2594.731] rx_kazu: いいぞいいぞ～！！もっとやれ～！！！
[2598.906] じぃじぃじぃ: 野次ｗ
[2608.197] ssssssssszx: NotLikeThis
[2613.146] you_lose10969: wwwww
[2659.886] じぃじぃじぃ: wwwwww
[2667.812] 辛めのジョニィ: ガヤｗ
[2669.368] 世界ノ前田: うっまｗ
[2682.730] rx_kazu: 走れやおらぁ～！！！
[2700.059] s2kotoras2: えぇめっちゃ楽しそう！！
[2719.614] you_lose10969: 引き際も弁えてるガヤおもろい
[2725.784] kencan7: なにこれどこでやりよん？
[2749.851] donguri___5656: これ終わった後ご飯配信ある？
[2783.072] aliseisgot: この時間に配信見てる人は一体にしてるんや
[2792.604] fqm9: 午後から学校
[2799.544] じぃじぃじぃ: 夕方勤やね
[2801.365] donguri___5656: 午後から大学や
[2819.800] kencan7: 仕事中
[2833.197] 花葉田シイ: ニートやね
[2834.943] じぃじぃじぃ: BibleThump
[2838.661] そるてぃーらいち: コロナ 出席停止期間中
[2840.486] Simousago: 平日休みの仕事もあるんやで
[2840.502] chicken6910: !member
[2840.618] (M)Nightbot: MOTHER3さん, けんきさん, スタンミさん
[2841.526] vyd2: 職場のトイレで見てます
[2856.138] らた茶湯: www
[2857.945] fuuga1: FallCry
[2869.873] hstrls: ボドカリフティング見せて
[2906.410] kencan7: さっかーやりてぇ
[2940.886] 辛めのジョニィ: みんな体力あるな
[2987.100] silva518: 保健室の妖精
[2997.299] じぃじぃじぃ: 妖精何名か居たんか
[3016.591] tmoil677: メンバーってわかる人いる？
[3025.672] じぃじぃじぃ: 会話終わってるｗ
[3031.321] silva518: マザーけんきスタンミ
[3035.572] tmoil677: あざす
[3035.798] tempest0999: これキングスリーグ？
[3127.045] ナスカアスカ: 三人で試合
[3146.878] ssssssssszx: www
[3173.495] yonagali899: 何人いるの？
[3216.538] yrd8901: おにやいないの？
[3219.192] じぃじぃじぃ: スタンミめっちゃ責められてワロタ
[3235.797] じぃじぃじぃ: おにやは抜歯だよ
[3244.966] kumamayu00: 来年のキングスリーグ目指してるんですか？
[3282.075] 倉内: はんぜうめちゃくちゃ行きたがってたな
[3287.613] 麦とホップ: サッカーNGってなんだよw
[3298.123] yrd8901: あいつ脚トレしないし
[3361.255] (S)rushhikakinzz: だから野球デブが多いだろ
[3389.009] (S)激ローメタモン: お！ボドうつしてくれ！
[3431.897] 麦とホップ: バドミントンのシングルスマジえぐい
[3457.900] kakemika: フェイント
[3470.213] you_lose10969: けんきタフやな
[3493.235] ケルゲル: 誰かの彼女か？
[3501.196] silva518: ZETAスタッフ
[3501.665] bonheihe: お、行くのかボド？
[3507.610] you_lose10969: がんばれ
[3549.940] じぃじぃじぃ: 卵あつめなきゃ…
[3567.124] キューブってる: 君らは園児
[3569.536] lily3nari: DinoDance
[3574.621] hstrls: ボドカリフティング見せて
[3600.909] らた茶湯: 高速シザース見せて
[3610.593] キューブってる: いける
[3611.876] donguri___5656: www
[3614.430] 7tk4: free4sDance
[3620.495] andromeda_3sei: ボド♡
[3624.258] you_lose10969: かなり走ってたもんな
[3625.170] angry_hungry19: 今日帰って配信できなさそう
[3632.948] ケルゲル: 画質落ちたぞ
[3635.490] キューブってる: エラシコやろう
[3636.902] puruo0715: シャトルランもっといけてたっしょ
[3637.479] donguri___5656: 見やすい
[3637.687] じぃじぃじぃ: でも画質がなんか…
[3646.099] じぃじぃじぃ: あ直ったかな
[3663.496] らた茶湯: wwww
[3665.843] you_lose10969: ww
[3676.480] じぃじぃじぃ: けんき、呼び出し
[3689.584] (S)Quu_o: うめー
[3706.754] ikki_oga: ボドサッカーやってた？
[3715.821] いたまえ: ｗｗｗ
[3718.974] しっぷーー: ブラジルの強豪選手っぽい
[3721.195] いたまえ: そのユニフォームもしかして…
[3725.169] らた茶湯: スパイクええやーん
[3726.940] hstrls: 南米系意識してる？
[3727.621] あーる14: ニューバランス好きなの？
[3741.237] いたまえ: ｗｗｗｗ
[3744.744] sumo77758: リフティングしてくれ
[3747.771] キューブってる: www
[3749.184] らた茶湯: ユニと合ってる
[3750.829] bonheihe: そのスパイク遠目でもvdkって分かりやすいわ
[3750.955] しっぷーー: 曇ってるからちょーどいいね 天気
[3754.756] いたまえ: スパイクはやっぱナイキだよな…。
[3756.191] oniyanma08: 色わかりやすくてありがたい
[3756.737] まーぬ: マザーでかくね？
[3764.742] じぃじぃじぃ: 気遣いあざす
[3771.609] しっぷーー: Motherさん、近づいてこないで
[3777.146] いたまえ: おー
[3780.910] donguri___5656: すご
[3788.009] らた茶湯: マザー意外にうまいw
[3789.416] sumo77758: マザーの方ができる
[3809.090] pomupomu83: うま
[3813.570] bonheihe: なんか上手くて草
[3814.507] しっぷーー: さすがブラジル代表
[3828.563] ssssssssszx: うまw
[3830.695] 太陽神老处女: まざーさんうまいね
[3849.739] (S)らた茶湯: らた茶湯 subscribed with Prime. They've subscribed for 6 months! 
[3850.645] nemuikamo_: うまー
[3853.837] angry_hungry19: おおー
[3854.156] しっぷーー: 膝けっこうムズい
[3854.313] 花葉田シイ: TwitchConHYPE
[3861.034] yakisobaflasco: うま
[3863.857] まーぬ: マザー引退後のロナウドみたいな体系で草
[3869.997] キューブってる: 案外いけるね
[3873.870] piyo_saku: ボドガール？
[3874.142] こさかまる: ぼどめっちゃサッカーやってそう
[3874.700] honiiiiichan: ナスリ
[3875.981] ikki_oga: 二人とも結構うまいなw
[3897.790] umeharaha: した
[3905.329] sigure111: ヒールリフトむずいよね
[3907.908] piyo_saku: 懐かしい
[3908.709] umeharaha: 壁下痢
[3936.562] haru49184845: !member
[3936.664] (M)Nightbot: MOTHER3さん, けんきさん, スタンミさん
[3952.930] ponyonosioyaki_: sekiRun
[3960.459] umeharaha: すみせんが永谷園で
[3966.451] mitarashidanshi: 大車輪やってくれ
[3982.453] (S)らた茶湯: バスケの応援なのよw
[3986.191] yuki_yuuki_ks: エラシコやってみて
[3989.174] rx_kazu: じじいがよ
[3995.241] piyo_saku: うぉwフェンス
[4005.886] しっぷーー: シャトルランやったの！？やば
[4006.895] ssssssssszx: DinoDance
[4014.636] umeharaha: すみませんが。木曜日で
[4015.876] _ばるはら_: ボールどんぐらい頭に乗せてられる？
[4017.378] ドラゴンフィッシュブロー: うまぶるのやめよう
[4023.570] (S)激ローメタモン: ボール遊びボド 
[4027.318] hstrls: ボール上にあげて首に乗せる奴やって
[4033.198] shakafpsnotorik: kiazmbHatiware
[4038.081] 美味しい肉食べたい: まざさんの足ボドの3倍くらいあるやん
[4047.014] samontaro: おっさん達息上がってて草
[4057.194] donguri___5656: ボドが一番体力あると思ってた
[4059.458] umeharaha: どうした。本絞り
[4085.391] nabeo777: キングスリーグですか？
[4101.405] ssssssssszx: そうですよ
[4130.284] umeharaha: 別に気にしなくてもよかったのにとは
[4134.969] osushi0524: これキングスリーグの予選らしい
[4155.422] yuki_yuuki_ks: キングスリーグ日本で流行らんかな
[4162.285] (S)らた茶湯: www
[4166.241] daiahon: ww
[4179.771] umeharaha: ４点目。森先輩からのおごり
[4231.464] Ram_o0: ボドってサッカー経験者？
[4238.573] ikatyan722: あっつそう
[4240.276] (S)らた茶湯: 岸さんまじうまい
[4242.508] umeharaha: すみあせん。ニコニコこわれれてました
[4247.912] piyo_saku: 高木？
[4255.885] ponyonosioyaki_: ええw
[4256.730] (S)warawanaiman: シスは？
[4257.421] (S)激ローメタモン: かみーとがちうまいよ
[4258.206] なっしー0812: はんじょうは運動神経良さそう
[4259.784] (S)らた茶湯: まじかすっご
[4262.208] (S)うえぽんぬ: まじか
[4265.809] ssssssssszx: 鹿島ユースとかじゃなかった？
[4279.529] ponyonosioyaki_: すご
[4280.013] ぐちた: すげー
[4282.040] donguri___5656: やば
[4282.542] soumen0113: シスコもガチやったよな
[4287.942] osushi0524: ユースはヤバイ
[4296.269] silva518: そんなスポーツマンがどうして配信を
