[708.395] yuipinosuke: ソルダムずっと勝って欲しい
[709.777] zabu0114: 配信試合いつ？
[710.226] tumblerrrrrrr: otいってたよな
[710.908] marusann122: リドル全部2-0で勝ってる
[713.115] pasta200468: 1年経たずに上がってるの普通にすごいけどな
[713.943] liberty_ne: コリアンジェット最強すぎる
[714.405] らむぽっぷ: メインもほぼ行けるっしょ
[715.136] gedoyama: FAV落ちたな
[715.617] ししゃもちゃーはん: ソルダムさまさまや
[715.726] nl4www1: 明日は配信ないよね？
[716.922] キューブってる: 配信楽しみ
[717.910] maiku111: ソルダムjettかーComebackしてよかった；；
[717.975] シンラくん: げきあつ
[718.711] tanakagamin: 配信試合いつからですか？
[720.135] ~MISSING_COMMENTER_INFO~: スプ2優勝しないとアセンション挑戦権もらえないよね
[720.146] senseihangeki12: 内容見たらスプリット怖かったね
[720.640] kevin_17yukke: vs FLがとにかく見たい
[721.363] ビーグル: OTのソルダムえぐいね
[721.656] takatakabouzu: OTあったしね
[722.369] mond0o0o: FAVみてるとまじ良かったと思う
[722.575] pika0427: スプリットNOEZペースでしたね
[722.770] furin4s: ボドウォチパあるよね？
[724.530] ankooisii_1: 明日から配信なんでないんやろ
[724.742] tabuar: fav....
[725.340] PecSmil901: 観戦してたのか
[731.763] fine2980: ソルダム救ったな最後
[731.843] yk177228: favほんま
[733.332] syotowa0414: ウォ地パはあるのか？
[733.345] 08seryu: てかfennelやばいやろメンツ
[734.446] (S)ミランおじ: 疲れで目にクマ出来てない？
[734.665] itigodaihuku2525: それでも２－０なんよな
[737.122] yuipinosuke: fav落ちちゃったのは悲しいけど
[737.834] tourimonp: ヴァロ部門どのチームと戦ってるのみたい？
[738.598] from_9t: 9-12からまくったの凄すぎ
[739.268] もんぶーる: noezもベテランよね
[739.487] ggotsu: 配信試合はも一個先？
[739.687] otamaSo: 🐮👍
[740.011] yay0i_p: ソルダムのクリップ見たけど相手酷過ぎやろw
[740.915] pika0427: つかsp1うんこちゃんsp2ふぉいっていうストリーマー続きw
[742.392] PERIKAN00: favまた負けたんか
[744.201] rix7979: ボド寝てる？
[747.708] シオン221: korean jett
[748.838] (S)sugarrro: Riddleピストル落としてセカンド取るの多くね？
[748.968] らりあぁ: がきんちょは配信の方がなんか強そう
[751.357] makiu0203: 1マップ目ぼろ勝ちやなかった？
[756.681] yay0i_p: 13-2 14-12
[759.267] twitch_food: そゆことね
[760.665] pasta200468: スプリットスコア見てる感じ危なそうやったね
[761.577] クロノジェネツス: スプリットがな、、
[762.319] ruhq1234: 全然１－２もありえた
[762.978] 08seryu: 2マップ目勝ちきれてよかった
[768.241] mysk77: 相手もつえーしな
[770.973] maiku111: つよくない...?
[776.450] fine2980: MRG vs RIDいつになったら見れるんや
[776.758] liberty_ne: やつーか強かった一マップ目
[777.459] (S)なかたけ11: 最初は配信ないんやっけ？
[778.971] tabuar: seoldam今日ノッてたっぽいね
[779.175] ggotsu: 配信試合はvarrelからか
[782.887] yk177228: メインステージ行って欲しいなー
[789.585] PERIKAN00: varrelに勝たなきゃいけないのか
[790.497] らりあぁ: 初戦はないのか
[792.450] (S)本田翼のファン: こんばんわー
[800.932] kusastu: ばれる！？
[801.854] とうもころし_: ばんなん抜けたんだっけ？
[804.048] tabuar: vrl強いからな
