[1620.587] (S)hoshi_boshi_0: えいた「引き分けにしないかダイゴ！」
[1621.440] maddy2623: さすがに？
[1624.848] utimomo_t: うめちゃんニタニタしすぎですwww
[1628.145] esutark: 波動に合わせるインパクト
[1632.603] keigunnoikkaku: えいたには負けないで欲しいねえ
[1632.743] (M)Moobot: ＊最大120時間＊ HyperX Cloud III ワイヤレス → https://hyperx.gg/45bt2SJ 1回の充電で映画見放題だな
[1634.958] prisira: きたねえ昇竜ｗｗｗ
[1636.987] v_harumi_v: ｗｗｗ
[1638.951] jamxqc: ＷＷＷＷ
[1638.968] v_harumi_v: ないすー
[1639.434] hoemin247: wwww
[1639.555] moricocoa: インパクト重ね好きだねぇ
[1640.062] gorilla_osaka: えいた感満載
[1640.429] esutark: 強え
[1640.647] ぢょごぢゃん: ww
[1642.147] hal0302: パナしからのパナし、流石です
[1642.702] syugi3: カッキ―ン
[1643.188] (S)hoshi_boshi_0: ニッコニコ
[1643.832] ohyoi2002: 無茶苦茶してくんなw
[1645.032] (S)ましゅダヨ: 楽しそううめちゃんw
[1645.050] 157655: 急に解放された
[1645.201] inago211: 梅さん草なんか生やしてどうしたんすか
[1645.768] stomachbb: インパクト使い過ぎたー
[1648.773] kobetaf: インパクトこすりやがってよぉｗ
[1651.025] daisan777: ニコニコやんか！
[1651.940] isekai7153: どっちがモダン人間かって話
[1652.139] no_name__yet: えいたらしさでてきた
[1654.116] (S)ましゅダヨ: にっこぉー！！！
[1657.053] nanakusan793: インパクト人間
[1659.114] tukiusagi96: えいたー？
[1659.571] rrr8628rrr: ニヤニヤ
[1660.194] prisira: やはり邪神・・・
[1673.033] Ceciltaisa: 年季が違うんだよぉ
[1705.094] syugi3: おおー
[1708.792] jamxqc: ライバルｗｗ
[1713.700] tukiusagi96: やるねぇ
[1720.428] (S)おいしいごはん_: 切り抜き確定
[1730.796] esutark: んげおお
[1739.340] hal0302: えいた、実際強いのにここまで汚さ出せるのある意味才能では
[1743.518] 157655: わお
[1744.120] maddy2623: えぇ～？
[1746.769] syugi3: やーる
[1747.247] v_harumi_v: おみごとー！
[1747.351] moricocoa: 連ガつくらんかー
[1748.256] hotokemax: wwwww
[1748.572] esutark: はい読んでました
[1749.988] prisira: 俺とお前は同じレベルだそうです（遺言
[1750.586] (S)kimi_3_: これはクラシック人間
[1751.785] hoemin247: えいたきゅーーーーん
[1753.407] (S)hoshi_boshi_0: ナイスです
[1753.802] (S)f_black: 笑うわこんなんｗ
[1754.072] kobetaf: えいた君死んじゃった・・・
[1754.498] Nishi_Poteto: モダハラ
[1754.686] utimomo_t: ウメスマイル
[1754.893] hal0302: 邪神討伐
[1755.816] sonic_chop: 流石
[1757.379] (S)ましゅダヨ: えいたのMPを、吸ってやろうかぁ！
[1759.171] v_harumi_v: 面白かったー！
[1760.367] fbhjkl: SeemsGood
[1761.550] lesame: 汚え悲鳴だ
[1764.561] nanakusan793: モダン人間よりモダンじゃない？
[1765.241] (S)えいた: 強くなったじゃん
[1765.462] (S)あぱれる君: umeYay
[1769.810] rrr8628rrr: 本当のモダン人間はうめちゃんだった……
[1770.114] isekai7153: 上から
[1771.292] keigunnoikkaku: 成敗！
[1771.315] sonic_chop: ｗｗｗ
[1772.293] (S)hiro_chan: 不遜
[1772.437] (S)ましゅダヨ: さすがです
[1772.761] danny_love_danny: MPｳﾏｳﾏ
[1773.807] apexxxgamer: hankyungPepe
[1774.832] (S)箸くれ: ?
[1775.338] pochichan11: umeCossack
[1775.380] アヘ丸: w
[1778.750] (S)おいしいごはん_: ｗｗ
[1778.997] (S)ramen_jpn: ニヤハラ
[1779.146] v_harumi_v: えいたさんｗ
[1780.348] (S)hoshi_boshi_0: すぐ現れるじゃん
[1781.380] 戸愚呂妹: 邪神の断末魔
[1784.822] maddy2623: 師匠ありがとう
[1786.439] カブトシロ: 褒められた。
[1786.482] v_harumi_v: えいたさん、ありがとー
[1793.736] latenight000: えいた師匠も褒める
[1794.632] ぢょごぢゃん: 師匠超え
[1799.719] Nishi_Poteto: ！
[1801.133] (S)yomogi610: あくまでも上からで草
[1802.401] esutark: 最強のリリー
[1807.068] isekai7153: ビースト軍団？
[1807.426] ひろみつー: ひびききたー
[1809.781] hal0302: ありがとうございます（笑）
[1817.625] yito678: Daigo can you send me some ramen please from Japan
[1820.105] (S)gyu_nyuu_pann: ひびきざびーすと
[1823.246] blueplanet96: 負けそーｗｗ
[1823.298] (S)takahashiseigi: 対えいたは噛み合って、ほぼ読み勝てる王
[1823.558] Nishi_Poteto: 危険なリリー
[1831.370] sonic_chop: 今日のウメちゃんの髪型いけてるな…
[1831.528] (M)Moobot: ＊＊新ヘッドセット＊＊ HyperX Cloud III が ワイヤレスで登場！ → https://hyperx.gg/45bt2SJ
[1834.698] esutark: 2050以上の門番 hibiki
[1837.101] (S)ましゅダヨ: やっぱ強いものは謙虚ですね()
[1839.965] rrr8628rrr: BEAST対決
[1844.758] (S)gyu_nyuu_pann: パーマかけてるみたいになってる
[1857.776] hoemin247: 正々堂々素手で来いや！
[1859.548] (S)hoshi_boshi_0: ひびきリリー強い
[1869.362] うつらん: どんどん役所広司みが出てきてるな
[1873.267] sonic_chop: 膝気持ちよさそう
[1897.403] (S)ましゅダヨ: 意外とこの色のリリー多い
[1899.211] xxzoids: 茂木健一郎を意識してる。
[1905.878] sonic_chop: やっぱりｗ
[1909.326] (S)kimi_3_: スーパーのおばちゃん
[1909.690] maddy2623: 風突進でリバ吐かされるのしんどい
[1919.148] nobunaga1221: リリーもうちょっといいコスほしいな、現コスがあまりにもダサい
[1940.927] hoemin247: こーれはめんどくせぇ
[1950.090] rusty0shackleford: ダン・ヒビキはいつ？ニュースは何ですかダイゴ様 @DaigoTheBeasTV
[1951.315] ochinanago: ひびきやるな
[1954.255] (S)イエール: ウメちゃんヤッホイホイ
[1955.860] syugi3: おー
[1957.634] えこえこ: リリー対策不安あり
[1958.244] saketyazu: うまいなぁ
[1960.296] prisira: 昨日のパリィ練習したのにｗ
[1962.992] keigunnoikkaku: ホゥホゥホーウ！
[1963.111] mieru11: 風よまえ
[1965.380] (S)ましゅダヨ: ひびきさんやばあ
[1970.986] blueplanet96: Dリバはやめたんかね リリー対策
[1980.590] tukiusagi96: あれタイミングずらせるの強いね
[1982.938] (S)hoshi_boshi_0: ケンでひびきさんにどうやって勝てばいいんだ
[1996.230] moricocoa: ODには吐いていいと思うけどノーマルに吐いてるとゲージがきつい
[2003.927] ~MISSING_COMMENTER_INFO~: リリーですごいな
[2004.651] playatlas: オハンヨ
[2016.966] ぼちお: ラシード見なくなった？
[2023.635] hal0302: やっぱパリィなのかね
[2026.462] RingoChung32: JPはリリーいける
[2027.511] pantusato: ラシード見ないねー
[2028.880] うつらん: 彼もまたビースト
[2047.832] blueplanet96: 強いリリーこの人だけだし対策すんのだるいよなー
[2066.319] moricocoa: モダンで2000超えの人いたよね
