[982.628] furby_uc: いたw
[983.881] prefabcat: さむそう
[984.171] yonaka0: ウメちゃん!
[984.230] umwitch: いたぁ！！！
[984.760] NAOjpp: きた
[985.281] fidelio_90: YES
[985.593] トゥーピー神: わろた
[986.185] marusan10: やっといた！
[988.452] fidelio_90: WE DID IT
[988.669] dsadsa454654: 寒くないのウメちゃん
[989.191] cj24mill: Kreygasm
[990.219] adgjmptw3: 梅チャン！
[990.651] okamasa456: 普通にいたな
[993.015] sasugani: ウメちゃん！
[993.314] xerathyoyo: umehara 
[997.059] salad_maki: いたぁ！
[997.244] すぐそれ: 再びリュウを捨てた男
[997.679] fukasideppa: はてねぇじゃん
[998.029] Maxxyy_m: 半袖ｗ
[998.668] Planetrollcall: 失格は免れたな
[998.807] aJillSandwich: The Beast!
[998.838] sanika95: Daigod 
[999.059] トゥーピー神: 軽いwww
[1000.417] indigomame: 良かった来てた
[1000.708] Mr_Neighbour: Daigo obtained!
[1001.367] yutashun: 果てねぇ
[1002.087] kenkyonaninja2: ラフすぎひん？ｗｗｗｗ
[1002.970] yonaka0: ウメちゃん普通にいたぁ！
[1003.677] akiaki0612: でっぶ！
[1004.935] ~MISSING_COMMENTER_INFO~: 肌白くなったな
[1006.353] ~MISSING_COMMENTER_INFO~: クックパッド見てる
[1008.100] れく太: 俺らの情報のおかげやな、感謝して？
[1010.405] okamasa456: 野生のウメちゃん
[1015.665] nikku2929: ウメちゃん、サインとか握手とか大変やろ
[1015.923] dubdubju: 半袖w
[1016.144] pukeshi: 一段と丸くなって
[1016.756] obo_006: あついのか
[1018.300] Pbro_Otopite: 自信はどうですか？優勝確率は？
[1021.250] prosciu: スタッフさんが来てなかったみたい
[1027.552] Fux7722: 果てねぇ？
[1031.702] umwitch: イカハラなら配信に映ってる
[1032.620] obo_006: なぜこの子だけ顔うつさないｗ
[1033.178] Nogiskits: this needs a bigger venue already and it's just the 1st year
[1033.786] ~MISSING_COMMENTER_INFO~: すげえ
[1035.491] れく太: いいなー
[1043.215] (S)metalface_05: 顔見たい…
[1049.680] xSoufianexTx: niceu hato
[1051.826] SSAA5963: 果てねぇ
[1056.678] fapfapjpn: HeyGuys
[1059.491] fukasideppa: 果てねぇ背が高い
[1060.039] Fux7722: 果てねぇやん
[1061.034] mosaic000: 果て
[1066.127] moriosan: 果てねエかよｗ
[1067.802] tentough: あ
[1069.456] ライム_: うめちゃん何してんの
[1069.841] まままままま: うめｗ
[1071.617] ~MISSING_COMMENTER_INFO~: クックパッド見てる
[1073.768] lookeezy: buff daigo
[1074.083] yonaka0: 溶け込んでいる
[1074.740] ~MISSING_COMMENTER_INFO~: うめちゃん何歳かわかんねえな
[1075.081] ChatoMan1: wow
[1075.336] cooper0201: だれだよはてねえ
[1075.842] xanxus0706: おじさん
[1077.735] でけでけ: ウメスレチェック
[1078.569] obo_006: ウメちゃんなにしとんのｗ
[1079.299] chamomile21: ウメちゃんのオーラ
[1081.523] sasugani: ウメちゃんｗ
[1081.686] akiaki0612: うめ、のんびりw
[1084.162] umwitch: ウメちゃん身軽だなｗ
[1084.206] トゥーピー神: ただのおじ
[1084.458] phan_tom_2015: busy daigo
[1086.482] yutashun: 格ゲー竹内結子
[1086.836] fidelio_90: daigo will play?
[1087.529] xSoufianexTx: umehara sn
[1089.479] blackie_1988: 梅原さんが普通に紛れてるのおもしろい
[1089.943] 胡麻柴犬: うめちゃんクックパッドは笑った
[1091.197] ~MISSING_COMMENTER_INFO~: シコハゲ！
[1091.392] _リオン_: ウメちゃん呼び出しまち
[1092.721] lookeezy: he could prob do sonic boom
[1095.867] nup1965: ウメちゃん今夜のレシピ考えてる
[1097.754] 今夜も赤こんにゃく: 正装
[1098.024] akiaki0612: 電車の中のようなリラックス
[1098.304] okamasa456: ウメちゃん麻雀やってんのか？
[1100.898] shibuya1028: レシピ研究
[1106.968] scottie_ver03: ウメちゃんマジで”絶”使ってるレベル
[1110.343] yutashun: 普通のおっさんだな
[1111.257] bene1201: 寒くなさそうでええな
[1113.319] とびちる: ゴマ団子のレシピ見てる
[1116.955] owapiece: スマホデブ
[1119.331] ~MISSING_COMMENTER_INFO~: 天
[1134.805] lookeezy: hot and damp
[1137.969] ~MISSING_COMMENTER_INFO~: 人込みと暖房でかなり暑そう
[1138.700] pukeshi: 女子アナ
[1140.608] Papapadad: わや
[1143.004] sasugani: わや
[1144.387] cocteauteins: わや
[1145.000] okamasa456: 女子アナかわいい
[1146.320] hannibal097: 不倫
[1146.479] しる__: 美人やな
[1146.553] yonaka0: わや
[1146.805] adawong123: かわいい
[1146.809] トゥーピー神: わや
[1146.812] prefabcat: 戦ったのか
[1147.196] もけたわけ: アナや
[1147.218] bacon_in_the_air: 宇内アナ
[1147.484] ぐいん𰻞: 対戦終わったんかな
[1148.192] chamomile21: 女子アナと出会ってる
[1149.052] ライム_: 女子アナ
[1149.206] mochitap: ガチくんかわゆー
[1149.684] bene1201: あ
[1150.384] れく太: かわえー
[1150.895] Planetrollcall: うれしそうｗｗｗ
[1151.469] xSoufianexTx: gachikun
[1151.593] Papapadad: なにこれうらやま
[1151.631] obo_006: ガチくんさっそく浮気か？
[1151.779] ~MISSING_COMMENTER_INFO~: 嫁みてるかー
[1152.045] numberball9: また公開浮気か
[1152.363] chaso77: 不倫
[1152.678] okamasa456: めっちゃかわいいｗ
[1153.447] imurilove: 女子アナはちげーな…
[1153.650] khide05: にやにや
[1154.020] adgjmptw3: 取材？
[1154.227] ichinoki0209: くっそ美人
[1154.976] Nogiskits: TehePelo
[1155.738] scottie_ver03: ＴＢＳのアナやん！
[1156.244] dsadsa454654: ガチ嫁見てる～？
[1156.445] blackie_1988: にやけてんじゃねえぞ
[1156.583] eoru55: 場慣れしてるな
[1157.021] salad_maki: 嫁ブチギレ
[1157.096] (S)fl0kis: わや嫁に殺されるぞ
[1157.113] bene1201: これは
[1158.775] spearish: Pretty
[1159.872] akanagi: おいニッコニコやんけ
[1160.010] prefabcat: テレビで使われそー
[1160.628] サツマイノ: ももちもガチくんも取り込まれたか
[1161.446] トゥーピー神: 不倫
[1163.343] yonaka0: TehePelo
[1163.503] moriosan: かわゆー
[1165.010] lowspec777: 女子アナ強キャラやろがい
[1166.146] NekoPunchKick: にやにや
[1167.080] (S)metalface_05: あれ美人？
[1167.384] ogiogi0122: 石油いる
[1169.231] ぷっち: 石油王短パン？
[1169.839] owapiece: 不倫か
[1170.615] 66akira: 不倫w
[1171.669] yutashun: 不倫
[1171.876] phan_tom_2015: gachinkun hooked
[1172.850] Papapadad: 王やん
[1173.215] mochitap: シャオバオ
[1174.182] prefabcat: 髪で分かる
[1174.316] pakapakap: オイルきたー
[1178.048] stainless304: あるある
[1178.281] pukeshi: キャラ差やべぇ
[1178.847] HAGEMEGANE: 試合うれしい
[1179.443] khide05: ツーブロック
[1182.713] haoo888: 短パン
[1183.014] ~MISSING_COMMENTER_INFO~: ハリネズミ
[1183.481] okamasa456: 五股
[1184.670] Maxxyy_m: 短パンかなぁ
[1184.924] prosciu: 状況がよくわからないけど、ウメちゃんはのんびりしてる
[1185.793] MAMEDEtuPOU: 短パンチェック
[1186.015] ogiogi0122: Ｗ
[1186.084] xSoufianexTx: rashidooo
[1186.431] chamomile21: 短パン？
[1187.191] 賣藥郎: oli king
[1188.082] imurilove: 相変わらずキメてんな
[1188.809] juwattone: 短パンかな？
[1189.045] 拉拉著: 石油王!!!!!!!!!!
[1190.555] (S)metalface_05: 短パンか
[1191.640] れく太: さすがに短パンじゃない、よなぁ？
[1191.922] akiaki0612: 邪魔しちゃあかんよ
[1192.548] 拉拉著: 加油 台灣
[1194.523] ogiogi0122: 美脚！Ｗ
[1196.648] j2abg5ew: 加脂
[1197.107] トゥーピー神: 集中できん
[1198.413] tomato1618: このラシードはやばいやろ
[1198.672] ~MISSING_COMMENTER_INFO~: かわゆ～
[1201.846] j2abg5ew: 加油
[1203.689] せりわーむ: オイルキングだー
[1204.313] amazonwalkout: dat taiwanese accent 
[1204.775] khide05: 余裕だな
[1205.229] okamasa456: 邪魔しちゃあかんで
[1208.420] akiaki0612: 近すぎじゃないか？
[1208.939] yonaka0: うおお
[1209.474] NekoPunchKick: 短パンかな？
[1212.984] 烏魯木潔: 加油
[1214.040] pukeshi: タイワンナンバーワン
[1215.313] moriosan: 短パンですか？
[1217.759] れく太: Zhi、石油王の脚映して
[1220.898] _リオン_: オイキン加油～～
[1221.573] xSoufianexTx: zhi speak chinese too 
[1222.099] BboyTips: Did daigo win??
[1225.540] chamomile21: さすがに短パンっしょ
[1228.942] Papapadad: こんなに脚を熱望される男がいるだろうか
[1230.017] 今夜も赤こんにゃく: 短パンじゃない
[1232.324] stainless304: わーお
[1232.463] juwattone: 化粧水見たいの飲んでるな
[1232.691] efmaniac_jp: 美腿王
[1237.462] okamasa456: 足は有料
[1239.864] imurilove: 石油王短袴
[1242.705] philwwww: Wow
[1244.060] (S)metalface_05: わお
