[246.662] kkztym: マジ？
[255.472] (S)manmu04: パワポケならでは
[256.783] sein105: 試そう
[258.308] (S)jaden397: ルフィ！？
[261.122] スカイハイ: ルフィ！？
[261.282] ynwnnbf: ルフィ！？
[261.809] irazoi803: HeyGuys
[262.093] かえでつばめ: ルヒー！？
[265.058] amethystbeet: るひー
[265.892] タンパク質の塊: 1年目アベレージヒッターおすすめ
[269.426] mooonmi: 仲間がいるよ
[269.620] 内野安打王: ルへー
[275.664] (S)パイモンすこ: ノ
[276.292] misterio61: 昨日世間評価でゲームオーバーしてたもんな
[278.631] irazoi803: ノ
[280.484] mogarisa: 乗っ取られる
[280.589] ynwnnbf: ノｗ
[283.367] スカイハイ: ◯ックス
[283.576] sssiiioooooo: 5000円払わなきゃ
[284.825] asimechan: 救世主を見にきました
[284.959] chin_kawa: やぁ
[287.338] tyanntyannkwo: テックス
[294.852] hyde_twi: アカウントもぎゅるんして見せます
[296.580] sein105: もっとXして
[298.106] (S)manmu04: 今日は通知で気付いたわ
[302.405] mooonmi: ワイプちいせぇ
[304.127] ポタジェ3世: BloodTrail
[305.995] takeyari_boy: 全部終わらせてから配信始めろ
[308.844] ynwnnbf: こーさま！？
[308.868] mogarisa: やっす
[309.170] (S)しゆわ: あ
[309.497] mooonmi: スマヒョ
[309.938] (S)manmu04: あ
[311.049] (S)強竜優勝: やっす
[312.614] tsubasa77777: すまにょ
[312.756] preesbook: やっす
[313.856] sssiiioooooo: まずい
[320.336] ばららら: ほぼ察しすぎてる
[320.444] sssiiioooooo: 意識する権利も売ってくれ
[321.052] hyde_twi: あの人数でモデレーターいるの？彼は
[321.952] bavaku: やっす
[323.043] peacegundam: こーすけにやってもらえば？
[325.295] (S)パイモンすこ: 最終兵器gm達
[326.136] タンパク質の塊: こ…あ、
[326.397] burimoruo: 🐮←にょ？
[327.072] yuuki_sail: それはまずい
[327.999] mooonmi: ボム兵
[328.662] (S)jaden397: こーすけのメンバーシップとかいうgm
[328.978] konbini7: そんな人いるっけ？
[329.487] sein105: ハメ撮りブスゴリラはまずい
[331.137] anpandaisuki29: やあ
[335.606] preesbook: 8千から転売すれば余裕で元取れるやんけ！
[335.989] mogarisa: そうだよ
[340.067] (S)パイモンすこ: ニコ生がgmすぎる
[341.516] moriyasu111: ツイッチのまわしもの
[347.550] ynwnnbf: ニコニコくんさぁ
[348.511] Doppietta_n: ニコ生の悪口辞めてください
[349.305] gggggggggggghebbdhd: つえっち
[350.493] sekainototo: 海外でも使える
[350.695] cloud_monet_: ツイッチの案件ですか？
[351.515] burimoruo: ニコ生←うおw
[351.656] kkrok9651: ニコ生とかいうサイトw
[351.784] mogarisa: ニコ生はなぁ
[353.892] bavaku: ニコニコと比べてんのか
[354.673] tyanntyannkwo: トゥイッチ
[355.272] kurokurro: ニコ生見習えよな
[356.452] (S)manmu04: ぜうしつな画質
[357.110] しがない一般男性: 配信専用プラットフォームなだけある
[358.084] (S)強竜優勝: 未だに720のｇｍ
[360.330] bavaku: ｗｗｗ
[360.883] sein105: ニコニコ？gm
[362.950] 鼻中隔湾曲症: かものアーカイブつべにあげてくれないか？
[366.684] モンテ一口: つべ配信って4k対応してないの？
[367.600] (S)中村マイケル: 緊急と聞いて
[368.608] lencon_na: 緊急と聞いてやってきました
[370.237] kotoha0321: 緊急出来ました
[378.436] masakari_man: 俺の目より綺麗
[381.076] preesbook: 緊急
[382.792] bavaku: 全部救っていこう
[383.259] (S)manmu04: それは昨日から思ってた
[383.464] (S)jaden397: そう
[384.303] Naossy31: 緊急らしいのできました
[387.589] mogarisa: 弓子だけ救えばいいだけでは？
[389.789] gesut1127: それは言わない約束
[390.006] hatena_893: 終わりだよ
[390.244] burimoruo: 全員救え
[392.390] sakechats: うん
[392.515] tyanntyannkwo: 欲張れ
[393.261] かーと397: 終わりだよ
[393.459] yoshizaurs: 緊急じゃないなら帰るけど
[394.162] sein105: イエス
[394.615] tsubasa77777: 緊急が多すぎてどれから見ればいいんだ？
[395.632] 内野安打王: はい
[395.891] (S)yangshi86: pc案件来ないか？まだ
[402.256] asimechan: 全てを救うおとこ
[403.358] ynwnnbf: チカチカする
[403.501] タンパク質の塊: お前が始めた物語だろ
[403.879] (S)パイモンすこ: なるね
[406.551] (S)jaden397: お兄ちゃんを救わずハッピーエンドとは言えない
[407.234] tyanntyannkwo: 今日口紅つけてる？
[408.588] (S)manmu04: 目疲れる
[417.891] ポタジェ3世: mokoulMokousikyu
[418.302] mogarisa: じじい特有だよ
[418.532] かきくんです: 口紅www
[420.469] しがない一般男性: ちなみに昨日の夢の内容を聞かせてくれないか？
[422.379] (S)強竜優勝: 花とか鳥の映像な
[425.526] (S)cho_suke1031: 本末転倒の絶傑
[425.538] sein105: ちなみにジョー救うと弓子襲撃イベント起こらないゾ
[426.784] Parupunte030: こんばんワールドビヨンド
[431.851] Shouponkunio: べに？！
[434.670] tyanntyannkwo: かもしゃんかわち
[437.350] (S)longbowdmrshimba: かものおかげでパワポケ買ったぞ！
[439.168] nin2552: べ、に
[439.370] cloud_monet_: 世も広末
[443.531] luka232433: なんで口紅？
[444.547] ynwnnbf: 世界線の収束
[448.181] morimoridesuuu: ベルド現地クソ楽しかったのにカズオ...
[448.226] jmdwjmwtpj: かも、はんじょうの視聴者に「切って貼って〜」されてたぞ
[451.525] irazoi803: ループモノやん
[453.895] (S)0_mare: turuokKinkyu
[455.184] lencon_na: 日曜深夜の「おいのり💥」は恐怖
[459.033] piyohikonx: 何なら弓子は主人公がちょっかい出さない方がイイまであるか
[465.552] しがない一般男性: 全勝なのかwDJB必須やな
[466.399] ばららら: 今日はモグラーズ救えますか？
[467.786] jmdwjmwtpj: かも、はんじょうの視聴者に「切って貼って〜」されてたぞ！
[468.474] preesbook: 勝つしかない
[470.327] sein105: よくばり(かものはし)
[475.628] gadeamu: これ操作試合全勝必須？
[475.662] akatuya04: すまん、アンチヒーローいくわ
[487.797] (S)manmu04: 勝手に寄ってくるからな
[489.351] Gobohtmonov: そろそろかもかな？と思ったらかもだった
[489.698] oden456: サブスクください 
[493.594] tyanntyannkwo: す、りより
[495.933] ねまき: こんかも
[496.924] ynwnnbf: あ
[497.696] jmdwjmwtpj: あ
[501.749] kkrok9651: し、げ
[502.242] takeyari_boy: し、げ
[503.558] oden456: koushi5Parapara
[503.941] (S)強竜優勝: 行くと恋の病になるしな
[505.283] (S)manmu04: 弓子最低だな
[507.857] jmdwjmwtpj: ｸｶさい
[508.017] (S)daikiraionion: モグラーズ変な人ばっかだし解散させないか
[512.335] マハラジャじゃ: かもちゃそこばんわ〜〜〜
[512.537] (S)パイモンすこ: わかりました
[515.872] vigorade: くかさい
[516.263] jmdwjmwtpj: うゆ
[518.178] ruluanya: サブスク要らない
[519.245] たまご51: djshigShii
[523.297] preesbook: 擦り寄り界隈って誰がいますか？？
[523.726] nin2552: クカさい
[524.497] (S)manmu04: ね？
[526.117] (S)0_mare: おわり
[530.667] ばららら: ごみあたり
[530.739] oden456: す、りより
[532.224] しがない一般男性: 有言実行
[533.024] tyanntyannkwo: ゴルフ
[533.766] (S)しゆわ: turuokBUDECHAN
[535.014] mogarisa: 一日で全て忘れる
[535.580] sakechats: 僕にもサブスクｸｶさい
[535.725] peacegundam: どん詰まり
[535.980] (S)osarutaicho: turuokAisan
[538.753] uchikoooooo: サブスククカさい 
[540.470] (S)パイモンすこ: そろそろ3みたいから頼むぞ
[542.075] lisdil8: かもきたー
[543.457] dreament007: うまい
[545.281] かきくんです: ロックオン付けてますか？
[545.601] (S)しゆわ: turuokKinkyu
[546.083] マハラジャじゃ: 今日の服からスーパーマンかと思った🦸‍♂️
[546.689] sein105: 所詮夢だしな
[548.467] ynwnnbf: タッツもニッコリ
[549.156] bavaku: チュニドラ野球
[551.570] (S)強竜優勝: 二村薫やめてね
[551.603] 石川0304: 内定ください；；
[552.913] kadeey_: 単打育成プログラム
[556.977] fukudome_k: バンド野球
[559.374] たまご51: そろそろ交流戦ですね
[560.628] (S)ozozpa: turuokKinkyu
[562.679] イヴァンバッソ: 8時間のアジャストタイムが必要
[562.689] mogarisa: パワポケ3以降は買ってあるの？
[563.506] jmdwjmwtpj: かも、今日はんじょうの視聴者に「切って貼って〜」されてたぞ
[566.699] chin_kawa: かも、賭けとかスタンプとかツイッチ上手く使えてないから勿体ない
[568.572] ミルキーベル2: 早く戦争がしたいね
[570.808] uchikoooooo: 打つほうはなんと貸します
[571.214] かきくんです: 内定ww
[572.672] ペと: 弱小海道高校編
[575.151] (S)manmu04: そろそろ戦場行って欲しい
[577.408] bavaku: ゼネコン行こう
[577.772] dreament007: モグラーズより俺を救ってくれ
[580.029] tyanntyannkwo: 就活がんがれ
[583.912] (S)0_mare: ゆゆうたのとこで
[591.828] takeyari_boy: 年間公休130日ください
[592.519] (S)うらららら: 筋肉ください
[593.027] mogarisa: 自営業でもしとけ
[596.332] (S)manmu04: ｗｗｗ
[597.178] dayamataro: unkochanYaa
[599.094] jmdwjmwtpj: サブスクでき
[602.467] (S)パイモンすこ: 勝ったな
[603.728] マハラジャじゃ: 特に目標ないならIT受けとけまじで
[613.700] chin_kawa: wwwwww
[619.665] jmdwjmwtpj: かも、今日はんじょうの視聴者に「切って貼って〜」されてたぞ
[623.295] しがない一般男性: はよジム作ってくれ
[623.506] かきくんです: 今日口真っ赤ですけど誰かとチューしましたか？
[624.700] fukudome_k: かものはしのジム
[625.502] irazoi803: HeyGuys
[626.285] preesbook: かものはしも何か作るか
[629.806] ねもうす人: かものはしはプロテイン売ろう
[633.372] misterio61: かものはしもジム作ってくれ
[634.521] bavaku: ジム作ろう
[635.351] デカ犬: ジムのはし頼む
[639.771] mogarisa: かものはしジムは何時開業するの？
[640.644] masakari_man: 筋肉食堂
[642.106] irazoi803: 叩かれそうになってたな
[642.726] ~MISSING_COMMENTER_INFO~: かっさんのcut純は？
[643.550] (S)manmu04: かものはしのパーソナルトレーニングやってくれ
[644.485] tsubasa77777: カードショップって必要か？
[645.548] みやビィ: ITはやばいって聞くけどどうなん？
[646.011] ~MISSING_COMMENTER_INFO~: 明日キングスリーグだけど見る？
[648.515] (S)cho_suke1031: 続いてるよねかなり
[651.704] (S)強竜優勝: はんじょうの店よりともはっぴーの店の方が良心的だぞ
[651.826] イヴァンバッソ: はんじょう「やれ。」
[651.889] tyanntyannkwo: ぜうはゴロリ
[653.368] ynwnnbf: 彼はもう借金まみれで4んだからな
[653.389] かーと397: お前はジム経営とかに噛まないのか？
[654.892] (S)x893: ハン・ジョー
[656.309] (S)パイモンすこ: カドショあった所にジム作ろう
[657.912] kkrok9651: ジムのはし
[660.550] anpandaisuki29: うんこマン
[667.225] haland05: 事務作業やらせて
[669.868] (S)jaden397: ジムより飯屋つくってくれ
[671.706] bavaku: チョコザップとか
[671.730] lencon_na: 僕の持ってるプロジェクト３つ救ってください；；
[673.944] (S)鯖生姜煮: ぜう今日泣いてたね
[674.819] baku0010: あれうんこちゃんの視聴者じゃね
[676.992] かきくんです: カドショにジム作ってオタクマッチョにすべ
[679.865] jmdwjmwtpj: 至る所にあるよか
