[682.007] まっくん0128: 今ボドカASMRだったのに、普通になった
[682.204] nottariiiii: 今良くなった
[683.740] のうきんちゃん: さっきマイク接続切れたって言ってたあたりは少し小さくなってたけどいまは大丈夫
[691.996] lionelmessi4545: あ
[692.024] mo11y02: いつもの場所いつものメンバーやおもろいやつやん
[693.747] ~MISSING_COMMENTER_INFO~: 背面冷やさないとだめ
[705.191] mirukure0610: 調整感謝です✨
[707.441] 7tk4: free4sUpndown
[711.074] 柴田くん: しんじ♡
[712.407] kota_mochi0822: アムかわいい
[712.447] kanikanimiflkoipij: もっと暑くなるからヤバそう
[712.952] ヒ卜カゲ: かわいい
[715.496] KANEGOONMK2: アムって何歳です？
[715.685] hekominn: かわいい
[716.307] じぃじぃじぃ: 外見てる?
[718.043] まっくん0128: あむかわえ
[719.222] のうきんちゃん: マジック・ザ・ギャザリングな
[719.751] shutyyyyy: これはギャラクシーで配信してる？
[722.022] kedama_man: 進撃のアム
[724.214] nottariiiii: かわいいなあアム
[730.241] akanex64: あむちゃんかわいい
[730.274] lisdil8: あむー
[732.175] kuros46790: マジックザギャザリングね
[736.304] (S)regulus_281: アムの専用カメラ欲しい
[741.139] ヤサイマシアブラカタマリ: うおおおおおおおおおおおおおおおおおおおおお
[742.897] 7magari_ships: チルいな
[744.005] ~MISSING_COMMENTER_INFO~: 蚊取り線香炊いて
[745.403] yu_777_god: free4sDance
[747.329] らずきち: おおおー
[750.364] mirukure0610: アムちゃんほんとかわいい
[750.633] shimp3: ぼどみえた！！
[754.154] のうきんちゃん: 88888888
[757.160] (S)sq9ra: 88888
[757.574] 柴田くん: 8888
[758.465] ヒ卜カゲ: 8888
[758.547] glicoxxx: sekiDST
[758.658] kota_mochi0822: 8888
[758.704] じぃじぃじぃ: 88888888
[761.279] sonefia: 8888
[762.038] efurulee: 8888
[763.439] トメイトゥ: 8888
[763.549] kikichan917: 888888
[763.989] iviend: 88888
[764.524] mirukure0610: 88888888
[764.527] iiikmiii: 8888888
[764.775] kanikanimiflkoipij: 88888888
[765.849] usachan_1: DinoDance
[767.694] emikavt: 8888888
[769.042] らずきち: 8888
[769.268] かみのすけ: 8888
[776.068] どらどら君: パエリアだと
[778.119] 3210pika: 888888
[779.774] kota_mochi0822: パエリア難そう
[780.173] kanikanimiflkoipij: 闇パエリア
[780.612] スギウラ: 8888
[781.062] のうきんちゃん: ス、タンミ
[781.263] lionelmessi4545: おおおおおおおおおおおお
[781.585] しかしかおとこ: ボド喜びすぎやろ
[781.997] usachan_1: wwww
[782.106] non_438: 888
[783.434] kinotake_26: レベル高めやね
[785.129] らむぽっぷ: 88888
[785.228] じぃじぃじぃ: パエリャ！
[785.287] optionpurple8: 8888
[785.827] 年金泥棒パート2_: スタンミが失敗したパエリア
[788.786] charlie_drk: 歓喜の踊りやめてね
[792.072] srtdehew: 昼ごはんパエリアでした
[792.936] (S)きょんた85: こんにちは
[796.874] ワお: しんじちっさｗ
[804.892] くろーえ: MercyWing1
[806.043] srtdehew: うそピラフや
[809.826] mirukure0610: パエリアいいな 
[815.865] KANEGOONMK2: 一瞬おぼめん引っ叩くのかと思っちゃった
[817.333] kamuyazule: こっちけっこう遅延あるな
[843.413] のうきんちゃん: ヘンディ隠してない？？？
[844.039] hyu_su: おいす
[845.135] 芝蛸: ちょいちょいくるくるなるけどおまかん？
[846.673] kinotake_26: だいぶセンス問われるな
[856.137] ただのともや: がおっす
[870.817] ~MISSING_COMMENTER_INFO~: 犬っさん悪さしだした？
[871.029] lisdil8: なんの貝持ってきてるかでセンスでる
[876.099] arlingtonnnnn: PCでもスマホでも回線変えてもちょいちょい止まる
[886.536] 柴田くん: しんじ♡♡♡
[887.259] のうきんちゃん: みってるーーーー？
[888.573] yu_777_god: 電波悪いか、仕方ないね
[893.048] じぃじぃじぃ: しんじ…
[894.472] ゆんちゃん〇: あむでっか
[895.144] iiikmiii: BibleThump
[897.120] mew3v: 女からラインくるかもしれん
[908.353] のうきんちゃん: 彼女からのLINE通知ぼどかに見られるよ
[911.968] こたつの竜田揚げ: アムゥ
[925.093] sonefia: 基本やね
[935.672] のうきんちゃん: あむ？
[937.402] youtori: アムチャンカワイイネェ
[948.541] こたつの竜田揚げ: アムアムしてきた
[951.570] のうきんちゃん: それ左回りや
[963.836] kinotake_26: パプリカは天才
[963.895] mirukure0610: パプリカ 
[966.712] ワお: うおお
[973.050] aphelios_4: おお
[974.079] mm_kos: おおおお
[974.476] sonefia: ええやん
[974.707] 1jz_o: おー
[975.519] 伝書鳩いのっち: おおおおおおおおおおお
[976.023] arlingtonnnnn: おおおお
[976.320] glicoxxx: いいねー
[977.558] mirukure0610: おおおおおお
[978.090] kuros46790: （赤）
[978.678] kota_mochi0822: おお👏🏻👏🏻
[978.897] okosama_luncher: おお
[978.995] のうきんちゃん: まとも枠！？
[979.239] じぃじぃじぃ: ちゃんとしてる
[979.459] KANEGOONMK2: いいね
