[1434.381] kou18881: 親がうるさい場合どうしたらいい
[1436.265] mazingerzeus: トランス若者
[1440.252] mik3912: 限界食堂
[1441.685] 難ナン: 俺は30前半までやと思う
[1442.394] ぽむ帝: 無職ですこんにちは
[1443.010] (S)suuute: ニート 
[1460.339] okameyby: 企画を組むYouTuber結構減ってるよね
[1467.836] morichan029: 企画もののYoutuBerってこと？
[1472.125] letmesee07: ボド、デバイス系やってそう
[1476.481] kou18881: 親が安定志向すぎてそういうことできんのよな
[1486.414] beru_0621: 文系なら経済系の学部の大学でとけみたいなのが嫌
[1488.135] kachitoma: いいね
[1501.592] kou18881: 反抗してくか
[1514.446] ヤサイマシアブラカタマリ: 友達は休学して会社やって上手くいかなかったから復学して新卒カードでやり直してた
[1551.088] (S)kazaha_zazazaxf: 別に自分のやりたいことを親が決められる訳じゃないからなぁ
[1552.698] takahouse: 安定思考でもいいとは思うけどね
[1555.997] haltouc: やりたいことをいうだけじゃなくて、具体的なロードマップを描かないと話にならん
[1557.727] diii_twitch: 財布から金ぱくればいい
[1562.693] nero_skoll: 今年まさしく夢のために大学受験辞めました
[1600.220] zolomon1142: 似たこと考えて仕事辞めました
[1600.248] (S)japanet_hakata: 大学おもんないので辞めました
[1603.394] gyokuro1: その人がそれで満足してたらそれでいいんじゃね
[1604.179] ばぁぁあ: 安定思考で生きてきたけどそれすらうまくいかないわ
[1613.598] htomato_99: 冒険した結果今ニートやわ
[1625.453] (S)ビーストたかはし20: なかなか一歩踏み出せません
[1625.683] (S)ninniltaiki: なんか違うってなって道変えるのは○？
[1633.580] かとう777: 俺も安定思考やめて大学2留しました！
[1661.137] たまごボー口: 安定思考だったはずが、一回コケて社不になった
[1664.083] kou18881: 今大学4年で周り内定ほぼ貰ってる中、何もしてない自分、ただ焦りだけあって苦しい
[1670.404] (S)でーれー: そこはもう自分の能力と応相談な感じ
[1672.901] ハルキさん: 不安定すぎて安定した生活をしたいっていうのが夢
[1691.831] kirby_po: みんながみんなうまく行くわけじゃ無いから憧れだけで決めると痛い目見るんじゃ、、
[1704.821] マイクロファイバーくん: 結果論的な面が強すぎてなんともね
[1706.817] (S)kazaha_zazazaxf: まぁ辛いだろうけど悔い無しだからいいんじゃね
[1709.572] (S)dorayakinomattyazoe: www
[1715.617] ややとーや: 手に職と思って理容師なったけど給料安すぎて生きていくので精一杯
[1747.425] angry_hungry19: たしかに
[1756.536] ただのともや: 確かに
[1762.639] ばぁぁあ: いい話
[1782.234] ヤサイマシアブラカタマリ: ｗ
[1788.784] kirby_po: 親に感謝やね
[1792.151] takahouse: 困ったら大学行くべきよな
[1816.112] (S)marrona91: 大学時代何かチャレンジするべきやったなぁ、普通に過ごして終わってしまった
[1820.346] takoyaki47473: ボドカさん、YouTube見てます
[1825.481] ぬたみ: k4senさんはCODが不作続きでしばらく見てないなと思ってたら急にTOPまで突き抜けてきた
[1832.905] (S)dorayakinomattyazoe: 大卒とかいうめっちゃ簡単で強い資格
[1841.766] (S)みずキチ: みずキチ subscribed at Tier 1. They've subscribed for 5 months! 大卒掴み取ってるだけでどうとでも生きていけると思うと気が楽です
[1847.576] すみえ: 大学ってそーゆーところだったんだ〜
[1854.697] (S)でーれー: 文系は特に好きなことしに行く場所な希ガス
[1861.829] (S)japanet_hakata: 困ったら大学は嘘、理系だからかもしれんけど中途半端になって終わる
[1870.024] kazma1999: 自由時間多いよな大学生
[1883.044] ぽむ帝: 理系か文系かで変わってくるよ
[1906.843] beru_0621: なんかその言葉聞いただけで安心したわ、ありがとう。 by受験生
[1914.456] cenbox: 大学1年、もうつまんない
[1916.243] corgi_green: 理系の友だちの話きくと文系まじ最高だった
[1918.137] ぬたみ: 大学生はマジで将来やることの投資か、いまやりたいこと最大限やるのがいい
[1932.024] acccce_: ボド理系？
[1934.197] 綾野㌠: 困ったら大学はマジだぞ、大卒ってだけで給料違うし
[1936.941] takahouse: まじで大学の名前大事
[1942.501] doggo813: 高卒でも入れるところに就職しちゃった
[1943.833] ヤサイマシアブラカタマリ: 大学生なんて何やるにも安いからよかったわ
[1948.095] 7magari_ships: 今のとこ日本は大卒あるなしで全然変わるもんな
[1966.355] (S)t4IGaaaa: 挑戦して実現できた時の幸福度は凄いだろうな
