[140.925] (S)resaaaan00: tatatatape subscribed at Tier 1. They've subscribed for 5 months, currently on a 5 month streak! わこらだー
[141.135] (S)ねこはん: わこらだ
[141.379] (S)さゃ: せんきゅーさーぶ
[142.071] thiki_kaku_: わこらだ！
[142.210] kinokonoko_39: わこらだ
[142.220] yuukichan07: ないすう！
[142.247] kanade9629: これから面談なんだが??????
[142.292] (S)monburan_0000: わこらだー
[142.705] itowatarai: わこらだー!
[142.814] (S)入野: 結局ないすで草
[143.049] (S)yakkora: かわあ
[143.356] がるーら: 眠たそうな声するな
[143.373] (S)rioapr03: 草
[143.754] (S)rarusyi_: ないすぅ
[144.040] (S)pochipochiii: わこらだ
[144.587] (S)雪華0830: w
[144.701] (S)moa_tomato: moa_tomato is gifting 1 Tier 1 Subs to らっだぁ's community! They've gifted a total of 1 in the channel! 
[144.991] 御召茶: わこらだ
[145.728] (S)moa_tomato: moa_tomato gifted a Tier 1 sub to ozisan_013! 
[145.818] (M)Nightbot: YouTubeにクリップ集を投稿していきたいので、面白かったシーンなどを>>"タイトル"<<をつけてクリップ作成お願いします。画面の右下にクリップ作成ボタンがあります。>>"タイトル"<<を付けて作成してもらえると後でクリップを選出しやすくなります。よろしくね
[145.905] ruansidora: わこらだ
[146.011] fumin_fes: ないすぅ
[146.524] (S)gonzaresu97: radaokunGahaha
[146.591] kamaboko_irasut: なんか声変わった？
[146.788] ryuki2525: ないすぅ
[146.826] nakkaaaa: こんな時間に珍しいな
[147.587] kai_4869: かわいい
[148.286] hope_9696: わこらだ
[148.917] (S)satela_A: ﾅｲ↑ｽｩ
[148.934] (S)yaabanchan: わこらだー
[149.576] miraittt: ww
[149.588] applebell: ﾅｲｽｩ
[149.660] karakuriou: ｗ
[149.867] belucha_: ww
[150.227] (S)amatuba0424: わこらだ
[150.342] Airu_99_Hu: わこらだ！
[150.921] tomuyamun: わこらだ
[151.040] (S)kuru053: わこらだ
[151.928] スプラザコ: みどりくんもいると聞いて
[152.759] hayasabatai: 授業中だけど来たよ
[152.872] (S)sansansantaku: 今きた
[153.126] sigure__potato_: わこらだ
[153.199] (S)望月_レオン: わこらだ
[153.358] (S)もじゅべ: mozyube_ is gifting 1 Tier 1 Subs to らっだぁ's community! They've gifted a total of 1 in the channel! 
[153.538] (S)atuono: www
[153.722] (S)kinokonokonoko814: わこらだ
[153.816] (S)mizukurage_: わこらだ
[154.036] nakkaaaa: wwwww
[154.374] (S)もじゅべ: mozyube_ gifted a Tier 1 sub to harupon_you! 
[154.414] (S)syuurtami: radaokunOkane
[154.494] (S)omuraisu_153: わこらだ
[154.547] めろぱんまん: どっちもねむそうだなwwww
[154.619] renkanokotatu: www
[154.993] yuchan_sensei: わこらだ
[155.609] (S)熊三郎: わこらだ
[155.614] mizinko_1473: わこらだ
[155.690] topokke: みどりくんもいるじゃーん！
[155.712] (S)_リオ_: わこらだ
[155.747] kkanoki: どりみー眠い？
[155.788] (S)pochipochiii: ｗｗｗ
[156.442] (S)さらしゃ: わこらだ
[156.611] (S)kcal_mei_to: www
[156.687] tyanco112: ﾅｲｽｩ
[157.291] fumin_fes: w
[157.791] きゃノ: みどりくんw
[157.792] (S)loupe_5385: わこらだ
[157.989] (S)rarusyi_: ww
[158.070] potetuti2: かわいい
[158.277] kanitabeta: www
[158.422] iruka_06: ww
[158.504] えくすかりばぁ: 生配信初ですわこらだ
[158.529] gokkochann0312: ないすぅー
[159.191] (S)ryou121296: www
[159.222] (S)のぴ_: 草
[159.222] tomuyamun: BatChest
[159.375] (S)salt_w12: www
[159.880] (S)7むし: www
[159.972] (S)ZAKUtesta: www
[160.232] tyanco112: w
[160.680] (S)wakasagi24: radaokunHatena
[160.918] (S)dennraku: 眠そう
[161.111] (S)よわはと: wwww
[161.181] (S)ねこはん: サンキュサーブw
[161.809] (S)mokopiko: 今日早いですね
[161.831] (S)_みさ_: www
[162.057] pp_Sui_suI_pp: どりみーかわいーん
[162.365] (S)yakkora: www
[163.064] (S)ayapon1201: やっぱ金だな
[163.122] (S)バード810: わこらだ
[163.620] (S)消しピン: これテイク2？
[163.849] (S)gmdsk: radaokunTyu
[164.726] zibakurei_721: わこらだ
[164.739] ruansidora: wwwww
[164.785] 燐だよ: w
[164.912] (S)foxy1003: 可愛いかよ
[165.102] amane268: わこらだ
[165.123] 唐辛子ガール: ナーイスぅ
[165.720] fin_schwarz: わこらだ
[166.129] tuyu_2525: かわいいw
[166.504] mikan_san: トリオって誰よ！？
[166.619] (S)rekuron379: わこらだ
[167.155] (S)紗弥0926: w
[167.220] (S)zane417: wwwww
[167.235] hakura0429: かわいーん
[168.077] yua_329: ww
[168.095] おまえのむすめ: どりみー！
[168.711] aika21: わこらだ
[168.783] (S)momo_chaso: かわいいなぁ
[168.918] ryoo412: かわいーん
[168.939] (S)sansansantaku: てかテレワーク中なんやけど笑
[168.995] nakkaaaa: さんきゅーサーブ久しぶりだなぁw
