[330.618] (S)じめさぎまん: なるおいけるぞー
[331.886] あきがクラ: これからやよ
[332.437] (S)たけのこ1234: 対戦いまからだよー
[334.071] (S)blupon06: 石井プロルーザーズファイナルどうだったの？
[335.237] (S)ボブ牧原: かましたれ！
[336.196] (S)たけのこ1234: 30分から
[338.072] (S)がすいんニキ: あざす！頑張って！！
[338.079] ﾁﾙ: なるおワラーーーー！！
[341.170] 毛むくじゃらのコリー: かましたれい！
[342.051] (S)白岳: 30分開始がこの状態って結構スケジュール通りなんだ
[343.929] (S)いーすとまん: naru04Doku
[344.978] pochiyonee: おっすおっす。
[345.388] roziurara: おうおうおう
[345.747] morimorione: これからか
[345.875] (S)ヒュウ: がんばれー！！！！
[347.758] あきがクラ: お
[348.891] ぱりっぱり: なるおがんばれ！
[349.085] (S)04popoo: なかやんは完全にファンガになってる
[351.824] X_March_X: 魚群なるお
[352.234] (S)mizzle7993: 魚群…？
[352.791] (S)くろりんだよ: 魚群！？
[352.897] garimaru6633: なるお解説良かったぞ！！！！！
[354.292] (S)ボブ牧原: 魚、群
[354.618] (S)れいんぴ: 魚群なるお
[354.634] (S)きそば: ゆけぇい！
[354.719] (S)serah_4351: がんばれー！！！
[354.916] (S)ピース様: 魚群
[355.525] red_q_q: 魚群！？
[355.813] Vakanori1: 魚群？
[356.662] cowpander: 魚群？？
[356.779] hool2423: 魚群？？
[357.104] あめちとせ: 魚群？？？
[357.168] roziurara: 魚群とは？＞
[357.355] puropion8: "魚群"
[358.083] hiroshimajin: 魚群！？
[358.367] こてがわわ: 魚群なるおきた
[359.008] ganeeee24: ぎょ、ぐん
[359.279] kurohata300: 魚群ってなんだ・・・？
[359.650] (S)白岳: 魚群に二重線引いといてね
[359.741] SuperMaguro: 魚群ってなに？
[359.756] サカザキ: 魚群？？？
[360.236] (S)yu_little: 魚群！？
[361.246] chino628: 魚群復帰ですか
[361.732] camel0141: シードならまだ先か
[361.954] (S)guntose: 魚群wwww
[362.178] (S)tamamowkun: 魚群？
[362.365] yamy_r: 魚群？？？？
[362.800] ocelotnotaisho: 魚群ってなに？
[363.036] hool2423: 無職だろお前
[363.124] (S)voltarensr: 魚群とは？
[363.198] (S)takumaru23: 去年のEVO思い出すねえ
[363.833] (S)gokan_sanpo: 魚群を背負え
[365.007] na__kag: 魚群⁇
[365.349] (S)Mr_Qsuke: がんばれ魚群なるお
[365.840] nia516: www
[365.953] あきがクラ: 魚群や！！
[366.175] hakobune_ghc: 魚群…？
[366.393] (S)どすこい3: 魚群・・・＿
[366.468] morimorione: 魚群 
[367.378] (S)きそば: 名前変わらんかったか
[367.628] nano0616: 大体わかった
[367.756] (S)いーすとまん: わらーーー！
[367.849] futtyan2: へぇ
[367.901] サカザキ: 知らない名前が
[368.673] teya1337: 魚群なるお
[369.224] bousui_jp: うおぐん？
[369.504] (S)まるたにこふ: 魚、群
[369.553] (S)simetu_no_maeba: 魚群の生き残り
[369.570] minato19923: 魚群詐欺
[369.863] yuuu0322: おや…？
[370.061] roziurara: 海物語
