[2639.437] r4gequitter: Is he teaching him hit confirms?
[2650.093] (S)Kanquez05: 知らなかったーーー！
[2650.543] じらふ: no
[2657.552] snowX23: すげー・・・
[2658.192] umechin7: こんな色々知ってたら絶対プロ強いやん・・
[2664.607] snowX23: 勉強になりすぎる
[2668.655] ryo330: ここはスト4から変わってないからね
[2675.375] 157655: やり込みすげー
[2690.345] taiga424: しゃがみ攻撃でハカンの掴み避けるとかあったなー
[2698.517] mysis96: のぼり中段が当たるのと同じ原理？
[2715.661] Akakuro6: ミカのしゃがみ中パン重ねとかもリバサしゃがみ技でかわせるんじゃなかったっけ
[2736.812] (S)kitagawakun: ストクロだけF式無くて起き上がりの１F目からしゃがめたんだよね
[2752.910] たぬきーですね: システム上起き上がりに一回立ち状態を挟むんだけっけ
[2760.104] (S)junichitanaka: 40分経過ッ！
[2764.575] sansiki205: 俺も街でサガットに出会ったらF式使お
[2788.096] umechin7: 一気に覚えるのは無理だから、メモっといた方がいいよね
[2799.307] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[2800.676] (S)kitagawakun: F式は要するに、肉体じゃない、お前の魂を殴っているんだ！的なことだよ
[2821.445] (S)chicken_kitchen_24: chicken_kitchen_24 subscribed with Twitch Prime. They've subscribed for 4 months! 
[2852.951] 鉢植: umeCat2
[2886.678] spring__thief: 正直今この段階でふーどがいないで成り立つ気はしないな
[2897.856] たぬきーですね: ふ〜どさんがプレミア連続優勝すればワンチャン
[2913.591] taiga424: 世界一のメナト対策！
[2915.179] snowX23: メナト希少種だから、刈らないでほしい
[2926.017] (S)Kanquez05: バーディーパーティーでメナトダルシムは終わってると聞いたが
[2931.765] hoehoeR: プレミア優勝で1000越えるよね
[2942.692] (S)Akakuro6: Akakuro6 subscribed with Twitch Prime. 
[2942.801] beastbeast: ダンゴさんとアンドリューにまかせよう
[2946.062] snowX23: 前はキャミィのアローも入った
[2951.727] カラフル63: なんやかんやね
[2986.164] snowX23: 立コパ、大パンも弱体しましたし・・・
[3005.273] たぬきーですね: メナト戦はトリガー3本でだいぶ前に出やすくなった
[3037.304] (S)Kanquez05: きついｗ
[3042.631] hoehoeR: Vスキルじゃね
[3073.949] qk10min: へー
[3121.294] crt0729: おもしろい
[3123.362] (S)桜風かなた: 先端は持続0って感じなのかな？
[3172.240] (S)kitagawakun: 攻撃の持続部分を潰したら元々カウンターになるんじゃなかったっけ？
[3181.905] へんたいりゅー: ダルシムもそうなのかな？
[3182.646] snowX23: メナト、クラカンしやすかったんだ・・・
[3184.409] taiga424: はえー
[3214.082] lucyjojo: ならない
[3216.841] lucyjojo: フラッグがない
[3232.985] taiga424: 普通に言う時の持続潰すって差し返しでしょ？
[3264.405] (S)dacho26: tcy7062 subscribed with Twitch Prime. They've subscribed for 2 months! 
[3271.222] (S)kitagawakun: 差し替えしは持続じゃなくて技後のスキに技刺すことやね
[3272.300] (S)JoseHardbody: umeYay
[3272.680] qk10min: 差し返しは硬直じゃないの
[3273.206] カラフル63: おもしろい
[3288.189] snowX23: なるほど
[3308.491] hoehoeR: めんどくせーｗ
[3317.040] (S)Kanquez05: じゃあ水晶なしの中Pは普通ってことなのかな？
[3330.581] snowX23: 今日からメナト側、コパ振れないじゃん
[3340.339] trumyolo: Mika's butts 
[3358.962] qk10min: 意外と殴り合って良いってことかね
[3374.372] vesitermbtl: それを知ってるメナトは歩いてくるんだよなあ
[3435.256] littlestory4: このゲーム、持続部分は原則カウンター扱いにならないです。ただメナトの中Pは持続1Fの攻撃が6回連続で出てる扱いなので全フレームカウンターヒットします
[3482.354] qk10min: なんだそれ
[3484.586] (S)sora_neko09: ふ～どの解釈があってるってことやね
[3494.677] (S)桜風かなた: ぐいーんと伸びるようでいてババババババ！って出てる感じなのか
[3501.210] vesitermbtl: どんな攻撃だよｗ
[3520.645] koretch: 凄い情報だなｗ
[3527.371] (S)bousquet: ふ～ど帰納法
[3528.331] kireboshibasyato: 1フレが連続で出てるのに単発でしか当たらないってもの良くわからない
[3553.838] snowX23: 大p振りにくいから、中p振るけど、中pもバレると飛ばれる・・・
[3588.467] (S)桜風かなた: 連打コンボ非対応の小Ｋが連続でつながらないってのと同じなんかね
[3593.018] Stay_Hydrated_Bot: @daigothebeastv 
[3623.038] snowX23: 水晶無しのメナト側はほんと怖い
[3693.541] vesitermbtl: 深い
[3701.984] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[3722.682] snowX23: メナト側は球飛ばし、急接近できる敵だとほんと怖い・・・
[3733.035] snowX23: 引き戻しを殴られる・・・
[3792.527] lucyjojo: っていうかたまがないときにＥＸショリュウケンできなかったっけ？メナトは？
[3797.756] lucyjojo: わすれてます
[3842.045] snowX23: 水晶ないとソウルスルー撃てません
[3924.214] vesitermbtl: まさかの新情報
[3926.422] Ramuneco: 対空ずらしに対応しにくくなるんやな
[3948.163] (S)takegohan: takegohan subscribed with Twitch Prime. They've subscribed for 4 months, currently on a 3 month streak! 
[3983.334] snowX23: 弱球も？
