[1034.954] njpw2017: リュウも結構な強化もらったけどリュウじゃないとだめな部分はあるんだろうか
[1040.565] laorao0: 滅殺
[1051.178] domontyan: やっぱ豪鬼のbgmはこれだわ
[1051.409] xylish777: スト6、朝ラグくない？気のせい？
[1052.083] misopotato: シャッカ！
[1057.275] haruton_3rd: かっけぇ
[1058.846] laorao0: きたあああああ
[1058.895] aru_0928: やっぱ阿修羅ってわけ
[1059.624] sn0wf0x3: 出たwww
[1061.348] saitou_yatu: リュウは10000だから
[1061.507] balthazar000: とりあえず百鬼や空刃は、今はしないかんじです？
[1062.905] kemuri0211: deta-
[1063.653] 日本語かな: 今日もこれみるのかぁw
[1064.990] androidand: つんええ
[1065.120] kaban1192: ２点
[1066.140] prisira: そういやうめちゃん阿修羅バグっぽいのあるの知ってる？
[1066.734] kidjuicebox_: wtf
[1067.146] misopotato: 朧！
[1067.596] ダイナソー龍崎: とったッ
[1068.716] hoshi_boshi_0: いっぱい技がでて楽し
[1069.075] kidjuicebox_: was that
[1069.448] nameless_774: 金剛とSA2こんがらがりがち
[1070.769] kidjuicebox_: sh man
[1077.256] 森のくろやぎ: 禊っておにぎり食べないと出せない？
[1077.804] なたねは: コマ投げって打撃で止めれる？
[1089.810] balthazar000: 灼熱してこ？
[1100.197] びっくすまん: 滅殺
[1101.052] prisira: 阿修羅さんバグで後半軸ズレあるみたいです
[1101.497] balthazar000: おにぎり後限定
[1102.429] njpw2017: 懲役食らった男
[1104.224] une3333: からの殺意リュウテーマ
[1105.167] 吉田じんぎ: jpワレ生きとったんか
[1107.340] enden7777: おにぎり完食🍙して❤️
[1115.604] fren1357: 豪鬼って強さどのくらいなんですか？
[1116.241] mogetasan: え
[1118.563] hamufuku: JPちょっと痩せた？
[1121.567] tmtm84: ｗｗｗ
[1124.598] balthazar000: 斬空二発、禊、金剛こくれつ
[1125.305] 森のくろやぎ: もぐもぐしないと出せないんかぁ
[1133.775] (S)ちぇんぷる: 昨日のコンボおさらいしない？w
[1135.631] ジャンクばっち: w
[1136.861] njpw2017: 刑務所はあまり良いもの食べれないし痩せても仕方ない
[1140.268] electric_gorilla: ぬうう
[1147.749] prisira: 阿修羅後半軸ズレしててコパと無敵透かせるそうです
[1152.412] 日本語かな: 対策
[1152.758] wasabi00009: JP細くない？ちゃんと食べてる？
[1152.777] kr4ftwerk: あぶねｗ
[1153.736] pohihi1234: アプデ入ってからマッチングおかしい？人いないだけ？
[1155.285] ダイナソー龍崎: 朧vsアブニマーチ
[1156.021] sn0wf0x3: 百鬼でいけないかなw
[1157.182] electric_gorilla: しょうりゅううめええええ
[1158.767] naryuhama: タンパク質足りてないか
[1167.884] androidand: うぬやるな〜
[1178.227] kaban1192: 平日だしな
[1178.741] balthazar000: 灼熱波動機能しないかね。難しいかな。
[1179.427] sei_6: 足ながくない
[1185.857] のぶとも: そういや、おにぎり食べると一時的に真豪鬼になってるらしいぞw
[1186.376] shirokuma1228: 殺意BGMかっけぇな
[1190.159] hara124: かっこいい
[1190.555] tsubomaru: JPは斬空キツイとのうわさだが
[1191.146] gorilla_osaka: かっこええ
[1191.556] 日本語かな: おほー
[1191.674] laorao0: 波動早すぎ
[1192.083] 吉田じんぎ: jp空刃落とせるんか？
[1192.821] sn0wf0x3: うまい
[1193.886] hoshi_boshi_0: かっけえ
[1203.675] 箸くれ: 昨日遅かったのに早い！
[1210.929] tmtm84: きたあああ
[1211.333] Penkunator: 杖が短くなったなー
[1212.906] 日本語かな: DinoDance
[1215.235] sn0wf0x3: おおー
[1218.411] balthazar000: キャミィステージきたねぇ
[1222.219] marvolo6: 豪鬼JP楽そうだな
[1225.047] nekodogneko: 斬空どうすんねん
[1231.715] (S)kuroannex: カー🐦‍⬛
[1232.834] nameless_774: はええ
[1233.185] takahashiseigi: JPは通常技に差し返ししやくなってるし滅びた
[1233.942] ahum108: え
[1234.214] sphere0315: 豪鬼、JPへの勝利台詞めちゃブチキレてるよね
[1235.618] prisira: ｊｐは豪鬼ゲロきついっぽい
[1236.179] masmas999: P
[1237.414] laorao0: つっよ
[1238.159] DonmaiJP: JP可哀そう
