[1669.158] ilm0806: 魔戦家だけ、好意を抱いてる人がいなくて可哀想だった
[1670.138] suginaka56: ウメちゃん勝つ気まんまんじゃん
[1670.200] masabonchicken: 強い妖戦士田中ってマジ！？
[1671.330] simple_geek: タイトル変わった
[1679.852] mutuizumi: うめの早食い目当てなんだが
[1683.707] 将門ゴルゴロ: きたわ
[1687.916] あずき3: ブロンズの田中参戦？
[1688.123] (S)ムエタイ: ウメちゃんいけそうなの？
[1689.386] (S)hawawawawawa: 写真のマイクなんか高そう
[1693.877] Papapadad: ウメちゃん早食いでもギネス獲っちゃう？
[1694.160] rindy08: 区間記録も気になるな
[1694.672] bearkirin: あと2分
[1700.575] nagilay1: 最初の一杯だけはウメｖｓＭＡＸのガチ勝負のはず
[1700.864] カエル君: あぶねぇ、まだ始まってなくてよかった
[1702.240] 将門ゴルゴロ: 場所はどこかな
[1703.080] kahaku91: 段取り大変そうだなーがんばって
[1703.887] (S)user81023: ウメちゃあああああああん
[1707.482] hirohash1: ときどさん猫舌でいけるんか？
[1708.729] simple_geek: 後ろのウメハラの写真って2012年ごろ？
[1714.413] (S)sfn27x: umeYay_HE
[1714.921] だわさワサワサ: ウメちゃんよりチームメンバーが心配
[1715.575] 1gochan: ルールは？
[1720.826] こうき51: ウメちゃーん
[1727.590] (S)ウィルスミスビンタレベル8: umeGrin
[1727.905] 2DQ_Kari2: ウメちゃんが早いのはわかってるから他4人に注目
[1731.158] itoooo_o: 奥にウメハラさんの顔あるのね 初めて知った
[1735.520] myonmyons: こく こく
[1735.792] tenyoutyai: ウメちゃん勝っても総合力で負けそうよね
[1740.587] mutuizumi: 海外勢も欲しかったな
[1741.485] nagilay1: ウメチームが一人２個、ＭＡＸが一人で１０個、汁まで全部飲む
[1744.397] (S)ムエタイ: ときどはガチで仕上げてきてそうw
[1745.023] takeiteasy55: とっきーはTOPANGA以降毎日あっついお茶を飲んで鍛えたらしいから行ける・・・はず
[1745.978] neojapan01010: うおおおおおおおおおおおおおおおおお
