[849.652] (S)soboroyoshihiro: 負けスタートか 幸先悪いな
[853.280] nia_yasuraka: こんにちは
[853.644] (S)tekiro800: 格ゲー界のレジェンド(ボヨンボヨン)
[855.242] 将門ゴルゴロ: 本気を出したウメハラは撥ねる
[859.924] triskeal: ゲーミングバランスボール売っていこう
[865.538] 斉川: ウメちゃんリーグ戦の相手決まったの知ってるん？
[866.613] hosp1990: ウメちゃんPC版で慣らさん？
[866.641] _こぺ_: ちょっとバランスボールポチってくるわ
[867.344] prototypeie: はねていけ
[873.982] domontyan: そう
[875.144] moch__ky: カワノにヒトボ貸したかいがあった
[876.812] onon_baobao: やぁ
[877.904] (S)Psychonautix_: Hey Daigo 
[879.114] balthazar000: そうそう
[880.169] jhoshua: ブラジルからおはよう
[884.011] えくぼ: おはようございます
[884.234] sh1zuku716: かわのにヒットボックス貸してたの？
[884.687] (S)dustblowers: どっちもとはメンバーか
[887.612] (S)nisikigoi7: カワノは借りた甲斐あったね
[889.565] tabibitox: ラシ3人いますね
[889.813] prototypeie: カワノやるね
[890.399] (S)shopynis: 餅さんシューティング配信はじめた
[890.411] (S)user81023: 麺おじありがとー
[890.529] hachi_mitsu: ずっと評価の高い二人だね
[891.361] domontyan: カワノにヒットボックス貸してくれてありがとう
[891.535] niemalsaufgeben: カワノ、りゅうせいがトパンガリーガー
[892.650] balthazar000: メンテおじありがとう
[894.670] (S)キタちゃん: ありがとうメンテおじ
[895.130] (S)user81023: 無難やね
[896.678] 将門ゴルゴロ: お
[897.598] (S)yamasa141414: 安心と信頼の
[898.243] danny_love_danny: メンテおじお願いねー
[899.124] moscat0c7: Ａグループはラシード多いな
[899.316] Kanquez05: メンテおじよろしく
[901.162] odaji2351: ウメハラは1R目はねるからな
[904.818] たあぼ0126: どっちも「とは」出身
[906.148] twtchid: メンテおじ頼む
[906.386] yasaijin_1: umePout
[909.650] (S)user81023: 加湿器かえしてー
[910.387] (S)afro888: トパンガのグループどう？
[910.420] balthazar000: １０年来の付き合いと噂のメンテおじ
[910.584] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[911.587] prototypeie: ウメちゃん一押しプレイヤーがあがってきたか
[917.000] bruceleaaf: Hi everyone
[918.701] oinari6: メンテおじとはやって
[920.306] (S)tekiro800: これをきにPCのシミュレーションゲームとかやってみてほしいなぁ
[921.821] Sorachan1144: 急がないと
[924.000] 鉢植: ねこのメンテもメンテおじの仕事？
[925.111] 不渡哲也: 今度は何を持って行かれるのか
[926.671] akiaki0612: gaminn復活？
[926.930] niemalsaufgeben: 最強ゲーミングpc頼むぞ
[927.370] suginaka56: こんにちは
[928.255] marcelo1912: おはようございます
[930.309] 将門ゴルゴロ: 報酬はウメちゃんのリップ
[933.074] (S)snooks55: メンテおじなら
[934.141] Kanquez05: ハンター時代からって言ってなかった？
[936.455] _こぺ_: 恋愛シミュレーション？
[938.244] (S)とおー: メンテおじも格ゲーやってるの？
[940.805] yamame: PCゲームええな
[941.711] the_vedo_show: KAGE atpRtsd
[942.625] balthazar000: kakugamein 作りましょう
[943.786] sobokumeshi: ウメちゃんなんでダイエット決意した 
[944.777] 斉川: 謎のメンテおじ
[953.954] あくえり244: ドキドキ文芸部
[954.056] (S)65vr39: daigo the balance
[960.916] えくぼ: 魔界村リュウ
[962.001] (S)non_violence: 出たキツい相手
[962.854] the_vedo_show: really good character tho 
[963.658] (S)booby_one: アキバでPC購入配信ってマジ？
[979.839] genpan1097: こんにち〜
[983.168] prototypeie: ウメちゃんは65kgまでいく
[987.513] (S)nisikigoi7: さそりさんもいいとこまで行ってたよね
[994.443] (S)non_violence: キツい相手がスキル2とか言ってなかったか
[1004.432] balthazar000: さそりリュウは硬派だった
[1009.174] danny_love_danny: 65kgっていまのふーどと一緒になるな
[1014.301] c5e2pzzlthnh: Rank 20546
[1020.022] (S)fj_honey: ずっと400番台うろうろしてたのに、あんだけやったらこんなにあがるんだなー
[1030.987] (S)user81023: 努力はチート
[1037.437] (S)zappnn: ウメちゃんて身長どれくらいだっけ
[1042.079] (S)afro888: TOP 8にカゲ居なかったね
[1042.413] (S)tekiro800: 花山薫が言ってた
[1042.970] odaji2351: ウメはスリムな方がいいよ
[1043.267] 斉川: ガイルの調整で立ち中P伸びたら嬉しい？
[1047.478] jurino: うめちゃん痩せた？
[1049.107] kanegon7237: こんにちはーーーー^o^
[1055.218] balthazar000: りゅうせい久保の決勝は面白かったですよ
[1056.811] akiaki0612: ふーどより痩せて圧かけよう
[1058.878] (S)faye814: おはよー 
[1066.856] (S)lambdartian: umeZen
[1067.944] neojapan01010: 久保さんもPC新調したいみたいに言うてたから一緒に買いに行ってほしい
[1070.372] Kanquez05: 今日なんか音が変だよ
[1073.602] (S)user81023: こーりんゆりあん？
[1076.857] moch__ky: いつメンｗ
[1082.621] (S)faye814: やる気勢
[1084.551] balthazar000: 癖の強い二人
[1084.669] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[1086.039] (S)tekiro800: ベテランの若手とかいう概念
[1086.956] impossibru: is there coronavirus in japan
[1092.339] balthazar000: それだけ頭抜けてるってことよね
[1092.843] hosp1990: のってる若手
[1100.621] (S)157655: トラボ惜しかったけどカワノ強すぎたねー
[1104.284] (S)kxiaofen: umeCatHope
[1104.486] danny_love_danny: 久保の配信気持ち悪かったww
[1105.229] gengoro1198: 久保惜しかった
[1107.995] lyo0822: トラボは凹んでそう
[1108.541] prototypeie: 練習部屋に行くといる二人
[1109.705] odaji2351: 実力あるってことよ
[1119.147] balthazar000: 久保惜しかったねぇ。
[1121.714] neojapan01010: トラボさん完封したカワノさん強かった
[1124.372] 何も知らないジョンスノウ: 練習部屋はやっぱ強いっすね
[1124.409] (S)tekiro800: しょうへい見たかったわー
[1127.051] moch__ky: ユリアン、コーリンって今回キャラもいけそう
[1132.961] Kanquez05: やっぱ対戦会は実力つくんだなあ
[1141.247] (S)zappnn: さすが練習部屋勢
[1142.557] (S)totomaru_chan: 昨年からのカワノくんの勢いがすごい感じる
[1146.423] balthazar000: つえーゲーセンみたいなもんだよなぁ
[1157.752] _こぺ_: りゅうせいはリセット前までコンボミスとかカウンター確認できてなかったけどリセット後めっちゃ冷静だった
[1158.648] (S)nisikigoi7: ハメコさんがカワノのキャッチコピー同いじってくるか楽しみ
[1161.708] domontyan: きええええええええええええ
[1162.585] NSISM: wwww
[1164.454] danny_love_danny: カワノ国内強いねー
[1165.260] slmeret: キエエエエエエエエエエ
