[864.983] mameusa: geroki1GG
[865.039] ocha72525: ないす
[865.276] (S)saaaawa: ないす！
[866.537] (S)megenai_suzume: ないすー！！
[867.956] (S)hirunaruna: geroki1GG
[868.142] (S)choco609: ないす！
[868.174] (S)suzusiroooooo: ないす！
[868.462] nano_gr: いえーーい
[868.956] (S)nyon_1026: ないす！！
[869.860] usagiraran: ないす
[870.050] mumindaniel: geroki1GG
[872.197] (S)38miyat: geroki1GG
[873.147] rainchan4: オート対空
[874.259] nano_gr: geroki1Hakusyu
[874.364] (S)ren_noze: geroki1GG
[875.658] (S)swimkinpop: geroki1GG
[875.868] こどら_: 不意の垂直に出せるのうらやましいわ
[881.079] 御伽の姫アマリリス: 勝ってるだけえらい
[882.758] (S)hirunaruna: そういう日もある
[887.025] (S)ren_noze: ずっと1500
[888.988] (S)ankoroll: イェーーーーイ💕
[903.313] (S)y_htomo10: BibleThump
[903.436] nano0616: エドはめくり攻撃に弱いよー
[941.278] (S)miyq0926: BibleThump
[941.452] d3akawaku: kof飛び強いから片鱗見えるなｗ
[942.277] (S)y_htomo10: ；；
[943.510] (S)romakkuq: （ ;  ; ）
[943.991] ocha72525: ふぇーん
[944.590] (S)okiyoo000: geroki1Kao
[944.647] (S)hirunaruna: （ ;  ; ）
[945.114] mumindaniel: BibleThump
[946.444] (S)adaa_udn: (；；)
[948.708] (S)swimkinpop: ひん
[950.016] みなみましまろ: モダンの悪口言え
[950.922] (S)y_htomo10: 悲しいよ〜
[951.983] soar1031: ずっと惜しい
[953.373] mameusa: BibleThump
[953.631] (S)nijivamp: BibleThump
[954.858] lyee_ox: いつの間にかまた始まってた
[956.574] (S)ryoulings: geroki1P
[957.502] (S)nyon_1026: がんばえ〜；；
[958.997] (S)risusiru: 惜しい
[961.107] easysy777: 今一番魔境だしな
[965.108] nano0616: 普通にKOF14しない？
[967.465] (S)miyq0926: 猛者しかいねえ
[969.686] (S)tapitapi0114: ひーん
[971.172] (S)わかめ__777: geroki1Kao
[971.685] soar1031: 楽じゃないよ
[973.059] (S)romakkuq: やめないでね
[975.048] nano0616: 今リセットされてるからな
[978.727] hoamix: はじめまして
[979.406] (S)hirunaruna: みんな強いんだなあ
[982.833] neji2102: ハイタニコーチングきますか？
[996.783] (S)ankoroll: なるほど…
