[91.959] tm951amo: batoraShowtime
[92.033] (S)ラザニア: もう遅い
[92.092] (S)ムクムク郎: 家事←それをしません
[92.211] reze_p6p6: よお
[92.672] sudachi161: DinoDance
[92.850] すこすこのおきな: 切断
[92.868] yamanma: よお無職
[92.877] jinseiken: よお無職
[93.078] kamedama: ニコ生やってたのかお前
[93.176] wacky0000: batoraSudachikunAnimation
[93.291] あるごんぬ: BloodTrail
[93.704] ayataka1201: 999勝しろ
[93.890] dhinodhino: 名を名乗れ
[94.036] holly_923: BloodTrail
[94.257] apple_pie0827: ここでは名前を名乗るのがルールだろ
[94.524] あんくう: TwitchConHYPE
[94.556] sigmataityo: BloodTrail
[94.757] プラマリ: BloodTrail
[94.758] zuborazabora: BloodTrail
[94.938] 3lolow: BloodTrail
[95.297] (S)letsplayomori: 家事
[95.410] naan1135: 母乳スタジアムってなんなの？
[96.093] (S)potenzak: BloodTrail
[96.174] geri_omutsu: サブスクください！
[96.187] ぺぺ2: 切断らしい
[96.746] choco_ptotq: ほら、バトラ、ついガキは対立してくるだろ
[96.962] (S)turunyan83: ニコ生から逃げるな
[96.977] e_e_e_q: ばとにゃんきたあああああああああああ
[97.188] やまだいさお: なぁバトラ8時からにしないか？
[97.414] tamaco_5: この配信なんか加齢臭しない？
[97.658] (S)kqreh: やっぱりニコ生じゃよ👴
[97.724] あるごんぬ: 切断対策ないらしい
[98.030] ソナタ: ニコ生ならなぁ…
[98.132] (S)不器用かつ貧乏: BloodTrail
[98.533] (S)しーしーしー: 若林
[98.600] (S)potenzak: batoraSudachikunAnimation
[98.621] sess_y: 実力な
[98.747] oniku_sinya: 切断だよ
[98.763] (S)コラ塩: 切断してるだけ
[98.984] suger4628: punAshley
[99.032] (S)qmapa: ちがうぞ
[99.087] ジャージャー麵: あ
[99.138] natto0141: いや？
[99.155] (S)neetbd: BloodTrail
[99.207] jigadasanaide: BloodTrail
[99.231] foxsoxrolex: ニコ生444444444444
[99.233] pikuminn2B: ニコ生でやってたの？
[99.285] でぅ1109: よお
[99.775] nezar77777777: よお無職
[100.038] kamedama: 自力だよ
[100.286] neon00143: 気合い
[100.385] あんばー: batoraSudachikunAnimation
[100.684] (S)黄金郷ツナマヨッチ: よぉ、ミニミニゴンザレス
[100.706] (S)neji_ki: いや？
[100.791] yff32415: batoraSho
[100.965] (S)lemongeruge: batoraWakabayashi
[100.998] やらない夫です: 無職なんだろ
[101.007] starkk314: ニコ生とかいうオワコン早く捨てろニコ生とかいうオワコン早く捨てろニコ生とかいうオワコン早く捨てろニコ生とかいうオワコン早く捨てろニコ生とかいうオワコン早く捨てろニコ生とかいうオワコン早く捨てろ
[101.290] coleus1024: 切断すれば連勝途切れない
[101.301] (S)フェネル: お前が荒らしの要因じゃん
[101.353] (S)letsplayomori: 母乳スタジアムってなんですか？
[101.397] flowergameman: DinoDance
[101.526] zyagabee: 切断
[101.638] kareha1220: BloodTrail
[102.163] (S)potenzak: BloodTrail
[102.299] (S)ajtq_: batoraUmasugi
[102.725] iota_kappa_jp: 目指せばわかる
[102.816] 桜叶: BloodTrail
[102.847] masayuki0418: ニコ生から！
[102.900] みそカツうま男: よお無職っさん
[102.962] (S)バターのカルピス: batoraSudachikun4
[102.998] 鯛で海老を釣る: 実力な
[103.070] Turuturu3: 勝利数書き換え？
[103.243] (S)momor1n_b: よおニート
[103.362] gloryouy: よお
[103.933] あたりめ666: https://kou-ryaku.net/SuperMarioParty/チャレンジロード
[104.140] aisuoish: ニコ生やめろ
[104.184] _いちか: ニコ生4444
[104.494] gobouchan1234: 無職がマリオやってて草
[104.560] あーたん8: 切断
[104.649] reihono: 4勝・・・w
[104.718] (S)potenzak: batoraSudachikunAnimation
[106.013] あるごんぬ: 切断で999余裕らしい
[106.030] (S)不器用かつ貧乏: ニコ生4
[106.227] marou_89: marou_89 subscribed at Tier 1. They've subscribed for 21 months! 
[106.736] ahiruch: ガチ勢な
[106.758] (S)potenzak: BloodTrail
[106.944] 炙りエンガワ: 切断したら負けにならんらしい
[107.863] ame319: 失礼だろ
[108.295] (S)ラザニア: RTAプレイヤーじゃない？
[108.355] atelier_totori: 切断すると負け扱いにならない
[109.008] パﾉﾚバ: よぉ
[109.051] (S)potenzak: batoraSudachikunAnimation
[109.249] kareha1220: BloodTrail
[109.542] kinsan222: 負ける前に切断で無効
[109.734] galan_do: ニートに用事はない
[109.978] sigmataityo: 仲間内でスナイプ
[110.641] (S)みやぢと申します: すだち軍全軍突撃！
[110.902] (S)リスナーってほんと金づる: ニコ生4
[111.061] unununchiwww: よお
[111.646] (S)potenzak: BloodTrail
[112.067] (S)SMiTh0817: 切断すると継続できるぞ
[112.164] usagisan00: 見てたけどニコ生でやる意味ないよ
[113.144] agitonokyojin: 義務マリパでｸｶ
[113.683] トロンケン: 負ける時に切断
[114.016] ｵﾆ: 過疎ってるよ
[114.232] ぺぺ2: w
[114.252] あたりめ666: w
[114.263] (S)potenzak: batoraSudachikunAnimation
[114.646] すこすこのおきな: 切断すると負け判定消える
[114.647] (S)neetbd: おまえもしろ
[114.901] (S)korsaken: ｗ
[115.228] ミルフィーユショコラ: 勇気の切断
[115.942] ayataka1201: 嫁をギコギコ
[115.962] shikura15: ガチ勢を甘く見るな
[116.144] rin182949: w
[116.706] panotami: ｗ
[116.750] (S)mirulia33: スパムみたな名前ばっかだな
[116.970] ねね紅茶: BloodTrail
[117.151] zasiko: w
[117.509] (S)しーしーしー: ガバで草
[118.022] oryou2: チートだとは思うが
[118.157] (S)バターのカルピス: あ
[118.226] arco_chan0: ｗｗｗｗｗｗｗｗｗ
[118.361] あたりめ666: 終わりだろ
[118.487] alggtr: twitchのガキ見とるか！？
[118.624] (S)azatohenry: ｗ
[119.245] scarlet_dot: ニコ生とかいつまでやってんの？専業になったんだからgmサイトにリソース割くのやめなよ
[119.257] hirotomo126: ガチるのか
[119.395] 鯛で海老を釣る: やれ
[119.634] cewoin: よお
[120.201] (S)korsaken: すげえ努力してるやん
[120.405] kein_ntt: 昔のポケモンやん
[120.468] pikuminn2B: w
[120.852] かんきつ系: かんきつ系 subscribed with Prime. They've subscribed for 13 months! 
[121.025] zuborazabora: w
[121.410] okometabesugi: ｗ
[121.574] (S)neji_ki: それやれ
[121.955] xe40tfvdmuxo1yj: もういないよ
[122.407] kamedama: 闇が深すぎる
[123.530] (S)repo_10x: ニコ生やってんの
[123.725] foxsoxrolex: 4勝でｸｶなんよ 
[123.941] chubbydove: えぇ...(困惑)
[123.948] (S)turunyan83: 魔境だよ
[124.553] トロンケン: ざっこ
[124.651] バトラ大好きティアーモ: w
[124.703] sudachi161: 賭け
[124.725] saturate_ray_: ポケモンBWかよ
[125.185] けめ: ｗ
[125.388] ぺぺ2: 春日
[125.622] natto0141: w
[125.649] 開拓者56: 賭けありますか？
[125.840] (S)qmapa: ざっこ
[125.905] flowergameman: BloodTrail
[126.283] obutsu_man: ざっこ
[126.843] 鯛で海老を釣る: ざっこｗ
[127.472] yokogeko66: ｗ
[127.525] gencha_n: よお
[127.526] _いちか: 春日
[127.576] (S)human238: human238 subscribed with Prime. They've subscribed for 3 months! 
[127.678] パレスキ: BloodTrail
[127.709] (S)バターのカルピス: ざっこ
[127.787] meeeeeennnnn: きたああああああああああああああああああああ
[127.907] kamedama: よっわ
[128.042] hstrls: うお
[128.127] (S)monouliszt1: 4 
[128.321] chubbydove: ＫＡＳ
[128.573] talonflame0663: ポケモンｂｗじゃん
[128.754] mintia765: ざっこ
[129.144] pikumin11: 春日
[129.177] (S)white6530: ざっこ
[129.181] (S)しーしーしー: ４
[129.183] junyuuuuuu: 4
[129.344] dhinodhino: ざっこ
[129.344] guerui: ざっこ
[129.360] zuborazabora: 春日
[129.594] coleus1024: KAS
[129.817] kurobakaitou1412: よっわ
[129.868] sigmataityo: BloodTrail
[130.388] (S)oshibechan: 春日
[130.445] 古のインターネットに取り残: 正解
[130.793] Bottsura: ざっこ
[130.867] (S)yukimaru0701: batoraKirai
[131.025] arco_chan0: 任天堂ってなんで負けてるやつに優しいんだよｗ
[131.331] suiso41: 春日
[131.467] (S)不器用かつ貧乏: 4 
[131.530] (S)mazusou92030293: すくな
[131.712] reze_p6p6: ざっこ
[131.952] oryou2: さぁ賭けの時間か
[132.453] (S)chienpao30: 春日
[133.024] natto0141: 雑魚がよお
[133.254] (S)potenzak: カスニート
[133.471] (S)みやぢと申します: batoraValo
[134.086] umiumipkm: よぉ
[134.322] suger4628: そうだね
[134.481] tsubaki_notes: １０連勝するまで寝れない配信ですか？
[134.946] choco_ptotq: 37760位！？
[134.983] reirei_1130: KAS
[135.081] (S)qmapa: かけきたああああああああああああ
[135.243] agitonokyojin: 4勝👈うおw
[136.801] kein_ntt: い、くわ
[138.241] foxsoxrolex: そうだな
[138.533] valora324: いくわ
[139.098] kita_akari67: い、くわ
[139.312] (S)white6530: 勝つか負けるか賭けしてくれ
[139.515] nezar77777777: い、くわ
[139.621] yys000: 賭け
[139.663] shikura15: 賭け賭け賭け賭け賭け賭け賭け賭け賭け賭け賭け賭け賭け賭け賭け賭け賭け賭け賭け賭け賭け
[139.666] momoo_mgmg: いくわ
[139.697] rin182949: いくわ
[139.750] DemifiendLv99: 世界37760位の男
[139.765] mahuyu372: 毎回10勝できるか賭けしてくれ
[140.005] 鯛で海老を釣る: ぷーちゃんまだやってるかな
[140.180] thunderrollin: 昼に毎日ニコ生で配信してるのバラさないで！！昼に毎日ニコ生で配信してるのバラさないで！！昼に毎日ニコ生で配信してるのバラさないで！！昼に毎日ニコ生で配信してるのバラさないで！！
[140.320] やまだいさお: スナイプ祭り
[140.387] foxsoxrolex: い、くわ
[140.548] choco_ptotq: 3桁位目指せ
[140.576] アルカン_: これって連勝？
[140.604] oniykids_x: いくわ
[140.610] やらない夫です: 37760位っさん...w
[140.708] かまめし1523: いくわ
[140.772] (S)goldenglobetoritani: 過疎だからスナイプし放題
[140.802] oniku_sinya: 切断した上に1000回勝つまでやってるの普通に病気だよ
[141.103] valorant_sukuitai: レート1500とかだろこれ
[141.160] ぺぺ2: ざーこ❤️
[141.183] (S)shamanstrip: ざぁこざぁこ❤️
[141.991] emomaru24: 春日のカス
[142.243] (S)letsplayomori: 純いくわ
[143.385] ~MISSING_COMMENTER_INFO~: い、くわ
[143.434] (S)コラ塩: 自己べでるか賭けよう
[143.641] sess_y: 切断で4勝？
[144.166] オデッセイ: PikaRamen
[144.422] パﾉﾚバ: いくわ
