[5016.959] msnbt: プロ動画勢かｗ
[5017.555] hannibal097: 古参で草
[5017.640] Waka19shachi: 動画歴10年。。。！？
[5017.642] mukade3: 今帰ってきたら最高に興味深そうな展開がｗ
[5018.455] (S)shochann: ガチだとｗ
[5020.989] tsubuchoco: ガチ動画勢ｗｗ
[5022.868] salad_maki: おー
[5023.285] metoro3: ガチ動画勢
[5023.883] tarako7016: 動画ガチ勢じゃねーかw
[5024.206] sakuyo13: めっちゃ見てるｗｗｗ
[5024.433] muryokuka: ガチ勢じゃん
[5025.156] Planetrollcall: ガチ動画勢ｗｗｗｗｗ
[5025.734] mochaboi: jiyuner i feel happy from this y
[5027.103] psionicpsi: ガチさん
[5027.602] shibaponz: 結構鮮明におぼえてますねぇ！
[5027.723] (S)エイジ_: ガチ動画勢ｗ
[5028.045] ちゃんたく: これはプロだ…
[5028.312] カエル君: 知識ありそう、
[5028.640] (S)AtomPeter: 詳しいｗ
[5028.678] unidentified456: ちゃんと見てるｗｗ
[5028.853] sayuha1: おばちゃんパーマLPもガチ
[5029.868] (S)danny_love_danny: 2011って言ってあげて！
[5031.104] watafork: ガチ動画勢で草
[5033.435] (S)natoooji: ふ～ど優勝・・・
[5035.791] pekot4sjapan: わかる！俺も同じだw
[5037.717] 寝るポイント: そこはふーどが優勝した時って言っとこ！
[5037.821] Planetrollcall: 大抵のこと知ってそう
[5040.242] phan_tom_2015: tokido fans Pog
[5041.465] adamsmokey: 号泣はせず
[5041.980] masabonchicken: 古参動画勢や…
[5042.004] maemaemaema: すげーー
[5042.475] FGC_2nd_Impact: LUL
[5044.177] sasakumadrops: やるなっ！！ｗ
[5044.732] salad_maki: 詳しい
[5047.228] hocyan: ときどのおかげ
[5047.875] sirucchi: いいことやん
[5049.618] (S)シュレ: すごかったんだね、あの優勝
[5051.634] tarako7016: 俺らじゃんw
[5051.639] chopapaya: gokus voice actor
[5052.032] deracine711: ありがてー
[5052.158] ちゃんたく: 行動力の化身
[5052.340] unidentified456: 画面すげー見えてる勢
[5054.677] (S)fatcatz: ヌルポインタさんってマジ？
[5055.324] (S)kenio05: ガチ動画勢
[5055.777] muryokuka: 折笠さんより知識ありそう
[5057.081] こんふれ: 挙げ句の使い方
[5062.115] サカザキ: 大事にしたいねこういう方たちは
[5063.114] maemaemaema: 先輩と呼んでいいですか？
