[694.997] (S)kumatedd: 漢字の勉強！？
[695.015] ta3z_: 2018/07/19 20:13
[696.177] CapsuleEntertainment: i hate that lol. no way to know what their using
[702.058] (S)amicitia07: ボンちゃんも買って漢字勉強しろ
[707.330] always_1_3: まだ分かる名前のところだからね
[707.453] ヌキンクス中年期: ウメハラいないなら見ねーわ。じゃーな
[707.884] kanabuso: ダッシュ慣性教えないと
[710.254] kurage88: ・・・
[711.368] inoitami: このゲーム売れればやるけど・・・
[712.512] fliege1515: 基本知らず？
[713.607] bobumakihara: あれ？
[715.283] cerometal: プロ「あー、わかった、めくりでしょ」
[715.504] rofuty: ゲージながら勉強できるってマジ！？
[715.638] (S)kemononeko: むずい
[717.054] nanaushi: 慣性しらないと無理じゃ
[717.353] shibaponz: 難しくない・・・？
[719.166] (S)kitagawakun: ププププププププロ・・・？
[719.454] tyapa95: ん？
[719.885] Anpan_umai: ダッシュおしえないと
[721.477] (S)kinpren: 見本用意しろよなぁ
[726.757] (S)kemononeko: プロでもできないレベル
[729.241] risutaa3: どんだけむずいの
[729.325] (S)domontyan: ふ・ふ・ふ・ふ～きゅん？
[729.335] always_1_3: プロは途中で編み出すと信じて
[731.094] tebasaki0628: コマンド表ないのは・・・
[735.716] Mordexai_: So I'm guessing the game did well since Rosso & Pullum are coming out for free. As well as Arcade mode, right?
[738.029] cerometal: さすが。理解が早い。
[741.340] nhhajgd: しゃがみ
[756.716] unknlai: I just want a steam release..
[759.013] shibaponz: このコマンド通りじゃつながらないの？
[759.817] kitkat0315: これ謎解きゲーなの？
[762.200] (S)kanpell: umePout
[765.725] okitotoro: プロもできないならやる人が・・・
[766.849] contami_san: 元委員長助けて
[768.233] (S)kemononeko: パズルゲーらしい
[775.241] inoitami: なんかわかりにくい
[783.346] (S)kumatedd: パズル…パズル…？
[787.279] KA1R1: atpLook
[787.826] erenyeager845: 投げダサすぎwww
[791.303] (S)kinpren: お
[792.572] unknlai: can I can just upgrade my computer, don't need to buy ps4 for only this game..
[793.228] fliege1515: ヒットストップ短すぎる
[797.251] inoitami: 上級者向けっすね
[799.025] (S)ほげええ: 投げ…
[799.763] risutaa3: むっず
[803.277] dcdryuya404: LUL
[808.829] bobumakihara: あっ・・・
[813.307] (S)kemononeko: プロでもできねーだろ
[813.644] mukita0000: 暗号解読
[815.236] (S)domontyan: ときど見てるのか
[815.604] always_1_3: 後3分か クリアできそうだな！！
[821.070] fliege1515: ｗｗ
[822.087] (S)kitagawakun: ときど様が見ておられる
[823.938] klein04dec: チェーンコンボあつい
[826.644] kamisimeru: 何でつまづいてるかちょっとずつ解説して
[828.249] 二丁目: 記憶力が試されるゲーム
[828.414] (S)ほげええ: 左にときど
[829.141] kurage88: とっきーもチャレンジしてほしい
[831.062] rapid881000: 技名よりコマント出して欲しいよな
[834.518] Mordexai_: @unknlai Game needs to be a continued success.
[836.676] TurtleMonkey1410: tokido 
[838.946] Anpan_umai: ナムコだっけか
[840.376] mukade3: あー版権
[842.168] kurage88: ほんとぉ？
[842.499] (S)kemononeko: 特許とかの
[845.938] ta3z_: トロフィー
[850.466] ~MISSING_COMMENTER_INFO~: トレモはなー版権がなー
[851.335] kanabuso: さすふー
[851.933] okitotoro: コマンドだしは特許なのか
[852.324] always_1_3: こまごまとした特許ほんま
[853.876] (S)kinpren: トロフィーゲット
[855.756] mukade3: 特許やっかいだよなほんと
[855.758] psionicpsi: さすがやな
[856.695] cerometal: さすふど
[856.959] (S)kitagawakun: トレモとかもめっちゃ権利厳しいらしいね
[857.009] KA1R1: @daigothebeastv thanks for doing this.
[857.687] kamisimeru: プロ
[858.891] King_Fuudo: 業界最注目の覇権ゲー配信に夢中みたいだな
[860.817] (S)Ritu654321: 格ゲーは特許ばっかやぞ
[861.520] fliege1515: うおーい
[861.569] shibaponz: うんま
[861.620] qq_taro: プロ
[862.112] 二丁目: プロ
[862.318] toyboze: すげーわｗ
[862.684] (S)lucita_lapita: さすが
[862.970] mukade3: おおおおおおおおおおおお
[863.018] cerometal: 888888888
[863.039] fortis600: すごい
[863.083] nanaushi: さすが
[863.496] contami_san: はいプロ
[863.656] kurage88: やーーーーるよ
[863.902] thousand_masao: おおおお
[863.971] ta3z_: ソフトウェア特許、全て無しにしてくれないかなぁ
[864.458] mukita0000: プロ
[864.669] kanabuso: はいプロ
[864.980] (S)hiisan: uooooooooooooo
[865.200] (S)domontyan: おおお
[866.036] (S)kinpren: ｱｲｲｲｲｲｲｲｲｲｲｲｲｲｲ
[866.111] (S)ほげええ: さすが
[866.484] babaVulcan: おおおお
[866.801] (S)kemononeko: さすがプロ
[867.934] nabenights: すっげ
[868.833] AngryOTK: PogChamp
[868.990] always_1_3: はいすば からの鬼問題
[869.015] (S)rt340: これはプロ
