[606.996] (S)オルコッ党員: 内部レートは更新されるかもじゃん！？
[607.042] (S)桂歌丸: ま、まぁ数字が２０増えるかもよ・・・？
[607.147] kenshi0331: 適正！
[607.351] (S)びんず: bro!
[607.353] bwjwkkk: おめえの住所はここだ
[607.599] 趣味垢0817: タンク？
[614.130] (S)童貞卒業丸: 伸び代変わっとるかもしれんやん
[617.490] すおう24: タンクやろう
[619.236] (S)yaminoiiii: naru04Ohayu
[619.444] (S)TNTNBRN: なるお！タンクはまだ認定されてないぞ！
[621.989] nx009s: また8を積み上げる生活
[622.119] ryoptap: 何をそんなに楽しみにしてたの？
[625.880] rorobom: なるお上手いから直ぐ上がるよ
[627.751] (S)サカザキ: naru04Nltu
[627.880] (S)lovepeace369: あんなに期待させといてねえ？
[629.452] norumon: ベンチャー使えるようになろうぜ
[630.036] (S)hiaaru: 内部レートが変わってることを祈ろう
[632.406] chonbo111: ぷぷぷ
[634.676] (S)くらげ1030: 今シーズン、気になるスキンがあったら練習場で試着できるようになりました
[636.783] ハゲエギル: topang1Mago1
[639.537] hima_sugikahun: 賭場開いてくれ
[642.622] poyoyon915: 9増えるかも
[642.837] トメちゃん: 🦏の河原見にきました
[642.936] fuyuki6660: naru04Ohayu
[643.180] (S)きーた叔父: おはよーです！
[645.789] (S)カオカザリヒメフクロウ: タンク向いてると思うけどな
[647.898] komay38: レクサイかよ
[647.985] 趣味垢0817: 歴史を刻もう！
[650.925] (S)桂歌丸: ちなみに新キャラ事前にナーフされて弱いらしい
[654.691] Poise1010: シーズンが変わったとしてもなるおは変わらんぞ
[658.390] (S)もんもんもん: 野田さんの応援してもらおう
[660.160] (S)えぴっくさん: vc入ってますよ
[663.442] みや1021: そのキャラ楽しそう
[665.073] I_Dislike_U: すきっ歯おばさん
[667.679] (S)うるしーー: なるちゃん今日こそ銀の景色見してくれよ
[668.765] a1a2a3aa4: 僕も賽の河原状態だったことあるんですけど、しばらくやり続けたら普通に戻りましたよ
[670.130] (S)TNTNBRN: 近距離型っす
[680.865] びーさん_: モンハンやん
[685.997] ふーみんん: スプラトゥーンかな？
[688.202] jennifer2penguin: キャラ解放とかなくなったんだっけ？
[688.235] (S)ｸﾙﾐｯｯ: むずそ
[689.091] sein_xx: 使いにくそう
[693.688] 趣味垢0817: なあなるおそんなキャラ使うな、男なら銃ぶっぱなせ！
[695.605] (S)桂歌丸: ディアブロス
[697.285] (S)concerto0: そいつ格ゲーキャラだからコンボできないときついよ
[700.065] トメちゃん: E使わないからボイスライン当てるといいよ
[700.797] norumon: モグラしながら突進できるよう
[703.926] bwjwkkk: なるちゃんシナシナじゃん
[704.565] syouya13: ２，３シーズンくらい前いくら勝ってもブロ５からあがらないバグあったしなるおもまだ正当に評価されてないだけかもな
[708.734] (S)たべっ子水族館: これつよいか？
[712.187] (S)decembersatoshi: decembersatoshi subscribed with Prime. 
[722.928] (S)桂歌丸: だいぶうざいと思う
[723.222] (S)くらげ1030: なるおさん、”上”で待ってます
[723.469] (S)LuTiaa: 声でシナシナ具合がわかるの草
[724.196] (S)うるしーー: アプデで壊れたの治ってるかどうかだな
[726.970] 趣味垢0817: ロマンがねえや
[733.009] (S)4tap_py: これコンボで200族ワンパンマンらしい
[741.434] (S)うるしーー: そいつのウルトすごいうざい
[742.153] masa_honmono2: はいおはゆー
[742.603] (S)たべっ子水族館: ディセンバー読めるんだ
[748.199] (S)桂歌丸: 今って200族いるんだっけ？
[758.580] (S)カオカザリヒメフクロウ: december の意味わかる？
[765.087] (S)オルコッ党員: ちょいちょい英語よめるの驚くよなｗ
[766.004] komay38: 人の親だぞ！
[766.233] (S)TNTNBRN: 読めてえらい！
[767.666] (S)桂歌丸: え
[768.388] oiyoiyo6118: ｗｗ
[768.552] komay38: え？
[769.061] ひらしゅう: 前のテストから弱体食らったからどうかな
[769.247] びーさん_: ええ…
[770.564] (S)たべっ子水族館: え
[771.910] (S)ys_044: え
[772.356] (S)童貞卒業丸: え？
[772.966] pacifico35: 強いけどトリッキーよなこいつ
[772.983] (S)たべっ子水族館: こわ
[773.135] (S)六角橋アキ: おはよっす
[774.296] (S)lovepeace369: んっ！
[774.693] hakobune_ghc: え
[776.144] masa_honmono2: 読めないだろ
[776.318] (S)カオカザリヒメフクロウ: だろうと思った
