[287.573] rupx01: オペは苦手なのか？それだけ教えてくれ！ 
[288.127] Yuuki_thurstone: DHは何者なんだ
[289.027] メガドッグ: オペ当てて安心させてくれ！
[290.133] 19472928: アテがインゲームコーチなのはなんで？
[290.686] alesso6280: メインステージでもっと強いお前を見してくれ
[291.864] nameless0112: じゃあメインステージはじじいどもキャリーしてやってくれな
[292.024] AINpt: サンセットMVPだろ
[293.084] tanukitsune44: 1MAP目アブの成長みてオーナー大喜びだったぞ
[293.286] gigicugig: 1マップ目よかったけどな
[293.870] リン0811: マン兄と魔獣がすごかった。
[294.050] 椎名さん: 不死鳥構成くっそおもろかったぞ
[295.856] bakasa4: アブのフェニ良いよね
[296.040] maigo91: アブのコールよかったよ
[298.097] kuccchane: 超楽しかったよ！！！！！！
[300.056] ryitox: やあ
[300.093] sugoi_hayasa: おいおいおいおい
[301.183] utaro987: 不死鳥構成についてききたい
[302.210] 0303m: メインステージおめでとう！
[303.073] aa19366: お前ジェットが似合ってるよ
[304.680] odaikon77p: 嬉しいよお；；；；
[307.355] 1992mitu: ateコーチのタイムアウトやばくなかったか わんちゃんあれのせいで負けてたまである
[310.103] わいせい: アブの真価はオフィスが出来てから
[310.576] kusudama: アブのフィジカルが覚醒すればアセンション勝てます
[311.192] goki0101: クレスト強かったなー
[312.301] sugoi_hayasa: おめでとう！！！
[312.456] chochochoko: アブがいてこそのムラゲ
[315.431] fallguizi55: やあアブちゃんメインステージおめでとう！
[316.223] 30over: でも昔に比べてレイズ上手くなったよな、ウルト以外
[317.002] poteti5111: お前ら構成おもろすぎだろ
[318.920] さすらいの旅ガエル: 俺バインドの最後らへんお前が苦しそうにしてるの見てまじ泣きそうだったよ
[322.313] まよなかの: シャワーって人ぶっ564ゾーンなん？
[323.722] tmoil677: やあ
[324.534] matan1203: やあ
[325.005] maimai_mm: おつかれさまです！！！！！！！
[325.923] (S)uuu_milk: アブ！メインステージでまた成長しちまうな！
[329.262] darkosakana: しょうしコーチいなくなっちゃったの？
[329.792] knstiii: 昨日のACEもおめでとう！
[330.810] usuneko417: もっと胸張って喜べよ
[332.684] hanasoora: 自信持て、９割エアプやぞ
[332.874] onigiriokaka: いや？
[332.928] maxmokou: ないすー
[333.505] tikuwa2911: ショウシはやめるのか？
[334.218] naflv2: 何で今回ateだったのか教えてくれ
[335.226] K1TTaKq: DHやばかったな
[335.476] amedama123: いつ覚醒すんだ？
[335.541] utatane107: いーやあれは大キャリーだよ
[335.846] anago2020: おめでとう🎉🎊㊗️
[337.400] pastaduce: ミリオン強かった
[339.591] ｱﾝﾇｺ: みんな活躍してた
[340.206] 虫歯5本: しょうしやめんの？
[341.391] cctgsw: うんこちゃんのコメ欄見てて、お前が一番期待されてんだなって思ったわ
[342.399] bbbblueg: フラッシュキルって本人そんなに手応えないんよな
[344.016] kawase73910: shoushiってどうなったの
[345.380] 0303m: いーやキャリーだね
[346.551] meishou_poichi: 今日メッチャ良かったけどオペレーターだけは改善してくれｗ
[347.314] decodecco: 筋トレしろ
[348.873] 残業中: 緊張なのか？
[350.191] banana_9935: アブはまだ若いからしゃーない
[352.406] wata_1717: おつかれー
[354.195] fumi6372: メインステージおめでとう
[354.702] panpianissimo: コメントに効いてる？
[354.901] かわせさん: 漠然と違和感ある感じ？
[356.070] maxmokou: acs300だったよ
[356.802] buk4i: 泣くなよ
