[484.838] (S)いーすとまん: なんでお 、つけた？
[486.449] (S)もじゃ変人: ”お”はついてないだろ！
[486.606] hinatazaka46_hinanoosi: カワノさんもアル中治すために禁酒中らしいです
[487.401] (S)ももしゃん88: あたいもこれから仕事始まるから体調管理しっかりせねば
[493.870] 毛むくじゃらのコリー: なるちゃん、マノンの調整おもろそうじゃない？
[498.054] red_bird_oo: ｗ
[499.947] tukune51: ぶらん？ぼろん派
[506.508] (S)もじゃ変人: ワンチャン力すごくない？
[508.291] hoemin247: え
[508.328] 毛むくじゃらのコリー: SA3ね
[510.208] (S)ynoyeu: らしいね
[510.403] (S)ごまたまご: ジェイミーじゃん
[510.426] puyo2007: ロマン
[510.485] (S)もじゃ変人: マノン
[516.758] (S)olka_kakuge: てか今まで上がんなかったんかいって思った
[517.467] (S)TNTNBRN: そんな卑猥な名前じゃないです＞＜
[519.101] kt_0910: そんなカジュアルにちんちん言う配信ある？
[524.962] みや1021: sa3弱かったから良い調整だよね
[525.120] (S)みなぷ080821_: 推定4800
[526.193] TROI_Just: メダル１個で１００くらいあがるって噂よ
[533.516] (S)459dmaito: ゴリラ
[534.566] 毛むくじゃらのコリー: 引き大PからOD弾抜け派生蹴りもノーマルヒットでつながる
[535.029] ry0444: 微妙だったSA3が一気におもろく
[535.620] (S)gocupid: こえぇわー
[536.643] なたねは: まじの華キャラ
[540.642] (S)olka_kakuge: 大味な調整だなって思った
[542.034] ハゲエギル: topang1Mago1
[542.650] (S)iivkyv: ルーク大Pパニカンから引き大K繫がるらしい
[543.616] うーたんんんっ: ゴリラババア
[544.555] (S)もじゃ変人: まあSA３ 微妙だったしな
[545.893] 山もっちゃん: あくたがわ強くなっちゃう
[547.047] (S)いーすとまん: 相対的にザンギ弱体化じゃない？
[554.285] (S)もじゃ変人: ザンギもなにかあるっしょ
[554.941] (S)gocupid: SA3使ってるのほんとみなかった
[556.058] miyami022: naru04Ohayu
[556.442] (S)毒見ユッケ: ひゅー
[560.890] geogia_imo: 補正がね
[564.122] (S)ももしゃん88: naru04Kei
[565.951] TROI_Just: でもメダル５で５００上がるとして、それって強いの？
[567.956] kt_0910: 体験会でも見つかってなかった要素なんかな？
[571.042] (S)TNTNBRN: ストンピングが少し強くなったらしい
[577.241] ono_175: 調整の話しちゃうんですけど中pがガード−1なの持続埋め弱くなるの嫌じゃないですか？個人的にod絶唱を2フレ早くして欲しいです
[578.284] (S)みなぷ080821_: ストンピング強化とは聞いたけど
[583.734] hoemin247: パッチノートはやく出して欲しい…
[584.396] (S)毒見ユッケ: 上がらないよりかはね
[585.996] (S)gocupid: Jrさんがストンピングの練習始めてるね
[586.991] みや1021: メダル貯めつつ火力あるコンボができるようになったね
[590.330] (S)_かぴ: はいこんちゃ！ 
[590.832] (S)もじゃ変人: ストンピング まじかｗ
[592.812] (S)ごまたまご: 調整内容出たの？
[593.368] 亀の甲より柴咲コウ: 22日楽しみやなー
[604.100] (S)hiroumi_sea: ストンピング練習ｗ
[606.650] 山もっちゃん: ひかるくんや
[610.450] geogia_imo: うわ
[612.565] mame16901: 22日楽しみだなぁ
