[2786.756] (S)平本: 赤魔道士強いけどね
[2811.119] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[2814.333] えたーなるぶるー: うむうむ
[2849.846] novol0001: RPGとかひとりでやっても孤独じゃないけどね
[2868.271] U_mara: 一人焼肉が嫌なのって、大勢で焼肉食べる他人と比較してるだけだよね
[2870.517] ~MISSING_COMMENTER_INFO~: こんばんは
[2886.893] ぐのたお: ジョンシルバーじゃん
[2920.748] kumatedd: うおお。。
[2934.622] kumatedd: ノージャスティス
[2935.343] 日本語かな: はじめの一歩だと鷹村のこと孤独なんていうな、孤高と呼べ、みたいな回あったな
[2953.113] Gpm5121: ジャムにフォルキャンでハメられたウメハラ
[2967.599] miruujyu: やっぱそうなんか・・・・
[2974.569] suginaka56: 今のだいこくはそんな感じなのかなぁ
[2979.177] (S)higashimurayama: 孤高
[2983.289] Kanquez05: umeYung
[2995.234] shomarusan: ふんっ 
[3019.145] _こぺ_: _こぺ_ subscribed with Twitch Prime. They've subscribed for 26 months! 
[3019.378] (M)Moobot: @COPEPORDさん、26ヶ月目のサブスク登録更新！ありがとうございます！
[3020.457] _こぺ_: _こぺ_'s Sub shared rewards to 5 others in Chat! 
[3076.979] (S)たあぼ0126: umeCatHope
[3094.497] えたーなるぶるー: PokPikachu
[3112.636] openswan: ウメちゃんの自己啓発セミナー人気だねー
[3155.049] shomarusan: ウメハラ軍団再結成
[3158.995] cafe_gondo: 幸せになりたい猫 
[3166.376] sdy_hs: やばいこわいw
[3176.314] suginaka56: なるほど
[3181.402] dsadsa454654: LUL
[3210.622] sh1zuku716: うめちゃん上司に向いてないなｗ
[3218.532] openswan: わかる
[3237.695] dsadsa454654: 管理職むりやね
[3264.860] かりー001: ワンマンやな～
[3275.257] サラエボ眉間: 気持ち分かる…チームプレーに向いていない…
[3276.922] balthazar000: ジョブチェンジすればだれでもLv1よ
[3314.343] suginaka56: いや高すぎでしょ
[3316.591] garalia0: ｗ
[3318.135] kumatedd: セリヌンティウス
[3326.230] sdy_hs: 親友じゃん
[3327.463] U_mara: 僕を殴れ
[3328.081] garalia0: 命掛けるか
[3328.747] cafe_gondo: それ親友の域では
[3329.983] shomarusan: セリヌンティウスが友達かー
[3331.999] おじキッズ兄: 重すぎる
[3333.102] thousand_masao: 重いｗ
[3335.211] サラエボ眉間: 重すぎない
[3335.468] (S)redbull_daisuki: クラハシ「ウメちゃんの周りは変なヤツしかいない」
[3335.585] ぐのたお: BFF
[3337.789] natuoman: 死ぬとわかってても戻ってくる
[3345.484] (S)kiku1133: 妹の結婚式に
[3345.836] タタル_タル: ヌキって言え！！！！！！！！！！！！！！！！
[3347.548] surans: あれは肉体関係ありじゃなかったけか
[3351.205] rotonz: セリヌンティウスっすねｗ
[3352.490] ilm0806: 速歩き程度やで、あれは
[3354.366] openswan: あんたさぁ～
[3357.618] balthazar000: ヌキさんは大王ポジ
[3361.557] gannaranna: チャリヌンティウスがいますね
[3362.351] かりー001: ヌキさんやろ
[3377.621] kanabunpow: 理想やカラ
[3378.196] shomarusan: 命をかけた約束ができるのかどうか
[3384.823] kumatedd: せりにゅんｗｗ
[3387.679] kakino: 友達5神は
[3388.795] ひょーた: それって親友って言うんじゃw
[3395.681] madahaya: ヌキウス
[3399.971] devilishblack: セリヌンティウス
[3400.313] ilm0806: 中学生の自由研究で、もしかしたら、走ってないって結論だしてたぞ
[3401.152] garalia0: そんな事になって見なけりゃ分からんだろ
[3401.338] 多抜深夜: にゅん♪
[3401.988] (S)平本: にゅんw
[3403.513] openswan: 浅草に囚われた男
[3403.580] zawinul88: にゅん
[3404.893] 記入漏れ: まず人質代行を受けたっすからね
[3408.043] kumatedd: ウメヌキｗ
[3412.974] gagyuu: セリヌキンティウス
[3412.988] えたーなるぶるー: 友達Ｐ
[3414.957] devilishblack: 逆じゃない？
[3415.442] shomarusan: 友達ポイント
[3416.715] (S)redbull_daisuki: ヌキス
[3422.113] ひょーた: メロスは、、、親友じゃ、、、
[3425.616] (S)yamasa141414: ウメニュン
