[82.613] ikayakidayo: ありさん？www
[82.814] tom1nack: だいぶやばいww
[82.828] あぃりす: かぜ？？？
[83.401] harunatsuuuu: フェスお疲れさまでした〜
[83.762] dy_25lamore: わこさかーー！！
[83.905] みこくま: 風邪ひいたの
[83.974] squid0111: 黄砂ですかね
[83.992] yejii_i: だいじょうぶか笑笑
[84.186] (S)ゆてぃ_: お大事にね…
[84.389] kiki_46497: 俺も風邪ひいた
[84.752] (S)aaa__nn: わこさか～！
[84.907] 豆苗ごはん: どうしたのー
[85.108] (S)chikuzen_n1: 声がwwwwww
[85.244] (S)くりーみーじぇのべーぜ: 誰だおまえ！！！！
[85.307] yoshifubu: わこさか〜
[85.310] (S)honeybee1103: わこさか！大丈夫？
[85.369] (S)aoirooo_0: Cheer100
[85.416] monako0_: だれ？www
[85.493] misaki2008yo: 風邪？
[85.640] arinnzi: wwwwwwwww
[85.665] yuta8547: わこさか
[85.779] (S)よよか: わこさか～ Cheer500
[85.802] sakure88: のどおだいじに
[85.845] rtk0710: わこさか
[86.501] ロン: あら、ご無理なさらず
[86.639] (S)陽7: 咳出てんじゃん
[87.046] min__17: わこさかー
[87.201] sakurakon1: 大丈夫？
[87.694] (S)にぃぃぃ: 騒ぎすぎたか
[87.768] uyuuyuhai: 大丈夫ですか、、！
[87.769] nikonikosannn: おん
[88.313] tubura3: わこさか
[89.619] saganstick: 声どした？笑
[89.841] ojou_43: お喉が
[90.050] atsu__k: 大丈夫？？
[90.278] (S)yuri_404n: フェスで声出しすぎたか？
[90.403] (S)はちねこ: 大丈夫ですか？
[90.477] vert_bell: わこさか
[90.499] hippokayu: フェス最高でした！！
[90.980] トリテイ: お
[91.282] xx9mimi: CRフェス、お疲れ様でした！
[91.697] (S)ryoya123: 初めて聞いた、ありさんのそんな声
[92.018] nano__5: 喉大丈夫？！
[92.237] まみどら: 無理しないでねー！
[92.265] (S)tokyonoshiganaidaigakusei: tokyonoshiganaidaigakusei subscribed at Tier 1. They've subscribed for 4 months! 
[92.428] usamochi__: むりせずに、、、
[92.836] _ひゅーす: 喉お大事にね
[93.029] (S)ayu_tmm: おお
[93.043] __ゆうま: フェスお疲れ様でした！
[93.489] (S)pui_hoshi: たるたる？
[93.492] みっつ012: crフェスお疲れ様でした！
[94.129] nikonikosannn: おんおん
[94.339] (S)maru_a_s_: ちょっと待って自分も風邪ひいてて同じタイミングで咳したのおもろww
[95.782] marimokkyori: わこさか
