[439.800] (S)かみんちゅう: wwwwww
[440.228] (S)sho637: ww
[440.457] (S)まリお: wwwwwww
[444.803] (S)るぁ__: wwwww
[462.491] (S)mitametako: www
[463.876] (S)26cya: wwwwww
[465.031] (S)エメラルドスプラッシュ: wwwww
[465.114] (S)z1gzagb: wwwwwwwwwwww
[467.390] (S)fuu5353: ｗｗｗｗｗｗ
[468.453] manju_tabetaina: チャンバラごっこ
[471.191] tairu167: シュールwwww
[471.789] yonefu: www
[471.852] retasu_jiro_: なにこれw
[472.194] (S)uzuki444: wwww
[473.076] (S)イヌマツ: なんそれｗｗｗ
[473.447] (S)かみんちゅう: おー
[473.933] (S)まリお: なんこれwwwww
[473.999] (S)raamen014: ガンダム、きめえwwww
[474.313] (S)るぁ__: hiirag17Www
[474.998] (S)kei04050: wwwww
[475.213] (S)canny_0617: wwwww
[475.354] (S)えみこん: wwwwwwwwwwwwww
[475.594] (S)わいへいち: www
[477.165] 魚たく: スターウォーズやん
[477.981] (S)z1gzagb: お祭り感あっていいなｗ
[478.091] (S)odajyu: wwwwwww
[478.639] (S)marui_ao: wwww
[479.031] (S)sho637: ww
[479.248] (S)nanadesuyo: かっこよw
[480.123] (S)syunminnn: なにこれwww
[480.347] (S)えみこん: ummaw
[481.747] (S)konishi625: wwwwwwwww
[483.687] 七夜鴉: wwww
[484.650] (S)nemuou: 死体多すぎだろｗ
[484.732] ayu1220: ザクはヒートホークじゃないんだw
[485.784] (S)aixxx35: やられたw
[486.214] (S)fuu5353: つよｗｗｗ
[486.745] (S)江身: つよかったｗ
[486.976] 77777567: スターウォーズ！？
[487.115] (S)tlger18: ｗｗｗ
[489.167] (S)hotatechang55: wwww
[489.355] (S)まリお: おもろwwwwww
[492.987] (S)umami12: おもろいなw
[493.341] (S)oookissyooo: 楽しいな
[497.259] (S)gyunyuma: たのしw
[498.371] (S)yolyoltu: 効果音SWだこれ
[504.646] (S)エメラルドスプラッシュ: おおー
[505.815] (S)fuu5353: 打たないのおもろいすぎｗｗｗ
[508.038] (S)まリお: つよぉーーw
[509.114] (S)marui_ao: wwww
[509.464] (S)raamen014: これ、ガンダム…かな
[510.697] (S)26cya: wwwwww
[511.820] (S)tsukuedusk: ジャンプギリかっこよw
[512.351] 77777567: 即
[512.897] (S)nanadesuyo: ちょうどいいバランスで草
[514.007] (S)おちぇんだよ: wwww
[515.125] (S)mitametako: 一刀両断w
[520.817] (S)marui_ao: うまww
[521.972] (S)まリお: うま！www
[522.944] (S)エメラルドスプラッシュ: おさむおるな
[523.205] (S)odajyu: wwwwwww
[525.588] (S)nanadesuyo: 似てるw
[526.026] retasu_jiro_: 似てるw
[527.053] (S)るぁ__: うまww
[528.246] (S)cucumber_q3: ｗｗｗ
[530.125] (S)raamen014: まずい
[533.048] (S)yolyoltu: 大乱闘始まった
[533.803] (S)takeshirevenge: なんやこれw
[536.723] (S)fuu5353: 大乱闘ｗｗｗ
[537.053] (S)かみんちゅう: 盾持ちいね？w
[537.810] (S)z1gzagb: おおお
[540.167] (S)おちぇんだよ: がっちゃがちゃwwww
[541.578] (S)zolomon1142: 零はまずい
[541.781] (S)chemieweapon: 盾きたw
[551.396] シャナルドヴァンフォート: これFPSだよね？ｗ
[553.257] (S)tya_low: シャアザクだけどサーベルなのね笑
[553.369] (S)odajyu: wwwwww
[553.448] (S)boccoboko: バーバリアンやん
[554.191] (S)qoo6649: 絵面おもろいｗ
[554.408] (S)gyunyuma: www
[554.526] ハーシアン: どわあああ
[555.671] (S)あぽあぽあぽ: hiirag17Www
[557.630] (S)ufxnfy: よいしょー！
[558.515] retasu_jiro_: 走り方じわ
[560.706] (S)かみんちゅう: hiirag17Www
[560.729] (S)まリお: 楽しいなこれwwwww
[561.627] (S)minminmint0: wwwwww
[566.752] (S)hiyoko217: 楽しいwww
[567.450] manju_tabetaina: かるび行くぞwww
[568.546] (S)gyunyuma: 確かにバーバリアンw
[573.087] (S)hotatechang55: わちゃわちゃしてて最高
[574.264] sigman_jp: 新作のガンダムのゲームかな？笑
[575.191] (S)z1gzagb: wwwwwwwww
[575.992] (S)upajirou_yo: ちわすー
[577.308] (S)エメラルドスプラッシュ: ばかげーやw
[581.968] 77777567: ガンダムの動きがあまりにも小学生の動き過ぎる
[583.345] (S)きのころ: RUSTのバーバリアン思い出すｗｗ
[584.635] (S)quilla0828: 楽しいwww
[586.625] (S)gyunyuma: なにこれwww
[586.779] (S)fuu5353: ｗｗｗ
[588.145] (S)nuekoya: サーベル勝てねぇw
[591.644] (S)raamen014: キラ・ヤマトになろう
[597.025] manju_tabetaina: 盾草
[599.614] (S)chemieweapon: 誰も銃歌ねぇw
[601.455] (S)naani752: みんなわちゃわちゃ楽しそうwwwww
[605.034] (S)mitametako: 盾w
[607.152] (S)くれないきつね: たのしそう
[612.196] (S)まリお: わちゃわちゃww
[613.392] (S)るぁ__: おもろw
[615.595] (S)sakisaki_na: 空気うま
[617.695] (S)kei04050: 盾持ちwww
[617.740] sanasana0101: 盾いいなwwwww
[619.373] (S)yolyoltu: スト6の間合い
[627.065] (S)tsukuedusk: いっそ爆弾とかないのw
[630.043] (S)nanadesuyo: ガンダムにしては肉弾戦なんだよなぁw
[631.233] annnnna61: ｗｗｗｗ
[633.702] (S)しゃじ: エアリアルのやつかっこいな
[635.826] (S)イヌマツ: たのしそうｗ
[641.383] 77777567: 誰が強いとか最早分からんw
[642.093] (S)fuu5353: ｗｗｗｗ
[648.245] (S)takeshirevenge: これ練習になってんのか？w
[649.686] (S)ようかん18: めっちゃおもろい
[650.818] (S)tixitsixo: スライディングキルできないの？
[654.633] (S)zuu_mg: wwww
[656.931] (S)z1gzagb: wwwwwwww
[658.955] (S)まリお: wwww
[662.618] (S)tsura_nimu: wwwwwwwwwww
[665.100] (S)nanadesuyo: それはそうww
[668.148] (S)kei04050: ほんとだよwww
[670.600] (S)fuu5353: 近接のみｗｗｗｗ
[678.265] (S)まリお: 盾強いwww
[679.411] (S)z1gzagb: 盾つよｗ
[682.312] (S)sho637: ww
[683.915] (S)hotatechang55: 盾やばwww
[685.750] (S)toya108glhf: 盾つよｗｗｗｗ
[687.185] (S)konishi625: www
[688.599] (S)jaika_0672: www
[692.934] (S)sueSama: ノリアキさん拾えるｗｗｗｗ
[693.552] (S)かみんちゅう: www
[694.414] (S)はるちゃぁんんん: ww
[699.107] manju_tabetaina: バカゲーや
[701.548] (S)NinaEve2712: ｗｗｗｗ
[702.082] (S)minminmint0: ノリさんさすがwwwwww
[704.739] (S)z1gzagb: wwwwwwwwwwww
[706.413] (S)nemuou: かどまちｗｗｗｗｗｗｗ
[706.760] (S)nanadesuyo: ノリさんだけ受けてるw
[707.774] (S)妙に足が速い鳥: www
[709.232] (S)fuu5353: ｗｗｗ
[710.739] (S)naani752: www
[720.057] (S)raamen014: wwww
[724.454] (S)まリお: 盾強いwwww
[724.518] 77777567: 敵から背中向けて逃げるガンダム
[726.535] (S)26cya: 盾つよwww
[727.860] (S)tack_chika: つよｗ
[729.386] (S)tsura_nimu: 盾強すぎだろwwwwww
[730.657] (S)エメラルドスプラッシュ: バッシュみたいなんつよ
[731.397] (S)るぁ__: 盾w
[732.797] (S)re_pom: せ⤴︎︎こ
[732.932] (S)nanadesuyo: 盾ゲーwww
[733.030] (S)mitametako: 盾強スンギw
[733.812] (S)takeshirevenge: 盾メタw
[735.405] (S)江身: ええええ
[736.019] (S)tack_chika: きもいｗ
[739.763] (S)fuu5353: 足元ｗｗｗ
[741.420] (S)b1______: 足切られたww
[743.834] manju_tabetaina: つま先行かれた
[743.892] (S)z1gzagb: wwwwwwwww
[746.448] (S)かみんちゅう: 飛び込みw
[746.655] におゆさら: 足払いするガンダムやだよww
[746.841] (S)まリお: あああwwww
[748.830] (S)nanami_617: なんだ今のwww
[752.264] (S)nanadesuyo: 協力ww
[754.592] (S)saba_marine: 協力どころじゃなかったｗ
[754.750] (S)ycmh123456: w
[757.201] (S)火陸: wwww
[757.566] (S)おちぇんだよ: w
[758.106] (S)umami12: wwww
[758.732] (S)kei04050: wwwww
[759.154] (S)江身: ｗｗｗ
[759.382] (S)26cya: www
[759.621] (S)z1gzagb: wwwwwwwwwwww
[760.246] (S)fuu5353: ｗｗｗｗｗ
[761.715] (S)hotatechang55: wwwwwww
[761.805] (S)るぁ__: wwwwww
[762.573] (S)丘乃: www
[762.631] (S)まリお: wwwwwwww
[763.743] (S)odajyu: wwwww
[766.302] (S)マッチ__: wwwww
[770.603] (S)n4m4n1ku: wwwww
[771.112] retasu_jiro_: おもろ
[775.270] (S)26cya: エイムwww
[776.890] (S)mo_sui: www
[777.634] (S)まリお: ほぼ撃ってないww
[784.344] (S)naani752: おもしろすぎたwww
[784.810] (S)fuu5353: おもろすぎたｗｗ
[786.139] (S)takeshirevenge: 撃ち合ってたの最初だけw
[787.249] (S)まリお: やるかとはならんだろwww
[787.531] (S)uzuki444: さて…
[788.063] (S)aixxx35: ずっとわちゃわちゃw
[789.235] (S)るぁ__: wwwwwwwwwwww
[789.353] (S)odajyu: wwwwww
[791.834] (S)sa_sya1: 空気うますぎる
[792.230] banananokobun: www
[792.613] (S)かみんちゅう: さて、と？
[792.686] (S)moteamotea: wwww
[793.638] senthi5: ｗｗｗｗｗｗｗ
[794.104] (S)おちぇんだよ: もう1セットやれよwwwwww
[794.317] (S)hotatechang55: wwww
[794.336] (S)pickles_1130: にょっす〜
[795.892] (S)minminmint0: さてと、ポテト
[800.792] (S)raamen014: 画面はかっけえよ
[810.893] (S)まリお: すごいなーガンダム！
[811.497] (S)uzuki444: ザクおおいな
[817.045] 77777567: なんだった、あのチャンバラは
[820.336] (S)tsuchicco: 知り合いばっかでいいね
[824.147] (S)raamen014: ザクが良いなー
[842.234] (S)takeshirevenge: 空気うめー
[847.868] syaketyadukeee: だれだ
[849.438] (S)ycmh123456: 高木！
[850.935] (S)イヌマツ: チームつよｗ
[854.155] (S)shimayukichan: のりのりのりあき
[857.011] (S)deltanonium: ニキと同じだ
[857.520] (S)saba_marine: 強そうなチーム
[857.901] (S)08ryyyyy: 高木〜
[859.286] (S)konishi625: 強そう
[861.356] (S)shamoiumai: のりさん！
[867.012] (S)sakisaki_na: ノリさんと高木と一緒か！
[868.505] (S)v1ster1a: 3/5KFC
[872.892] 魚たく: ガンダムのウエスト細いw
[873.536] (S)nanadesuyo: ノリさんと高木いるんかw
[875.141] mame__me: かせんさんもおるんか
[877.417] mellowlonez: クソガキ2人が一緒になっちまった
[880.288] (S)marui_ao: メンバーあつ
