[1208.563] (S)ememeume: アングラ最高
[1210.677] えすけーえふ: ほぼ平成
[1210.730] tk3333: 令和教育委員会になるのかな
[1212.456] ぼんじゅ: 駆け抜けたよ
[1214.188] doubutsucat: スト2から始まって
[1215.000] 名無しベータ: 平成の最後にようやく表舞台に出た感じ
[1220.924] sora_neko09: 昭和も30年以上経験した人に聞いてほしいよな，そういう質問は
[1221.395] (S)triton11519: 勝ちまくってる時より今の方が楽しいって言葉はなるほどって思ったわ
[1235.049] LT123456: ウメちゃん昭和何年生まれ？
[1235.319] azisiotaro: 昭和の終わりの思い出あります？
[1236.378] mutuizumi: そういえばあと一人見つかったの？
[1244.975] Formica45: 令和から本気出してください
[1264.436] (S)rabanend: 昭和生まれ平成育ち
[1271.891] doubutsucat: 銀座の方が面白いよ
[1274.749] mutuizumi: 昭和＝インド人を右に
[1282.102] ~MISSING_COMMENTER_INFO~: MOV
[1284.824] (S)triton11519: ウメちゃんとふ～どの2人でもええやん
[1285.876] えすけーえふ: 田舎の散歩は楽しいよ、粗削りなショートカットが今でも見つかる
[1289.083] kaniosutoro: 花見行きました？
[1292.209] (S)あさつき教: あさつき教 subscribed with Twitch Prime. They've subscribed for 5 months! 
[1292.945] (S)ttp_hayato: ゲストよぼう
[1297.179] uhauhap: なんか黒いのうつってる
[1297.463] tk3333: 準レギュラーね
[1304.416] (S)danny_love_danny: ウメふーでプラスゲストでいいんだけどな
[1308.069] sasakumadrops: 若手回とベテラン回とでまわしてほしいな
[1309.189] mutuizumi: 弘前まで歩くの？
[1313.390] obo_006: お？ビーストお花見？
[1314.191] azisiotaro: 花見配信
[1315.075] shiba400: 東京って今満開？
[1315.892] poyoyon915: mov良さそう
[1318.716] Heracles_12: 花見といえば酒
[1319.035] ムカイ_仮名: 折笠さんは今後も出てくれるんだよね？こんにちは。
[1321.895] easter6620: 今日あったけぇ……
[1323.885] (S)だわさワサワサ: 今週末ピークでは花見
[1323.996] fgs55: 花見で一杯！
[1326.327] かげでん: 男松浦
[1327.161] (S)spring__thief: もう新宿は満開は過ぎたね
[1333.522] えすけーえふ: 急に寒くなって開花遅れてたな
[1336.573] shiba400: もうちょいか
[1338.447] tk3333: 花見ってお酒飲む理由付けでしょ？
